run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_single__main__lpt__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,0,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.00039199995808303356,optimum,36.0,0.5833333333333334,
tiny_single__main__lpt__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,1,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.00014489999739453197,optimum,36.0,0.5833333333333334,
tiny_single__main__lpt__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,2,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.00014709995593875647,optimum,36.0,0.5833333333333334,
tiny_single__main__random__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,0,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010283600015100092,optimum,36.0,0.0,
tiny_single__main__random__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,1,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010311499994713813,optimum,36.0,0.0,
tiny_single__main__random__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,2,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010298100009094924,optimum,36.0,0.0,
tiny_single__main__first__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,0,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.001809899986255914,optimum,36.0,0.0,
tiny_single__main__first__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,1,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.0017725999932736158,optimum,36.0,0.0,
tiny_single__main__first__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,2,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.001770300033967942,optimum,36.0,0.0,
tiny_single__main__best__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,0,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.0028398000285960734,optimum,36.0,0.0,
tiny_single__main__best__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,1,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.003144899965263903,optimum,36.0,0.0,
tiny_single__main__best__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,2,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.002902999985963106,optimum,36.0,0.0,
tiny_single__main__multistart__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,multistart,0,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.011140600021462888,optimum,36.0,0.0,
tiny_single__main__multistart__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,multistart,1,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.011149599973578006,optimum,36.0,0.0,
tiny_single__main__multistart__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,multistart,2,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.011100600007921457,optimum,36.0,0.0,
tiny_single__main__sa__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,sa,0,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010331900033634156,optimum,36.0,0.0,
tiny_single__main__sa__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,sa,1,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010338900028727949,optimum,36.0,0.0,
tiny_single__main__sa__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,sa,2,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010337699961382896,optimum,36.0,0.0,
tiny_single__sa_t0.1_c0.98__sa__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t0.1_c0.98,sa,0,total_tardiness,150,0.1,0.98,BUDGET,36.0,150,0.01036100002238527,optimum,36.0,0.0,
tiny_single__sa_t0.1_c0.98__sa__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t0.1_c0.98,sa,1,total_tardiness,150,0.1,0.98,BUDGET,36.0,150,0.010407700028736144,optimum,36.0,0.0,
tiny_single__sa_t0.1_c0.98__sa__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t0.1_c0.98,sa,2,total_tardiness,150,0.1,0.98,BUDGET,36.0,150,0.010334599995985627,optimum,36.0,0.0,
tiny_single__sa_t100.0_c0.98__sa__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t100.0_c0.98,sa,0,total_tardiness,150,100.0,0.98,BUDGET,36.0,150,0.010324200033210218,optimum,36.0,0.0,
tiny_single__sa_t100.0_c0.98__sa__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t100.0_c0.98,sa,1,total_tardiness,150,100.0,0.98,BUDGET,36.0,150,0.010330799967050552,optimum,36.0,0.0,
