evaluation,proposed,current,best,accepted,temperature
1,45.0,45.0,45.0,True,
2,45.0,45.0,45.0,False,
3,45.0,45.0,45.0,False,
4,45.0,45.0,45.0,False,
5,47.0,45.0,45.0,False,
6,45.0,45.0,45.0,False,
7,45.0,45.0,45.0,False,
8,45.0,45.0,45.0,False,
9,45.0,45.0,45.0,False,
10,45.0,45.0,45.0,False,
11,45.0,45.0,45.0,False,
12,45.0,45.0,45.0,False,
13,45.0,45.0,45.0,False,
14,45.0,45.0,45.0,False,
15,49.0,45.0,45.0,False,
16,45.0,45.0,45.0,False,
17,45.0,45.0,45.0,False,
18,45.0,45.0,45.0,False,
19,45.0,45.0,45.0,False,
20,45.0,45.0,45.0,False,
21,45.0,45.0,45.0,False,
22,45.0,45.0,45.0,False,
23,45.0,45.0,45.0,False,
24,47.0,45.0,45.0,False,
25,47.0,45.0,45.0,False,
26,47.0,45.0,45.0,False,
27,47.0,45.0,45.0,False,
28,47.0,45.0,45.0,False,
29,47.0,45.0,45.0,False,
30,47.0,45.0,45.0,False,
31,47.0,45.0,45.0,False,
32,47.0,45.0,45.0,False,
33,47.0,45.0,45.0,False,
34,49.0,45.0,45.0,False,
35,47.0,45.0,45.0,False,
36,47.0,45.0,45.0,False,
37,47.0,45.0,45.0,False,
38,47.0,45.0,45.0,False,
39,47.0,45.0,45.0,False,
40,47.0,45.0,45.0,False,
41,47.0,45.0,45.0,False,
42,45.0,45.0,45.0,False,
43,45.0,45.0,45.0,False,
44,45.0,45.0,45.0,False,
45,45.0,45.0,45.0,False,
46,45.0,45.0,45.0,False,
47,45.0,45.0,45.0,False,
48,45.0,45.0,45.0,False,
49,45.0,45.0,45.0,False,
50,45.0,45.0,45.0,False,
51,45.0,45.0,45.0,False,
52,45.0,45.0,45.0,False,
53,45.0,45.0,45.0,False,
54,45.0,45.0,45.0,False,
55,45.0,45.0,45.0,False,
56,45.0,45.0,45.0,False,
57,45.0,45.0,45.0,False,
58,45.0,45.0,45.0,False,
59,45.0,45.0,45.0,False,
60,47.0,45.0,45.0,False,
61,47.0,45.0,45.0,False,
62,45.0,45.0,45.0,False,
63,45.0,45.0,45.0,False,
64,45.0,45.0,45.0,False,
65,45.0,45.0,45.0,False,
66,45.0,45.0,45.0,False,
67,45.0,45.0,45.0,False,
68,45.0,45.0,45.0,False,
69,45.0,45.0,45.0,False,
70,45.0,45.0,45.0,False,
71,45.0,45.0,45.0,False,
72,45.0,45.0,45.0,False,
73,45.0,45.0,45.0,False,
74,45.0,45.0,45.0,False,
75,45.0,45.0,45.0,False,
76,45.0,45.0,45.0,False,
77,45.0,45.0,45.0,False,
78,45.0,45.0,45.0,False,
79,45.0,45.0,45.0,False,
80,45.0,45.0,45.0,False,
81,45.0,45.0,45.0,False,
82,45.0,45.0,45.0,False,
83,45.0,45.0,45.0,False,
84,45.0,45.0,45.0,False,
85,45.0,45.0,45.0,False,
86,45.0,45.0,45.0,False,
87,45.0,45.0,45.0,False,
88,45.0,45.0,45.0,False,
89,45.0,45.0,45.0,False,
90,45.0,45.0,45.0,False,
91,45.0,45.0,45.0,False,
92,45.0,45.0,45.0,False,
93,45.0,45.0,45.0,False,
94,45.0,45.0,45.0,False,
95,45.0,45.0,45.0,False,
96,45.0,45.0,45.0,False,
97,45.0,45.0,45.0,False,
98,45.0,45.0,45.0,False,
99,45.0,45.0,45.0,False,
100,45.0,45.0,45.0,False,
101,45.0,45.0,45.0,False,
102,45.0,45.0,45.0,False,
103,45.0,45.0,45.0,False,
104,45.0,45.0,45.0,False,
105,45.0,45.0,45.0,False,
106,45.0,45.0,45.0,False,
107,45.0,45.0,45.0,False,
108,45.0,45.0,45.0,False,
109,45.0,45.0,45.0,False,
110,45.0,45.0,45.0,False,
111,45.0,45.0,45.0,False,
112,45.0,45.0,45.0,False,
113,45.0,45.0,45.0,False,
114,45.0,45.0,45.0,False,
115,45.0,45.0,45.0,False,
116,45.0,45.0,45.0,False,
117,45.0,45.0,45.0,False,
118,45.0,45.0,45.0,False,
119,45.0,45.0,45.0,False,
120,45.0,45.0,45.0,False,
121,45.0,45.0,45.0,False,
122,45.0,45.0,45.0,False,
123,45.0,45.0,45.0,False,
124,45.0,45.0,45.0,False,
125,45.0,45.0,45.0,False,
126,45.0,45.0,45.0,False,
127,45.0,45.0,45.0,False,
128,45.0,45.0,45.0,False,
129,45.0,45.0,45.0,False,
130,45.0,45.0,45.0,False,
131,45.0,45.0,45.0,False,
132,45.0,45.0,45.0,False,
133,45.0,45.0,45.0,False,
134,45.0,45.0,45.0,False,
135,49.0,45.0,45.0,False,
136,49.0,45.0,45.0,False,
137,45.0,45.0,45.0,False,
138,45.0,45.0,45.0,False,
139,45.0,45.0,45.0,False,
140,45.0,45.0,45.0,False,
141,45.0,45.0,45.0,False,
142,45.0,45.0,45.0,False,
143,45.0,45.0,45.0,False,
144,45.0,45.0,45.0,False,
145,45.0,45.0,45.0,False,
146,45.0,45.0,45.0,False,
147,45.0,45.0,45.0,False,
148,45.0,45.0,45.0,False,
149,45.0,45.0,45.0,False,
150,45.0,45.0,45.0,False,
