evaluation,proposed,current,best,accepted,temperature
1,45.0,45.0,45.0,True,
2,68.0,45.0,45.0,False,
3,49.0,45.0,45.0,False,
4,76.0,45.0,45.0,False,
5,82.0,45.0,45.0,False,
6,52.0,45.0,45.0,False,
7,81.0,45.0,45.0,False,
8,76.0,45.0,45.0,False,
9,65.0,45.0,45.0,False,
10,60.0,45.0,45.0,False,
11,73.0,45.0,45.0,False,
12,78.0,45.0,45.0,False,
13,70.0,45.0,45.0,False,
14,66.0,45.0,45.0,False,
15,49.0,45.0,45.0,False,
16,59.0,45.0,45.0,False,
17,84.0,45.0,45.0,False,
18,59.0,45.0,45.0,False,
19,59.0,45.0,45.0,False,
20,66.0,45.0,45.0,False,
21,60.0,45.0,45.0,False,
22,57.0,45.0,45.0,False,
23,56.0,45.0,45.0,False,
24,55.0,45.0,45.0,False,
25,64.0,45.0,45.0,False,
26,64.0,45.0,45.0,False,
27,65.0,45.0,45.0,False,
28,67.0,45.0,45.0,False,
29,48.0,45.0,45.0,False,
30,61.0,45.0,45.0,False,
31,74.0,45.0,45.0,False,
32,64.0,45.0,45.0,False,
33,54.0,45.0,45.0,False,
34,63.0,45.0,45.0,False,
35,75.0,45.0,45.0,False,
36,56.0,45.0,45.0,False,
37,86.0,45.0,45.0,False,
38,58.0,45.0,45.0,False,
39,79.0,45.0,45.0,False,
40,67.0,45.0,45.0,False,
41,84.0,45.0,45.0,False,
42,61.0,45.0,45.0,False,
43,50.0,45.0,45.0,False,
44,84.0,45.0,45.0,False,
45,52.0,45.0,45.0,False,
46,85.0,45.0,45.0,False,
47,70.0,45.0,45.0,False,
48,61.0,45.0,45.0,False,
49,48.0,45.0,45.0,False,
50,55.0,45.0,45.0,False,
51,47.0,45.0,45.0,False,
52,51.0,45.0,45.0,False,
53,49.0,45.0,45.0,False,
54,105.0,45.0,45.0,False,
55,88.0,45.0,45.0,False,
56,46.0,45.0,45.0,False,
57,79.0,45.0,45.0,False,
58,55.0,45.0,45.0,False,
59,59.0,45.0,45.0,False,
60,63.0,45.0,45.0,False,
61,60.0,45.0,45.0,False,
62,66.0,45.0,45.0,False,
63,71.0,45.0,45.0,False,
64,76.0,45.0,45.0,False,
65,78.0,45.0,45.0,False,
66,50.0,45.0,45.0,False,
67,59.0,45.0,45.0,False,
68,72.0,45.0,45.0,False,
69,59.0,45.0,45.0,False,
70,60.0,45.0,45.0,False,
71,65.0,45.0,45.0,False,
72,59.0,45.0,45.0,False,
73,65.0,45.0,45.0,False,
74,55.0,45.0,45.0,False,
75,64.0,45.0,45.0,False,
76,50.0,45.0,45.0,False,
77,71.0,45.0,45.0,False,
78,77.0,45.0,45.0,False,
79,71.0,45.0,45.0,False,
80,47.0,45.0,45.0,False,
81,46.0,45.0,45.0,False,
82,84.0,45.0,45.0,False,
83,53.0,45.0,45.0,False,
84,60.0,45.0,45.0,False,
85,76.0,45.0,45.0,False,
86,58.0,45.0,45.0,False,
87,78.0,45.0,45.0,False,
88,91.0,45.0,45.0,False,
89,57.0,45.0,45.0,False,
90,57.0,45.0,45.0,False,
91,63.0,45.0,45.0,False,
92,80.0,45.0,45.0,False,
93,47.0,45.0,45.0,False,
94,96.0,45.0,45.0,False,
95,65.0,45.0,45.0,False,
96,51.0,45.0,45.0,False,
97,79.0,45.0,45.0,False,
98,60.0,45.0,45.0,False,
99,74.0,45.0,45.0,False,
100,59.0,45.0,45.0,False,
101,53.0,45.0,45.0,False,
102,51.0,45.0,45.0,False,
103,70.0,45.0,45.0,False,
104,59.0,45.0,45.0,False,
105,68.0,45.0,45.0,False,
106,53.0,45.0,45.0,False,
107,57.0,45.0,45.0,False,
108,48.0,45.0,45.0,False,
109,79.0,45.0,45.0,False,
110,87.0,45.0,45.0,False,
111,96.0,45.0,45.0,False,
112,82.0,45.0,45.0,False,
113,96.0,45.0,45.0,False,
114,53.0,45.0,45.0,False,
115,52.0,45.0,45.0,False,
116,55.0,45.0,45.0,False,
117,76.0,45.0,45.0,False,
118,64.0,45.0,45.0,False,
119,63.0,45.0,45.0,False,
120,62.0,45.0,45.0,False,
121,80.0,45.0,45.0,False,
122,86.0,45.0,45.0,False,
123,74.0,45.0,45.0,False,
124,69.0,45.0,45.0,False,
125,73.0,45.0,45.0,False,
126,52.0,45.0,45.0,False,
127,59.0,45.0,45.0,False,
128,65.0,45.0,45.0,False,
129,64.0,45.0,45.0,False,
130,52.0,45.0,45.0,False,
131,98.0,45.0,45.0,False,
132,58.0,45.0,45.0,False,
133,88.0,45.0,45.0,False,
134,51.0,45.0,45.0,False,
135,58.0,45.0,45.0,False,
136,63.0,45.0,45.0,False,
137,69.0,45.0,45.0,False,
138,58.0,45.0,45.0,False,
139,67.0,45.0,45.0,False,
140,57.0,45.0,45.0,False,
141,52.0,45.0,45.0,False,
142,52.0,45.0,45.0,False,
143,53.0,45.0,45.0,False,
144,64.0,45.0,45.0,False,
145,60.0,45.0,45.0,False,
146,52.0,45.0,45.0,False,
147,64.0,45.0,45.0,False,
148,54.0,45.0,45.0,False,
149,47.0,45.0,45.0,False,
150,70.0,45.0,45.0,False,
