evaluation,proposed,current,best,accepted,temperature
1,95.0,95.0,95.0,True,
2,95.0,95.0,95.0,False,
3,95.0,95.0,95.0,False,
4,95.0,95.0,95.0,False,
5,95.0,95.0,95.0,False,
6,95.0,95.0,95.0,False,
7,95.0,95.0,95.0,False,
8,95.0,95.0,95.0,False,
9,95.0,95.0,95.0,False,
10,95.0,95.0,95.0,False,
11,94.0,95.0,94.0,False,
12,95.0,95.0,94.0,False,
13,95.0,95.0,94.0,False,
14,95.0,95.0,94.0,False,
15,95.0,95.0,94.0,False,
16,95.0,95.0,94.0,False,
17,94.0,95.0,94.0,False,
18,95.0,95.0,94.0,False,
19,95.0,95.0,94.0,False,
20,95.0,95.0,94.0,False,
21,95.0,95.0,94.0,False,
22,95.0,95.0,94.0,False,
23,100.0,95.0,94.0,False,
24,95.0,95.0,94.0,False,
25,95.0,95.0,94.0,False,
26,95.0,95.0,94.0,False,
27,96.0,95.0,94.0,False,
28,95.0,95.0,94.0,False,
29,95.0,95.0,94.0,False,
30,95.0,95.0,94.0,False,
31,94.0,95.0,94.0,False,
32,95.0,95.0,94.0,False,
33,95.0,95.0,94.0,False,
34,95.0,95.0,94.0,False,
35,98.0,95.0,94.0,False,
36,95.0,95.0,94.0,False,
37,95.0,95.0,94.0,False,
38,95.0,95.0,94.0,False,
39,94.0,95.0,94.0,False,
40,95.0,95.0,94.0,False,
41,95.0,95.0,94.0,False,
42,95.0,95.0,94.0,False,
43,99.0,95.0,94.0,False,
44,95.0,95.0,94.0,False,
45,95.0,95.0,94.0,False,
46,95.0,95.0,94.0,False,
47,95.0,95.0,94.0,False,
48,95.0,95.0,94.0,False,
49,95.0,95.0,94.0,False,
50,95.0,95.0,94.0,False,
51,95.0,95.0,94.0,False,
52,95.0,95.0,94.0,False,
53,95.0,95.0,94.0,False,
54,95.0,95.0,94.0,False,
55,95.0,95.0,94.0,False,
56,95.0,95.0,94.0,False,
57,95.0,95.0,94.0,False,
58,95.0,95.0,94.0,False,
59,95.0,95.0,94.0,False,
60,95.0,95.0,94.0,False,
61,95.0,95.0,94.0,False,
62,95.0,95.0,94.0,False,
63,95.0,95.0,94.0,False,
64,95.0,95.0,94.0,False,
65,95.0,95.0,94.0,False,
66,100.0,95.0,94.0,False,
67,95.0,95.0,94.0,False,
68,95.0,95.0,94.0,False,
69,95.0,95.0,94.0,False,
70,95.0,95.0,94.0,False,
71,95.0,95.0,94.0,False,
72,95.0,95.0,94.0,False,
73,95.0,95.0,94.0,False,
74,95.0,95.0,94.0,False,
75,95.0,95.0,94.0,False,
76,95.0,95.0,94.0,False,
77,95.0,95.0,94.0,False,
78,95.0,95.0,94.0,False,
79,95.0,95.0,94.0,False,
80,95.0,95.0,94.0,False,
81,95.0,95.0,94.0,False,
82,95.0,95.0,94.0,False,
83,95.0,95.0,94.0,False,
84,95.0,95.0,94.0,False,
85,95.0,95.0,94.0,False,
86,99.0,95.0,94.0,False,
87,95.0,95.0,94.0,False,
88,95.0,95.0,94.0,False,
89,95.0,95.0,94.0,False,
90,95.0,95.0,94.0,False,
91,95.0,95.0,94.0,False,
92,95.0,95.0,94.0,False,
93,95.0,95.0,94.0,False,
94,95.0,95.0,94.0,False,
95,95.0,95.0,94.0,False,
96,95.0,95.0,94.0,False,
97,95.0,95.0,94.0,False,
98,95.0,95.0,94.0,False,
99,95.0,95.0,94.0,False,
100,95.0,95.0,94.0,False,
101,95.0,95.0,94.0,False,
102,95.0,95.0,94.0,False,
103,95.0,95.0,94.0,False,
104,95.0,95.0,94.0,False,
105,95.0,95.0,94.0,False,
106,95.0,95.0,94.0,False,
107,95.0,95.0,94.0,False,
108,95.0,95.0,94.0,False,
109,95.0,95.0,94.0,False,
110,95.0,95.0,94.0,False,
111,95.0,95.0,94.0,False,
112,95.0,95.0,94.0,False,
113,95.0,95.0,94.0,False,
114,95.0,95.0,94.0,False,
115,95.0,95.0,94.0,False,
116,95.0,95.0,94.0,False,
117,95.0,95.0,94.0,False,
118,95.0,95.0,94.0,False,
119,95.0,95.0,94.0,False,
120,95.0,95.0,94.0,False,
121,95.0,95.0,94.0,False,
122,95.0,95.0,94.0,False,
123,95.0,95.0,94.0,False,
124,95.0,95.0,94.0,False,
125,95.0,95.0,94.0,False,
126,95.0,95.0,94.0,False,
127,95.0,95.0,94.0,False,
128,95.0,95.0,94.0,False,
129,95.0,95.0,94.0,False,
130,95.0,95.0,94.0,False,
131,95.0,95.0,94.0,False,
132,95.0,95.0,94.0,False,
133,95.0,95.0,94.0,False,
134,95.0,95.0,94.0,False,
135,95.0,95.0,94.0,False,
136,95.0,95.0,94.0,False,
137,95.0,95.0,94.0,False,
138,95.0,95.0,94.0,False,
139,95.0,95.0,94.0,False,
140,95.0,95.0,94.0,False,
141,95.0,95.0,94.0,False,
142,95.0,95.0,94.0,False,
143,95.0,95.0,94.0,False,
144,95.0,95.0,94.0,False,
145,95.0,95.0,94.0,False,
146,95.0,95.0,94.0,False,
147,95.0,95.0,94.0,False,
148,95.0,95.0,94.0,False,
149,95.0,95.0,94.0,False,
150,95.0,94.0,94.0,True,
