evaluation,proposed,current,best,accepted,temperature
1,95.0,95.0,95.0,True,
2,95.0,95.0,95.0,False,
3,95.0,95.0,95.0,False,
4,95.0,95.0,95.0,False,
5,95.0,95.0,95.0,False,
6,95.0,95.0,95.0,False,
7,95.0,95.0,95.0,False,
8,95.0,95.0,95.0,False,
9,95.0,95.0,95.0,False,
10,95.0,95.0,95.0,False,
11,94.0,94.0,94.0,True,
12,95.0,94.0,94.0,False,
13,95.0,94.0,94.0,False,
14,95.0,94.0,94.0,False,
15,94.0,94.0,94.0,False,
16,95.0,94.0,94.0,False,
17,95.0,94.0,94.0,False,
18,95.0,94.0,94.0,False,
19,95.0,94.0,94.0,False,
20,95.0,94.0,94.0,False,
21,95.0,94.0,94.0,False,
22,95.0,94.0,94.0,False,
23,95.0,94.0,94.0,False,
24,95.0,94.0,94.0,False,
25,95.0,94.0,94.0,False,
26,95.0,94.0,94.0,False,
27,94.0,94.0,94.0,False,
28,95.0,94.0,94.0,False,
29,95.0,94.0,94.0,False,
30,95.0,94.0,94.0,False,
31,95.0,94.0,94.0,False,
32,95.0,94.0,94.0,False,
33,100.0,94.0,94.0,False,
34,95.0,94.0,94.0,False,
35,95.0,94.0,94.0,False,
36,95.0,94.0,94.0,False,
37,96.0,94.0,94.0,False,
38,95.0,94.0,94.0,False,
39,95.0,94.0,94.0,False,
40,95.0,94.0,94.0,False,
41,114.0,114.0,94.0,True,
42,114.0,114.0,94.0,False,
43,114.0,114.0,94.0,False,
44,114.0,114.0,94.0,False,
45,118.0,114.0,94.0,False,
46,118.0,114.0,94.0,False,
47,118.0,114.0,94.0,False,
48,118.0,114.0,94.0,False,
49,118.0,114.0,94.0,False,
50,118.0,114.0,94.0,False,
51,108.0,108.0,94.0,True,
52,108.0,108.0,94.0,False,
53,108.0,108.0,94.0,False,
54,108.0,108.0,94.0,False,
55,118.0,108.0,94.0,False,
56,118.0,108.0,94.0,False,
57,118.0,108.0,94.0,False,
58,118.0,108.0,94.0,False,
59,118.0,108.0,94.0,False,
60,118.0,108.0,94.0,False,
61,114.0,108.0,94.0,False,
62,118.0,108.0,94.0,False,
63,117.0,108.0,94.0,False,
64,118.0,108.0,94.0,False,
65,118.0,108.0,94.0,False,
66,118.0,108.0,94.0,False,
67,118.0,108.0,94.0,False,
68,118.0,108.0,94.0,False,
69,118.0,108.0,94.0,False,
70,118.0,108.0,94.0,False,
71,118.0,108.0,94.0,False,
72,118.0,108.0,94.0,False,
73,118.0,108.0,94.0,False,
74,118.0,108.0,94.0,False,
75,108.0,108.0,94.0,False,
76,118.0,108.0,94.0,False,
77,118.0,108.0,94.0,False,
78,118.0,108.0,94.0,False,
79,118.0,108.0,94.0,False,
80,118.0,108.0,94.0,False,
81,145.0,145.0,94.0,True,
82,145.0,145.0,94.0,False,
83,145.0,145.0,94.0,False,
84,145.0,145.0,94.0,False,
85,141.0,141.0,94.0,True,
86,145.0,141.0,94.0,False,
87,145.0,141.0,94.0,False,
88,145.0,141.0,94.0,False,
89,145.0,141.0,94.0,False,
90,145.0,141.0,94.0,False,
91,147.0,141.0,94.0,False,
92,145.0,141.0,94.0,False,
93,144.0,141.0,94.0,False,
94,145.0,141.0,94.0,False,
95,142.0,141.0,94.0,False,
96,145.0,141.0,94.0,False,
97,147.0,141.0,94.0,False,
98,145.0,141.0,94.0,False,
99,144.0,141.0,94.0,False,
100,145.0,141.0,94.0,False,
101,145.0,141.0,94.0,False,
102,145.0,141.0,94.0,False,
103,145.0,141.0,94.0,False,
104,145.0,141.0,94.0,False,
105,145.0,141.0,94.0,False,
106,145.0,141.0,94.0,False,
107,145.0,141.0,94.0,False,
108,145.0,141.0,94.0,False,
109,145.0,141.0,94.0,False,
110,145.0,141.0,94.0,False,
111,145.0,141.0,94.0,False,
112,145.0,141.0,94.0,False,
113,144.0,141.0,94.0,False,
114,145.0,141.0,94.0,False,
115,145.0,141.0,94.0,False,
116,145.0,141.0,94.0,False,
117,149.0,141.0,94.0,False,
118,145.0,141.0,94.0,False,
119,145.0,141.0,94.0,False,
120,145.0,141.0,94.0,False,
121,181.0,181.0,94.0,True,
122,177.0,177.0,94.0,True,
123,181.0,177.0,94.0,False,
124,181.0,177.0,94.0,False,
125,181.0,177.0,94.0,False,
126,184.0,177.0,94.0,False,
127,183.0,177.0,94.0,False,
128,185.0,177.0,94.0,False,
129,183.0,177.0,94.0,False,
130,183.0,177.0,94.0,False,
131,183.0,177.0,94.0,False,
132,185.0,177.0,94.0,False,
133,183.0,177.0,94.0,False,
134,183.0,177.0,94.0,False,
135,183.0,177.0,94.0,False,
136,183.0,177.0,94.0,False,
137,183.0,177.0,94.0,False,
138,177.0,177.0,94.0,False,
139,183.0,177.0,94.0,False,
140,183.0,177.0,94.0,False,
141,183.0,177.0,94.0,False,
142,183.0,177.0,94.0,False,
143,183.0,177.0,94.0,False,
144,182.0,177.0,94.0,False,
145,183.0,177.0,94.0,False,
146,181.0,177.0,94.0,False,
147,183.0,177.0,94.0,False,
148,183.0,177.0,94.0,False,
149,183.0,177.0,94.0,False,
150,183.0,177.0,94.0,False,
