evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,False,
3,54.0,54.0,54.0,False,
4,54.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,54.0,54.0,54.0,False,
7,54.0,54.0,54.0,False,
8,54.0,54.0,54.0,False,
9,54.0,54.0,54.0,False,
10,54.0,54.0,54.0,False,
11,54.0,54.0,54.0,False,
12,54.0,54.0,54.0,False,
13,80.0,54.0,54.0,False,
14,94.0,54.0,54.0,False,
15,89.0,54.0,54.0,False,
16,89.0,54.0,54.0,False,
17,86.0,54.0,54.0,False,
18,86.0,54.0,54.0,False,
19,85.0,54.0,54.0,False,
20,85.0,54.0,54.0,False,
21,84.0,54.0,54.0,False,
22,84.0,54.0,54.0,False,
23,54.0,54.0,54.0,False,
24,54.0,54.0,54.0,False,
25,54.0,54.0,54.0,False,
26,55.0,54.0,54.0,False,
27,54.0,54.0,54.0,False,
28,54.0,54.0,54.0,False,
29,54.0,54.0,54.0,False,
30,54.0,54.0,54.0,False,
31,54.0,54.0,54.0,False,
32,45.0,45.0,45.0,True,
33,45.0,45.0,45.0,False,
34,45.0,45.0,45.0,False,
35,45.0,45.0,45.0,False,
36,70.0,45.0,45.0,False,
37,70.0,45.0,45.0,False,
38,70.0,45.0,45.0,False,
39,70.0,45.0,45.0,False,
40,79.0,45.0,45.0,False,
41,82.0,82.0,45.0,True,
42,82.0,82.0,45.0,False,
43,82.0,82.0,45.0,False,
44,82.0,82.0,45.0,False,
45,82.0,82.0,45.0,False,
46,82.0,82.0,45.0,False,
47,82.0,82.0,45.0,False,
48,82.0,82.0,45.0,False,
49,79.0,79.0,45.0,True,
50,79.0,79.0,45.0,False,
51,79.0,79.0,45.0,False,
52,79.0,79.0,45.0,False,
53,79.0,79.0,45.0,False,
54,79.0,79.0,45.0,False,
55,82.0,79.0,45.0,False,
56,82.0,79.0,45.0,False,
57,82.0,79.0,45.0,False,
58,82.0,79.0,45.0,False,
59,82.0,79.0,45.0,False,
60,82.0,79.0,45.0,False,
61,93.0,79.0,45.0,False,
62,95.0,79.0,45.0,False,
63,82.0,79.0,45.0,False,
64,82.0,79.0,45.0,False,
65,82.0,79.0,45.0,False,
66,82.0,79.0,45.0,False,
67,85.0,79.0,45.0,False,
68,82.0,79.0,45.0,False,
69,98.0,79.0,45.0,False,
70,85.0,79.0,45.0,False,
71,79.0,79.0,45.0,False,
72,79.0,79.0,45.0,False,
73,79.0,79.0,45.0,False,
74,79.0,79.0,45.0,False,
75,79.0,79.0,45.0,False,
76,79.0,79.0,45.0,False,
77,79.0,79.0,45.0,False,
78,79.0,79.0,45.0,False,
79,79.0,79.0,45.0,False,
80,79.0,79.0,45.0,False,
81,79.0,79.0,45.0,True,
82,79.0,79.0,45.0,False,
83,79.0,79.0,45.0,False,
84,79.0,79.0,45.0,False,
85,79.0,79.0,45.0,False,
86,79.0,79.0,45.0,False,
87,79.0,79.0,45.0,False,
88,79.0,79.0,45.0,False,
89,79.0,79.0,45.0,False,
90,79.0,79.0,45.0,False,
91,79.0,79.0,45.0,False,
92,79.0,79.0,45.0,False,
93,79.0,79.0,45.0,False,
94,79.0,79.0,45.0,False,
95,89.0,79.0,45.0,False,
96,79.0,79.0,45.0,False,
97,67.0,67.0,45.0,True,
98,67.0,67.0,45.0,False,
99,67.0,67.0,45.0,False,
100,67.0,67.0,45.0,False,
101,67.0,67.0,45.0,False,
102,67.0,67.0,45.0,False,
103,67.0,67.0,45.0,False,
104,67.0,67.0,45.0,False,
105,79.0,67.0,45.0,False,
106,79.0,67.0,45.0,False,
107,79.0,67.0,45.0,False,
108,79.0,67.0,45.0,False,
109,79.0,67.0,45.0,False,
110,79.0,67.0,45.0,False,
111,89.0,67.0,45.0,False,
112,79.0,67.0,45.0,False,
113,79.0,67.0,45.0,False,
114,79.0,67.0,45.0,False,
115,64.0,64.0,45.0,True,
116,64.0,64.0,45.0,False,
117,64.0,64.0,45.0,False,
118,64.0,64.0,45.0,False,
119,64.0,64.0,45.0,False,
120,64.0,64.0,45.0,False,
121,72.0,72.0,45.0,True,
122,72.0,72.0,45.0,False,
123,72.0,72.0,45.0,False,
124,72.0,72.0,45.0,False,
125,72.0,72.0,45.0,False,
126,72.0,72.0,45.0,False,
127,72.0,72.0,45.0,False,
128,72.0,72.0,45.0,False,
129,72.0,72.0,45.0,False,
130,72.0,72.0,45.0,False,
131,72.0,72.0,45.0,False,
132,72.0,72.0,45.0,False,
133,72.0,72.0,45.0,False,
134,72.0,72.0,45.0,False,
135,72.0,72.0,45.0,False,
136,72.0,72.0,45.0,False,
137,72.0,72.0,45.0,False,
138,72.0,72.0,45.0,False,
139,75.0,72.0,45.0,False,
140,77.0,72.0,45.0,False,
141,90.0,72.0,45.0,False,
142,77.0,72.0,45.0,False,
143,72.0,72.0,45.0,False,
144,72.0,72.0,45.0,False,
145,72.0,72.0,45.0,False,
146,72.0,72.0,45.0,False,
147,72.0,72.0,45.0,False,
148,72.0,72.0,45.0,False,
149,72.0,72.0,45.0,False,
150,72.0,72.0,45.0,False,
