evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,True,0.1
3,54.0,54.0,54.0,True,0.098
4,54.0,54.0,54.0,True,0.09604
5,54.0,54.0,54.0,True,0.0941192
6,50.0,50.0,50.0,True,0.092236816
7,62.0,50.0,50.0,False,0.09039207968
8,64.0,50.0,50.0,False,0.0885842380864
9,50.0,50.0,50.0,True,0.086812553324672
10,50.0,50.0,50.0,True,0.08507630225817855
11,62.0,50.0,50.0,False,0.08337477621301498
12,50.0,50.0,50.0,True,0.08170728068875467
13,50.0,50.0,50.0,True,0.08007313507497958
14,66.0,50.0,50.0,False,0.07847167237347999
15,50.0,50.0,50.0,True,0.07690223892601039
16,44.0,44.0,44.0,True,0.07536419414749018
17,41.0,41.0,41.0,True,0.07385691026454037
18,44.0,41.0,41.0,False,0.07237977205924956
19,41.0,41.0,41.0,True,0.07093217661806457
20,41.0,41.0,41.0,True,0.06951353308570328
21,41.0,41.0,41.0,True,0.06812326242398921
22,57.0,41.0,41.0,False,0.06676079717550942
23,57.0,41.0,41.0,False,0.06542558123199924
24,50.0,41.0,41.0,False,0.06411706960735924
25,41.0,41.0,41.0,True,0.06283472821521206
26,42.0,41.0,41.0,False,0.06157803365090782
27,41.0,41.0,41.0,True,0.06034647297788966
28,41.0,41.0,41.0,True,0.059139543518331866
29,60.0,41.0,41.0,False,0.05795675264796523
30,41.0,41.0,41.0,True,0.05679761759500593
31,55.0,41.0,41.0,False,0.055661665243105805
32,41.0,41.0,41.0,True,0.054548431938243686
33,41.0,41.0,41.0,True,0.053457463299478813
34,41.0,41.0,41.0,True,0.05238831403348924
35,41.0,41.0,41.0,True,0.05134054775281945
36,55.0,41.0,41.0,False,0.05031373679776306
37,41.0,41.0,41.0,True,0.0493074620618078
38,46.0,41.0,41.0,False,0.048321312820571644
39,71.0,41.0,41.0,False,0.04735488656416021
40,41.0,41.0,41.0,True,0.046407788832877
41,41.0,41.0,41.0,True,0.04547963305621946
42,60.0,41.0,41.0,False,0.044570040395095066
43,42.0,41.0,41.0,False,0.04367863958719317
44,60.0,41.0,41.0,False,0.042805066795449306
45,52.0,41.0,41.0,False,0.04194896545954032
46,41.0,41.0,41.0,True,0.04110998615034951
47,54.0,41.0,41.0,False,0.04028778642734252
48,41.0,41.0,41.0,True,0.03948203069879567
49,56.0,41.0,41.0,False,0.038692390084819756
50,41.0,41.0,41.0,True,0.03791854228312336
51,41.0,41.0,41.0,True,0.03716017143746089
52,41.0,41.0,41.0,True,0.03641696800871167
53,41.0,41.0,41.0,True,0.03568862864853744
54,45.0,41.0,41.0,False,0.03497485607556669
55,41.0,41.0,41.0,True,0.034275358954055354
56,46.0,41.0,41.0,False,0.03358985177497425
57,43.0,41.0,41.0,False,0.03291805473947476
58,41.0,41.0,41.0,True,0.03225969364468526
59,42.0,41.0,41.0,False,0.03161449977179156
60,42.0,41.0,41.0,False,0.030982209776355726
61,41.0,41.0,41.0,True,0.030362565580828612
62,42.0,41.0,41.0,False,0.02975531426921204
63,60.0,41.0,41.0,False,0.029160207983827797
64,41.0,41.0,41.0,True,0.02857700382415124
65,58.0,41.0,41.0,False,0.028005463747668217
66,41.0,41.0,41.0,True,0.02744535447271485
67,41.0,41.0,41.0,True,0.026896447383260556
68,41.0,41.0,41.0,True,0.026358518435595345
69,48.0,41.0,41.0,False,0.025831348066883437
70,48.0,41.0,41.0,False,0.02531472110554577
71,41.0,41.0,41.0,True,0.024808426683434852
72,44.0,41.0,41.0,False,0.024312258149766154
73,42.0,41.0,41.0,False,0.023826012986770832
74,41.0,41.0,41.0,True,0.023349492727035414
75,41.0,41.0,41.0,True,0.022882502872494704
76,51.0,41.0,41.0,False,0.022424852815044808
77,41.0,41.0,41.0,True,0.02197635575874391
78,52.0,41.0,41.0,False,0.021536828643569032
79,41.0,41.0,41.0,True,0.021106092070697653
80,46.0,41.0,41.0,False,0.0206839702292837
81,51.0,41.0,41.0,False,0.020270290824698025
82,52.0,41.0,41.0,False,0.019864885008204065
83,46.0,41.0,41.0,False,0.019467587308039984
84,43.0,41.0,41.0,False,0.019078235561879184
85,42.0,41.0,41.0,False,0.0186966708506416
86,41.0,41.0,41.0,True,0.018322737433628767
87,41.0,41.0,41.0,True,0.017956282684956193
88,41.0,41.0,41.0,True,0.01759715703125707
89,46.0,41.0,41.0,False,0.017245213890631928
90,45.0,41.0,41.0,False,0.01690030961281929
91,41.0,41.0,41.0,True,0.016562303420562904
92,43.0,41.0,41.0,False,0.016231057352151645
93,49.0,41.0,41.0,False,0.01590643620510861
94,58.0,41.0,41.0,False,0.015588307481006437
95,41.0,41.0,41.0,True,0.015276541331386308
96,41.0,41.0,41.0,True,0.014971010504758582
97,45.0,41.0,41.0,False,0.01467159029466341
98,41.0,41.0,41.0,True,0.014378158488770141
99,41.0,41.0,41.0,True,0.014090595318994738
100,40.0,40.0,40.0,True,0.013808783412614843
101,40.0,40.0,40.0,True,0.013532607744362546
102,49.0,40.0,40.0,False,0.013261955589475296
103,40.0,40.0,40.0,True,0.012996716477685789
104,40.0,40.0,40.0,True,0.012736782148132073
105,68.0,40.0,40.0,False,0.01248204650516943
106,68.0,40.0,40.0,False,0.012232405575066042
107,52.0,40.0,40.0,False,0.011987757463564721
108,40.0,40.0,40.0,True,0.011748002314293427
109,40.0,40.0,40.0,True,0.011513042268007558
110,41.0,40.0,40.0,False,0.011282781422647407
