evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,704.0,704.0,704.0,True,
3,719.0,704.0,704.0,False,
4,730.0,704.0,704.0,False,
5,715.0,704.0,704.0,False,
6,702.0,702.0,702.0,True,
7,711.0,702.0,702.0,False,
8,726.0,702.0,702.0,False,
9,711.0,702.0,702.0,False,
10,704.0,702.0,702.0,False,
11,715.0,702.0,702.0,False,
12,690.0,690.0,690.0,True,
13,711.0,690.0,690.0,False,
14,726.0,690.0,690.0,False,
15,711.0,690.0,690.0,False,
16,704.0,690.0,690.0,False,
17,715.0,690.0,690.0,False,
18,702.0,690.0,690.0,False,
19,715.0,690.0,690.0,False,
20,609.0,609.0,609.0,True,
21,699.0,609.0,609.0,False,
22,717.0,609.0,609.0,False,
23,702.0,609.0,609.0,False,
24,698.0,609.0,609.0,False,
25,709.0,609.0,609.0,False,
26,699.0,609.0,609.0,False,
27,712.0,609.0,609.0,False,
28,690.0,609.0,609.0,False,
29,715.0,609.0,609.0,False,
30,658.0,609.0,609.0,False,
31,714.0,609.0,609.0,False,
32,633.0,609.0,609.0,False,
33,711.0,609.0,609.0,False,
34,610.0,609.0,609.0,False,
35,707.0,609.0,609.0,False,
36,607.0,607.0,607.0,True,
37,659.0,607.0,607.0,False,
38,682.0,607.0,607.0,False,
39,667.0,607.0,607.0,False,
40,668.0,607.0,607.0,False,
41,357.0,357.0,357.0,True,
42,375.0,357.0,357.0,False,
43,338.0,338.0,338.0,True,
44,373.0,338.0,338.0,False,
45,357.0,338.0,338.0,False,
46,375.0,338.0,338.0,False,
47,331.0,331.0,331.0,True,
48,375.0,331.0,331.0,False,
49,358.0,331.0,331.0,False,
50,376.0,331.0,331.0,False,
51,338.0,331.0,331.0,False,
52,375.0,331.0,331.0,False,
53,411.0,331.0,331.0,False,
54,382.0,331.0,331.0,False,
55,384.0,331.0,331.0,False,
56,385.0,331.0,331.0,False,
57,451.0,331.0,331.0,False,
58,396.0,331.0,331.0,False,
59,336.0,331.0,331.0,False,
60,395.0,331.0,331.0,False,
61,451.0,331.0,331.0,False,
62,402.0,331.0,331.0,False,
63,515.0,331.0,331.0,False,
64,415.0,331.0,331.0,False,
65,350.0,331.0,331.0,False,
66,419.0,331.0,331.0,False,
67,496.0,331.0,331.0,False,
68,426.0,331.0,331.0,False,
69,325.0,325.0,325.0,True,
70,361.0,325.0,325.0,False,
71,376.0,325.0,325.0,False,
72,358.0,325.0,325.0,False,
73,322.0,322.0,322.0,True,
74,359.0,322.0,322.0,False,
75,375.0,322.0,322.0,False,
76,357.0,322.0,322.0,False,
77,325.0,322.0,322.0,False,
78,358.0,322.0,322.0,False,
79,416.0,322.0,322.0,False,
80,366.0,322.0,322.0,False,
81,448.0,448.0,322.0,True,
82,491.0,448.0,322.0,False,
83,478.0,448.0,322.0,False,
84,489.0,448.0,322.0,False,
85,540.0,448.0,322.0,False,
86,503.0,448.0,322.0,False,
87,440.0,440.0,322.0,True,
88,494.0,440.0,322.0,False,
89,480.0,440.0,322.0,False,
90,491.0,440.0,322.0,False,
91,541.0,440.0,322.0,False,
92,504.0,440.0,322.0,False,
93,448.0,440.0,322.0,False,
94,503.0,440.0,322.0,False,
95,467.0,440.0,322.0,False,
96,504.0,440.0,322.0,False,
97,491.0,440.0,322.0,False,
98,507.0,440.0,322.0,False,
99,566.0,440.0,322.0,False,
100,518.0,440.0,322.0,False,
101,579.0,440.0,322.0,False,
102,525.0,440.0,322.0,False,
103,562.0,440.0,322.0,False,
104,532.0,440.0,322.0,False,
105,457.0,440.0,322.0,False,
106,536.0,440.0,322.0,False,
107,439.0,439.0,322.0,True,
108,484.0,439.0,322.0,False,
109,471.0,439.0,322.0,False,
110,482.0,439.0,322.0,False,
111,533.0,439.0,322.0,False,
112,496.0,439.0,322.0,False,
113,441.0,439.0,322.0,False,
114,496.0,439.0,322.0,False,
115,461.0,439.0,322.0,False,
116,498.0,439.0,322.0,False,
117,486.0,439.0,322.0,False,
118,502.0,439.0,322.0,False,
119,562.0,439.0,322.0,False,
120,514.0,439.0,322.0,False,
121,533.0,533.0,322.0,True,
122,585.0,533.0,322.0,False,
123,582.0,533.0,322.0,False,
124,597.0,533.0,322.0,False,
125,553.0,533.0,322.0,False,
126,595.0,533.0,322.0,False,
127,600.0,533.0,322.0,False,
128,603.0,533.0,322.0,False,
129,632.0,533.0,322.0,False,
130,611.0,533.0,322.0,False,
131,529.0,529.0,322.0,True,
132,590.0,529.0,322.0,False,
133,586.0,529.0,322.0,False,
134,601.0,529.0,322.0,False,
135,556.0,529.0,322.0,False,
136,598.0,529.0,322.0,False,
137,602.0,529.0,322.0,False,
138,605.0,529.0,322.0,False,
139,633.0,529.0,322.0,False,
140,612.0,529.0,322.0,False,
141,533.0,529.0,322.0,False,
142,611.0,529.0,322.0,False,
143,572.0,529.0,322.0,False,
144,614.0,529.0,322.0,False,
145,549.0,529.0,322.0,False,
146,615.0,529.0,322.0,False,
147,625.0,529.0,322.0,False,
148,622.0,529.0,322.0,False,
149,531.0,529.0,322.0,False,
150,621.0,529.0,322.0,False,
