evaluation,proposed,current,best,accepted,temperature
1,38.0,38.0,38.0,True,
2,46.0,38.0,38.0,False,
3,41.0,38.0,38.0,False,
4,38.0,38.0,38.0,False,
5,63.0,38.0,38.0,False,
6,54.0,38.0,38.0,False,
7,45.0,38.0,38.0,False,
8,48.0,38.0,38.0,False,
9,63.0,38.0,38.0,False,
10,61.0,38.0,38.0,False,
11,54.0,38.0,38.0,False,
12,54.0,38.0,38.0,False,
13,40.0,38.0,38.0,False,
14,39.0,38.0,38.0,False,
15,56.0,38.0,38.0,False,
16,38.0,38.0,38.0,False,
17,41.0,38.0,38.0,False,
18,46.0,38.0,38.0,False,
19,39.0,38.0,38.0,False,
20,39.0,38.0,38.0,False,
21,56.0,38.0,38.0,False,
22,39.0,38.0,38.0,False,
23,54.0,38.0,38.0,False,
24,39.0,38.0,38.0,False,
25,39.0,38.0,38.0,False,
26,46.0,38.0,38.0,False,
27,55.0,38.0,38.0,False,
28,45.0,38.0,38.0,False,
29,41.0,38.0,38.0,False,
30,41.0,38.0,38.0,False,
31,41.0,38.0,38.0,False,
32,39.0,38.0,38.0,False,
33,54.0,38.0,38.0,False,
34,41.0,38.0,38.0,False,
35,41.0,38.0,38.0,False,
36,39.0,38.0,38.0,False,
37,46.0,38.0,38.0,False,
38,61.0,38.0,38.0,False,
39,41.0,38.0,38.0,False,
40,45.0,38.0,38.0,False,
41,41.0,38.0,38.0,False,
42,41.0,38.0,38.0,False,
43,41.0,38.0,38.0,False,
44,46.0,38.0,38.0,False,
45,41.0,38.0,38.0,False,
46,55.0,38.0,38.0,False,
47,45.0,38.0,38.0,False,
48,45.0,38.0,38.0,False,
49,46.0,38.0,38.0,False,
50,41.0,38.0,38.0,False,
51,54.0,38.0,38.0,False,
52,39.0,38.0,38.0,False,
53,41.0,38.0,38.0,False,
54,45.0,38.0,38.0,False,
55,38.0,38.0,38.0,False,
56,54.0,38.0,38.0,False,
57,54.0,38.0,38.0,False,
58,38.0,38.0,38.0,False,
59,46.0,38.0,38.0,False,
60,48.0,38.0,38.0,False,
61,54.0,38.0,38.0,False,
62,61.0,38.0,38.0,False,
63,41.0,38.0,38.0,False,
64,39.0,38.0,38.0,False,
65,55.0,38.0,38.0,False,
66,56.0,38.0,38.0,False,
67,48.0,38.0,38.0,False,
68,38.0,38.0,38.0,False,
69,39.0,38.0,38.0,False,
70,54.0,38.0,38.0,False,
71,39.0,38.0,38.0,False,
72,54.0,38.0,38.0,False,
73,41.0,38.0,38.0,False,
74,39.0,38.0,38.0,False,
75,38.0,38.0,38.0,False,
76,48.0,38.0,38.0,False,
77,38.0,38.0,38.0,False,
78,45.0,38.0,38.0,False,
79,41.0,38.0,38.0,False,
80,41.0,38.0,38.0,False,
81,40.0,38.0,38.0,False,
82,39.0,38.0,38.0,False,
83,46.0,38.0,38.0,False,
84,45.0,38.0,38.0,False,
85,63.0,38.0,38.0,False,
86,45.0,38.0,38.0,False,
87,38.0,38.0,38.0,False,
88,56.0,38.0,38.0,False,
89,56.0,38.0,38.0,False,
90,38.0,38.0,38.0,False,
91,46.0,38.0,38.0,False,
92,39.0,38.0,38.0,False,
93,41.0,38.0,38.0,False,
94,41.0,38.0,38.0,False,
95,48.0,38.0,38.0,False,
96,45.0,38.0,38.0,False,
97,45.0,38.0,38.0,False,
98,56.0,38.0,38.0,False,
99,54.0,38.0,38.0,False,
100,56.0,38.0,38.0,False,
101,48.0,38.0,38.0,False,
102,41.0,38.0,38.0,False,
103,48.0,38.0,38.0,False,
104,48.0,38.0,38.0,False,
105,39.0,38.0,38.0,False,
106,45.0,38.0,38.0,False,
107,39.0,38.0,38.0,False,
108,48.0,38.0,38.0,False,
109,41.0,38.0,38.0,False,
110,45.0,38.0,38.0,False,
111,41.0,38.0,38.0,False,
112,46.0,38.0,38.0,False,
113,39.0,38.0,38.0,False,
114,38.0,38.0,38.0,False,
115,40.0,38.0,38.0,False,
116,63.0,38.0,38.0,False,
117,40.0,38.0,38.0,False,
118,41.0,38.0,38.0,False,
119,45.0,38.0,38.0,False,
120,38.0,38.0,38.0,False,
121,41.0,38.0,38.0,False,
122,56.0,38.0,38.0,False,
123,48.0,38.0,38.0,False,
124,45.0,38.0,38.0,False,
125,41.0,38.0,38.0,False,
126,40.0,38.0,38.0,False,
127,38.0,38.0,38.0,False,
128,41.0,38.0,38.0,False,
129,40.0,38.0,38.0,False,
130,63.0,38.0,38.0,False,
131,48.0,38.0,38.0,False,
132,41.0,38.0,38.0,False,
133,38.0,38.0,38.0,False,
134,41.0,38.0,38.0,False,
135,39.0,38.0,38.0,False,
136,39.0,38.0,38.0,False,
137,41.0,38.0,38.0,False,
138,63.0,38.0,38.0,False,
139,46.0,38.0,38.0,False,
140,39.0,38.0,38.0,False,
141,38.0,38.0,38.0,False,
142,54.0,38.0,38.0,False,
143,54.0,38.0,38.0,False,
144,56.0,38.0,38.0,False,
145,38.0,38.0,38.0,False,
146,39.0,38.0,38.0,False,
147,38.0,38.0,38.0,False,
148,39.0,38.0,38.0,False,
149,40.0,38.0,38.0,False,
150,63.0,38.0,38.0,False,
