evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,89.0,57.0,57.0,False,
3,72.0,57.0,57.0,False,
4,79.0,57.0,57.0,False,
5,46.0,46.0,46.0,True,
6,65.0,46.0,46.0,False,
7,60.0,46.0,46.0,False,
8,67.0,46.0,46.0,False,
9,57.0,46.0,46.0,False,
10,79.0,46.0,46.0,False,
11,36.0,36.0,36.0,True,
12,51.0,36.0,36.0,False,
13,67.0,36.0,36.0,False,
14,60.0,36.0,36.0,False,
15,50.0,36.0,36.0,False,
16,72.0,36.0,36.0,False,
17,46.0,36.0,36.0,False,
18,56.0,36.0,36.0,False,
19,56.0,36.0,36.0,False,
20,65.0,36.0,36.0,False,
21,39.0,36.0,36.0,False,
22,39.0,36.0,36.0,False,
23,49.0,36.0,36.0,False,
