evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,89.0,57.0,57.0,False,
3,72.0,57.0,57.0,False,
4,79.0,57.0,57.0,False,
5,46.0,46.0,46.0,True,
6,65.0,46.0,46.0,False,
7,60.0,46.0,46.0,False,
8,67.0,46.0,46.0,False,
9,57.0,46.0,46.0,False,
10,79.0,46.0,46.0,False,
11,36.0,36.0,36.0,True,
12,51.0,36.0,36.0,False,
13,67.0,36.0,36.0,False,
14,60.0,36.0,36.0,False,
15,50.0,36.0,36.0,False,
16,72.0,36.0,36.0,False,
17,46.0,36.0,36.0,False,
18,56.0,36.0,36.0,False,
19,56.0,36.0,36.0,False,
20,65.0,36.0,36.0,False,
21,39.0,36.0,36.0,False,
22,39.0,36.0,36.0,False,
23,49.0,36.0,36.0,False,
24,46.0,46.0,36.0,True,
25,56.0,46.0,36.0,False,
26,75.0,46.0,36.0,False,
27,56.0,46.0,36.0,False,
28,51.0,46.0,36.0,False,
29,46.0,46.0,36.0,False,
30,55.0,46.0,36.0,False,
31,50.0,46.0,36.0,False,
32,57.0,46.0,36.0,False,
33,87.0,46.0,36.0,False,
34,39.0,39.0,36.0,True,
35,49.0,39.0,36.0,False,
36,54.0,39.0,36.0,False,
37,39.0,39.0,36.0,False,
38,65.0,39.0,36.0,False,
39,36.0,36.0,36.0,True,
40,51.0,36.0,36.0,False,
41,67.0,36.0,36.0,False,
42,60.0,36.0,36.0,False,
43,50.0,36.0,36.0,False,
44,72.0,36.0,36.0,False,
45,46.0,36.0,36.0,False,
46,56.0,36.0,36.0,False,
47,56.0,36.0,36.0,False,
48,65.0,36.0,36.0,False,
49,39.0,36.0,36.0,False,
50,39.0,36.0,36.0,False,
51,49.0,36.0,36.0,False,
52,36.0,36.0,36.0,True,
53,51.0,36.0,36.0,False,
54,67.0,36.0,36.0,False,
55,60.0,36.0,36.0,False,
56,50.0,36.0,36.0,False,
57,72.0,36.0,36.0,False,
58,46.0,36.0,36.0,False,
59,56.0,36.0,36.0,False,
60,56.0,36.0,36.0,False,
61,65.0,36.0,36.0,False,
62,39.0,36.0,36.0,False,
63,39.0,36.0,36.0,False,
64,49.0,36.0,36.0,False,
65,65.0,65.0,36.0,True,
66,46.0,46.0,36.0,True,
67,65.0,46.0,36.0,False,
68,60.0,46.0,36.0,False,
69,67.0,46.0,36.0,False,
70,57.0,46.0,36.0,False,
71,79.0,46.0,36.0,False,
72,36.0,36.0,36.0,True,
73,51.0,36.0,36.0,False,
74,67.0,36.0,36.0,False,
75,60.0,36.0,36.0,False,
76,50.0,36.0,36.0,False,
77,72.0,36.0,36.0,False,
78,46.0,36.0,36.0,False,
79,56.0,36.0,36.0,False,
80,56.0,36.0,36.0,False,
81,65.0,36.0,36.0,False,
82,39.0,36.0,36.0,False,
83,39.0,36.0,36.0,False,
84,49.0,36.0,36.0,False,
85,66.0,66.0,36.0,True,
86,41.0,41.0,36.0,True,
87,66.0,41.0,36.0,False,
88,39.0,39.0,36.0,True,
89,54.0,39.0,36.0,False,
90,41.0,39.0,36.0,False,
91,66.0,39.0,36.0,False,
92,79.0,39.0,36.0,False,
93,75.0,39.0,36.0,False,
94,49.0,39.0,36.0,False,
95,56.0,39.0,36.0,False,
96,56.0,39.0,36.0,False,
97,39.0,39.0,36.0,False,
98,36.0,36.0,36.0,True,
99,51.0,36.0,36.0,False,
100,67.0,36.0,36.0,False,
101,60.0,36.0,36.0,False,
102,50.0,36.0,36.0,False,
103,72.0,36.0,36.0,False,
104,46.0,36.0,36.0,False,
105,56.0,36.0,36.0,False,
106,56.0,36.0,36.0,False,
107,65.0,36.0,36.0,False,
108,39.0,36.0,36.0,False,
109,39.0,36.0,36.0,False,
110,49.0,36.0,36.0,False,
111,51.0,51.0,36.0,True,
112,36.0,36.0,36.0,True,
113,51.0,36.0,36.0,False,
114,67.0,36.0,36.0,False,
115,60.0,36.0,36.0,False,
116,50.0,36.0,36.0,False,
117,72.0,36.0,36.0,False,
118,46.0,36.0,36.0,False,
119,56.0,36.0,36.0,False,
120,56.0,36.0,36.0,False,
121,65.0,36.0,36.0,False,
122,39.0,36.0,36.0,False,
123,39.0,36.0,36.0,False,
124,49.0,36.0,36.0,False,
125,66.0,66.0,36.0,True,
126,41.0,41.0,36.0,True,
127,66.0,41.0,36.0,False,
128,39.0,39.0,36.0,True,
129,54.0,39.0,36.0,False,
130,41.0,39.0,36.0,False,
131,66.0,39.0,36.0,False,
132,79.0,39.0,36.0,False,
133,75.0,39.0,36.0,False,
134,49.0,39.0,36.0,False,
135,56.0,39.0,36.0,False,
136,56.0,39.0,36.0,False,
137,39.0,39.0,36.0,False,
138,36.0,36.0,36.0,True,
139,51.0,36.0,36.0,False,
140,67.0,36.0,36.0,False,
141,60.0,36.0,36.0,False,
142,50.0,36.0,36.0,False,
143,72.0,36.0,36.0,False,
144,46.0,36.0,36.0,False,
145,56.0,36.0,36.0,False,
146,56.0,36.0,36.0,False,
147,65.0,36.0,36.0,False,
148,39.0,36.0,36.0,False,
149,39.0,36.0,36.0,False,
150,49.0,36.0,36.0,False,
