evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,49.0,49.0,49.0,True,
3,49.0,49.0,49.0,False,
4,54.0,49.0,49.0,False,
5,55.0,49.0,49.0,False,
6,39.0,39.0,39.0,True,
7,56.0,39.0,39.0,False,
8,51.0,39.0,39.0,False,
9,55.0,39.0,39.0,False,
10,66.0,39.0,39.0,False,
11,51.0,39.0,39.0,False,
12,67.0,39.0,39.0,False,
13,89.0,39.0,39.0,False,
14,56.0,39.0,39.0,False,
15,67.0,39.0,39.0,False,
16,66.0,39.0,39.0,False,
17,89.0,39.0,39.0,False,
18,51.0,39.0,39.0,False,
19,46.0,39.0,39.0,False,
20,75.0,39.0,39.0,False,
21,66.0,39.0,39.0,False,
22,54.0,39.0,39.0,False,
23,36.0,36.0,36.0,True,
24,36.0,36.0,36.0,False,
25,36.0,36.0,36.0,False,
26,87.0,36.0,36.0,False,
27,56.0,36.0,36.0,False,
28,60.0,36.0,36.0,False,
29,56.0,36.0,36.0,False,
30,39.0,36.0,36.0,False,
31,72.0,36.0,36.0,False,
32,75.0,36.0,36.0,False,
33,75.0,36.0,36.0,False,
34,56.0,36.0,36.0,False,
35,89.0,36.0,36.0,False,
36,89.0,36.0,36.0,False,
37,50.0,36.0,36.0,False,
38,39.0,36.0,36.0,False,
39,66.0,36.0,36.0,False,
40,87.0,36.0,36.0,False,
41,55.0,36.0,36.0,False,
42,65.0,36.0,36.0,False,
43,57.0,36.0,36.0,False,
44,79.0,36.0,36.0,False,
45,36.0,36.0,36.0,False,
46,87.0,36.0,36.0,False,
47,50.0,36.0,36.0,False,
48,41.0,36.0,36.0,False,
49,72.0,36.0,36.0,False,
50,54.0,36.0,36.0,False,
51,49.0,36.0,36.0,False,
52,55.0,36.0,36.0,False,
53,66.0,36.0,36.0,False,
54,56.0,36.0,36.0,False,
55,50.0,36.0,36.0,False,
56,57.0,36.0,36.0,False,
57,51.0,36.0,36.0,False,
58,56.0,36.0,36.0,False,
59,75.0,36.0,36.0,False,
60,56.0,36.0,36.0,False,
61,54.0,36.0,36.0,False,
62,56.0,36.0,36.0,False,
63,79.0,36.0,36.0,False,
64,46.0,36.0,36.0,False,
65,46.0,36.0,36.0,False,
66,72.0,36.0,36.0,False,
67,67.0,36.0,36.0,False,
68,57.0,36.0,36.0,False,
69,51.0,36.0,36.0,False,
70,75.0,36.0,36.0,False,
71,49.0,36.0,36.0,False,
72,60.0,36.0,36.0,False,
73,72.0,36.0,36.0,False,
74,49.0,36.0,36.0,False,
75,46.0,36.0,36.0,False,
76,65.0,36.0,36.0,False,
77,36.0,36.0,36.0,False,
78,50.0,36.0,36.0,False,
79,51.0,36.0,36.0,False,
80,65.0,36.0,36.0,False,
81,36.0,36.0,36.0,False,
82,75.0,36.0,36.0,False,
83,41.0,36.0,36.0,False,
84,36.0,36.0,36.0,False,
85,39.0,36.0,36.0,False,
86,56.0,36.0,36.0,False,
87,56.0,36.0,36.0,False,
88,50.0,36.0,36.0,False,
89,55.0,36.0,36.0,False,
90,55.0,36.0,36.0,False,
91,55.0,36.0,36.0,False,
92,46.0,36.0,36.0,False,
93,72.0,36.0,36.0,False,
94,75.0,36.0,36.0,False,
95,46.0,36.0,36.0,False,
96,36.0,36.0,36.0,False,
97,51.0,36.0,36.0,False,
98,57.0,36.0,36.0,False,
99,46.0,36.0,36.0,False,
100,50.0,36.0,36.0,False,
101,66.0,36.0,36.0,False,
102,89.0,36.0,36.0,False,
103,54.0,36.0,36.0,False,
104,54.0,36.0,36.0,False,
105,51.0,36.0,36.0,False,
106,50.0,36.0,36.0,False,
107,55.0,36.0,36.0,False,
108,36.0,36.0,36.0,False,
109,89.0,36.0,36.0,False,
110,57.0,36.0,36.0,False,
111,50.0,36.0,36.0,False,
112,50.0,36.0,36.0,False,
113,49.0,36.0,36.0,False,
114,89.0,36.0,36.0,False,
115,57.0,36.0,36.0,False,
116,49.0,36.0,36.0,False,
117,75.0,36.0,36.0,False,
118,57.0,36.0,36.0,False,
119,75.0,36.0,36.0,False,
120,56.0,36.0,36.0,False,
121,36.0,36.0,36.0,False,
122,46.0,36.0,36.0,False,
123,50.0,36.0,36.0,False,
124,72.0,36.0,36.0,False,
125,36.0,36.0,36.0,False,
126,46.0,36.0,36.0,False,
127,60.0,36.0,36.0,False,
128,67.0,36.0,36.0,False,
129,75.0,36.0,36.0,False,
130,36.0,36.0,36.0,False,
131,46.0,36.0,36.0,False,
132,49.0,36.0,36.0,False,
133,57.0,36.0,36.0,False,
134,49.0,36.0,36.0,False,
135,60.0,36.0,36.0,False,
136,49.0,36.0,36.0,False,
137,39.0,36.0,36.0,False,
138,72.0,36.0,36.0,False,
139,41.0,36.0,36.0,False,
140,89.0,36.0,36.0,False,
141,50.0,36.0,36.0,False,
142,51.0,36.0,36.0,False,
143,46.0,36.0,36.0,False,
144,75.0,36.0,36.0,False,
145,51.0,36.0,36.0,False,
146,39.0,36.0,36.0,False,
147,56.0,36.0,36.0,False,
148,75.0,36.0,36.0,False,
149,49.0,36.0,36.0,False,
150,46.0,36.0,36.0,False,
