evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,72.0,72.0,57.0,True,10.0
3,72.0,72.0,57.0,True,9.8
4,56.0,56.0,56.0,True,9.604000000000001
5,56.0,56.0,56.0,True,9.41192
6,56.0,56.0,56.0,True,9.2236816
7,56.0,56.0,56.0,True,9.039207968000001
8,56.0,56.0,56.0,True,8.858423808640001
9,56.0,56.0,56.0,True,8.6812553324672
10,75.0,56.0,56.0,False,8.507630225817856
11,56.0,56.0,56.0,True,8.337477621301499
12,36.0,36.0,36.0,True,8.17072806887547
13,72.0,36.0,36.0,False,8.00731350749796
14,36.0,36.0,36.0,True,7.847167237348001
15,39.0,39.0,36.0,True,7.690223892601041
16,39.0,39.0,36.0,True,7.5364194147490196
17,39.0,39.0,36.0,True,7.385691026454039
18,56.0,39.0,36.0,False,7.237977205924959
19,39.0,39.0,36.0,True,7.0932176618064595
20,79.0,39.0,36.0,False,6.95135330857033
21,39.0,39.0,36.0,True,6.812326242398924
22,39.0,39.0,36.0,True,6.676079717550945
23,46.0,46.0,36.0,True,6.542558123199926
24,65.0,46.0,36.0,False,6.411706960735928
25,46.0,46.0,36.0,True,6.283472821521209
26,46.0,46.0,36.0,True,6.157803365090785
27,46.0,46.0,36.0,True,6.034647297788969
28,46.0,46.0,36.0,True,5.91395435183319
29,36.0,36.0,36.0,True,5.795675264796526
30,36.0,36.0,36.0,True,5.679761759500596
31,65.0,36.0,36.0,False,5.566166524310584
32,36.0,36.0,36.0,True,5.454843193824373
33,36.0,36.0,36.0,True,5.345746329947885
34,67.0,36.0,36.0,False,5.238831403348927
35,36.0,36.0,36.0,True,5.134054775281948
36,60.0,36.0,36.0,False,5.0313736797763084
37,46.0,36.0,36.0,False,4.930746206180782
38,46.0,36.0,36.0,False,4.8321312820571665
39,36.0,36.0,36.0,True,4.735488656416023
40,39.0,39.0,36.0,True,4.640778883287703
41,36.0,36.0,36.0,True,4.547963305621948
42,49.0,36.0,36.0,False,4.457004039509509
43,56.0,36.0,36.0,False,4.367863958719319
44,51.0,36.0,36.0,False,4.280506679544932
45,56.0,36.0,36.0,False,4.194896545954034
46,36.0,36.0,36.0,True,4.110998615034953
47,50.0,36.0,36.0,False,4.028778642734254
48,39.0,36.0,36.0,False,3.948203069879569
49,51.0,36.0,36.0,False,3.8692390084819777
50,36.0,36.0,36.0,True,3.791854228312338
51,36.0,36.0,36.0,True,3.7160171437460914
52,36.0,36.0,36.0,True,3.6416968008711694
53,36.0,36.0,36.0,True,3.568862864853746
54,36.0,36.0,36.0,True,3.4974856075566714
55,51.0,36.0,36.0,False,3.427535895405538
56,56.0,36.0,36.0,False,3.358985177497427
57,36.0,36.0,36.0,True,3.2918054739474787
58,39.0,36.0,36.0,False,3.225969364468529
59,36.0,36.0,36.0,True,3.1614499771791587
60,46.0,36.0,36.0,False,3.0982209776355756
61,72.0,36.0,36.0,False,3.036256558082864
62,49.0,36.0,36.0,False,2.975531426921207
63,51.0,36.0,36.0,False,2.9160207983827826
64,36.0,36.0,36.0,True,2.857700382415127
65,36.0,36.0,36.0,True,2.8005463747668244
66,60.0,36.0,36.0,False,2.744535447271488
67,36.0,36.0,36.0,True,2.689644738326058
