instance,group,algorithm,successful,failed,mean,median,stdev,best,mean_gap,mean_evaluations,mean_seconds
parallel_12,main,best,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.02379453331620122
parallel_12,main,first,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.02366450000166272
parallel_12,main,lpt,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,1,0.0002997333261494835
parallel_12,main,multistart,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.024623166653327644
parallel_12,main,random,3,0,44.333333333333336,44.0,0.5773502691896257,44.0,0.031007751937984496,150,0.02535209998798867
parallel_12,main,sa,3,0,44.666666666666664,45.0,0.5773502691896257,44.0,0.03875968992248062,150,0.025546666661587853
parallel_12,sa_t0.1_c0.98,sa,3,0,44.666666666666664,45.0,0.5773502691896257,44.0,0.03875968992248062,150,0.02399463332646216
parallel_12,sa_t10.0_c0.9,sa,3,0,44.333333333333336,45.0,1.1547005383792515,43.0,0.031007751937984496,150,0.02374766666131715
parallel_12,sa_t100.0_c0.98,sa,3,0,44.333333333333336,44.0,0.5773502691896257,44.0,0.031007751937984496,150,0.02372893332115685
parallel_24,main,best,3,0,94.0,94.0,0.0,94.0,0.044444444444444446,150,0.04182373334576065
parallel_24,main,first,3,0,92.0,92.0,0.0,92.0,0.022222222222222223,150,0.04201516666216776
parallel_24,main,lpt,3,0,95.0,95.0,0.0,95.0,0.05555555555555555,1,0.0010255666566081345
parallel_24,main,multistart,3,0,94.0,94.0,0.0,94.0,0.044444444444444446,150,0.042377966650140785
parallel_24,main,random,3,0,94.33333333333333,95.0,1.1547005383792515,93.0,0.04814814814814815,150,0.04570776668454831
parallel_24,main,sa,3,0,93.33333333333333,93.0,0.5773502691896257,93.0,0.037037037037037035,150,0.042017299972940236
parallel_24,sa_t0.1_c0.98,sa,3,0,91.66666666666667,91.0,1.1547005383792515,91.0,0.018518518518518517,150,0.04207876668078825
parallel_24,sa_t10.0_c0.9,sa,3,0,92.0,91.0,2.6457513110645907,90.0,0.02222222222222222,150,0.04204123333329335
parallel_24,sa_t100.0_c0.98,sa,3,0,94.33333333333333,95.0,1.1547005383792515,93.0,0.04814814814814815,150,0.04214236669940874
routes_12,main,best,3,0,41.0,41.0,0.0,41.0,0.025,150,0.021769433340523392
routes_12,main,first,3,0,41.0,41.0,0.0,41.0,0.025,150,0.02119523335325842
routes_12,main,lpt,3,0,54.0,54.0,0.0,54.0,0.35,1,0.00034503330243751407
routes_12,main,multistart,3,0,45.0,45.0,0.0,45.0,0.125,150,0.021510766663899023
