evaluation,proposed,current,best,accepted,temperature
1,45.0,45.0,45.0,True,
2,83.0,45.0,45.0,False,
3,91.0,45.0,45.0,False,
4,50.0,45.0,45.0,False,
5,70.0,45.0,45.0,False,
6,71.0,45.0,45.0,False,
7,93.0,45.0,45.0,False,
8,68.0,45.0,45.0,False,
9,64.0,45.0,45.0,False,
10,64.0,45.0,45.0,False,
11,78.0,45.0,45.0,False,
12,60.0,45.0,45.0,False,
13,64.0,45.0,45.0,False,
14,61.0,45.0,45.0,False,
15,55.0,45.0,45.0,False,
16,102.0,45.0,45.0,False,
17,79.0,45.0,45.0,False,
18,52.0,45.0,45.0,False,
19,65.0,45.0,45.0,False,
20,52.0,45.0,45.0,False,
21,55.0,45.0,45.0,False,
22,60.0,45.0,45.0,False,
23,60.0,45.0,45.0,False,
24,78.0,45.0,45.0,False,
25,52.0,45.0,45.0,False,
26,60.0,45.0,45.0,False,
27,102.0,45.0,45.0,False,
28,53.0,45.0,45.0,False,
29,67.0,45.0,45.0,False,
30,79.0,45.0,45.0,False,
31,63.0,45.0,45.0,False,
32,82.0,45.0,45.0,False,
33,67.0,45.0,45.0,False,
34,55.0,45.0,45.0,False,
35,66.0,45.0,45.0,False,
36,74.0,45.0,45.0,False,
37,54.0,45.0,45.0,False,
38,53.0,45.0,45.0,False,
39,56.0,45.0,45.0,False,
40,75.0,45.0,45.0,False,
41,65.0,45.0,45.0,False,
42,53.0,45.0,45.0,False,
43,62.0,45.0,45.0,False,
44,52.0,45.0,45.0,False,
45,71.0,45.0,45.0,False,
46,70.0,45.0,45.0,False,
47,65.0,45.0,45.0,False,
48,77.0,45.0,45.0,False,
49,59.0,45.0,45.0,False,
50,68.0,45.0,45.0,False,
51,56.0,45.0,45.0,False,
52,68.0,45.0,45.0,False,
53,58.0,45.0,45.0,False,
54,65.0,45.0,45.0,False,
55,74.0,45.0,45.0,False,
56,84.0,45.0,45.0,False,
57,50.0,45.0,45.0,False,
58,88.0,45.0,45.0,False,
59,67.0,45.0,45.0,False,
60,63.0,45.0,45.0,False,
61,50.0,45.0,45.0,False,
62,91.0,45.0,45.0,False,
63,64.0,45.0,45.0,False,
64,71.0,45.0,45.0,False,
65,59.0,45.0,45.0,False,
66,90.0,45.0,45.0,False,
67,65.0,45.0,45.0,False,
68,81.0,45.0,45.0,False,
69,88.0,45.0,45.0,False,
70,64.0,45.0,45.0,False,
71,52.0,45.0,45.0,False,
72,79.0,45.0,45.0,False,
73,65.0,45.0,45.0,False,
74,63.0,45.0,45.0,False,
75,79.0,45.0,45.0,False,
76,60.0,45.0,45.0,False,
77,64.0,45.0,45.0,False,
78,61.0,45.0,45.0,False,
79,68.0,45.0,45.0,False,
80,85.0,45.0,45.0,False,
81,75.0,45.0,45.0,False,
82,70.0,45.0,45.0,False,
83,78.0,45.0,45.0,False,
84,51.0,45.0,45.0,False,
85,58.0,45.0,45.0,False,
86,49.0,45.0,45.0,False,
87,70.0,45.0,45.0,False,
88,57.0,45.0,45.0,False,
89,75.0,45.0,45.0,False,
90,72.0,45.0,45.0,False,
91,68.0,45.0,45.0,False,
92,71.0,45.0,45.0,False,
93,52.0,45.0,45.0,False,
94,77.0,45.0,45.0,False,
95,62.0,45.0,45.0,False,
96,50.0,45.0,45.0,False,
97,78.0,45.0,45.0,False,
98,45.0,45.0,45.0,False,
99,78.0,45.0,45.0,False,
100,53.0,45.0,45.0,False,
101,58.0,45.0,45.0,False,
102,63.0,45.0,45.0,False,
103,63.0,45.0,45.0,False,
104,63.0,45.0,45.0,False,
105,55.0,45.0,45.0,False,
106,75.0,45.0,45.0,False,
107,59.0,45.0,45.0,False,
108,91.0,45.0,45.0,False,
109,57.0,45.0,45.0,False,
110,56.0,45.0,45.0,False,
111,58.0,45.0,45.0,False,
112,73.0,45.0,45.0,False,
113,58.0,45.0,45.0,False,
114,53.0,45.0,45.0,False,
115,83.0,45.0,45.0,False,
116,72.0,45.0,45.0,False,
117,55.0,45.0,45.0,False,
118,67.0,45.0,45.0,False,
119,59.0,45.0,45.0,False,
120,68.0,45.0,45.0,False,
121,79.0,45.0,45.0,False,
122,72.0,45.0,45.0,False,
123,73.0,45.0,45.0,False,
124,68.0,45.0,45.0,False,
125,63.0,45.0,45.0,False,
126,73.0,45.0,45.0,False,
127,64.0,45.0,45.0,False,
128,51.0,45.0,45.0,False,
129,68.0,45.0,45.0,False,
130,83.0,45.0,45.0,False,
131,60.0,45.0,45.0,False,
132,78.0,45.0,45.0,False,
133,47.0,45.0,45.0,False,
134,58.0,45.0,45.0,False,
135,63.0,45.0,45.0,False,
136,56.0,45.0,45.0,False,
137,65.0,45.0,45.0,False,
138,46.0,45.0,45.0,False,
139,55.0,45.0,45.0,False,
140,60.0,45.0,45.0,False,
141,82.0,45.0,45.0,False,
142,44.0,44.0,44.0,True,
143,61.0,44.0,44.0,False,
144,67.0,44.0,44.0,False,
145,78.0,44.0,44.0,False,
146,94.0,44.0,44.0,False,
147,49.0,44.0,44.0,False,
148,81.0,44.0,44.0,False,
149,73.0,44.0,44.0,False,
150,71.0,44.0,44.0,False,
