evaluation,proposed,current,best,accepted,temperature
1,95.0,95.0,95.0,True,
2,95.0,95.0,95.0,False,
3,95.0,95.0,95.0,False,
4,95.0,95.0,95.0,False,
5,95.0,95.0,95.0,False,
6,95.0,95.0,95.0,False,
7,95.0,95.0,95.0,False,
8,95.0,95.0,95.0,False,
9,95.0,95.0,95.0,False,
10,95.0,95.0,95.0,False,
11,94.0,94.0,94.0,True,
12,95.0,94.0,94.0,False,
13,95.0,94.0,94.0,False,
14,95.0,94.0,94.0,False,
15,94.0,94.0,94.0,False,
16,95.0,94.0,94.0,False,
17,95.0,94.0,94.0,False,
18,95.0,94.0,94.0,False,
19,95.0,94.0,94.0,False,
20,95.0,94.0,94.0,False,
21,95.0,94.0,94.0,False,
22,95.0,94.0,94.0,False,
23,95.0,94.0,94.0,False,
24,95.0,94.0,94.0,False,
25,95.0,94.0,94.0,False,
26,95.0,94.0,94.0,False,
27,94.0,94.0,94.0,False,
28,95.0,94.0,94.0,False,
29,95.0,94.0,94.0,False,
30,95.0,94.0,94.0,False,
31,95.0,94.0,94.0,False,
32,95.0,94.0,94.0,False,
33,100.0,94.0,94.0,False,
34,95.0,94.0,94.0,False,
35,95.0,94.0,94.0,False,
36,95.0,94.0,94.0,False,
37,96.0,94.0,94.0,False,
38,95.0,94.0,94.0,False,
39,95.0,94.0,94.0,False,
40,95.0,94.0,94.0,False,
41,94.0,94.0,94.0,False,
42,95.0,94.0,94.0,False,
43,95.0,94.0,94.0,False,
44,95.0,94.0,94.0,False,
45,98.0,94.0,94.0,False,
46,95.0,94.0,94.0,False,
47,95.0,94.0,94.0,False,
48,95.0,94.0,94.0,False,
49,94.0,94.0,94.0,False,
50,95.0,94.0,94.0,False,
51,95.0,94.0,94.0,False,
52,95.0,94.0,94.0,False,
53,99.0,94.0,94.0,False,
54,95.0,94.0,94.0,False,
55,95.0,94.0,94.0,False,
56,95.0,94.0,94.0,False,
57,94.0,94.0,94.0,False,
58,94.0,94.0,94.0,False,
59,94.0,94.0,94.0,False,
60,94.0,94.0,94.0,False,
61,94.0,94.0,94.0,False,
62,92.0,92.0,92.0,True,
63,92.0,92.0,92.0,False,
64,94.0,92.0,92.0,False,
65,92.0,92.0,92.0,False,
66,94.0,92.0,92.0,False,
67,94.0,92.0,92.0,False,
68,94.0,92.0,92.0,False,
69,94.0,92.0,92.0,False,
70,95.0,92.0,92.0,False,
71,94.0,92.0,92.0,False,
72,95.0,92.0,92.0,False,
73,94.0,92.0,92.0,False,
74,94.0,92.0,92.0,False,
75,94.0,92.0,92.0,False,
76,94.0,92.0,92.0,False,
77,94.0,92.0,92.0,False,
78,93.0,92.0,92.0,False,
79,94.0,92.0,92.0,False,
80,94.0,92.0,92.0,False,
81,94.0,92.0,92.0,False,
82,94.0,92.0,92.0,False,
83,94.0,92.0,92.0,False,
84,100.0,92.0,92.0,False,
85,94.0,92.0,92.0,False,
86,94.0,92.0,92.0,False,
87,94.0,92.0,92.0,False,
88,96.0,92.0,92.0,False,
89,94.0,92.0,92.0,False,
90,94.0,92.0,92.0,False,
91,94.0,92.0,92.0,False,
92,94.0,92.0,92.0,False,
93,94.0,92.0,92.0,False,
94,94.0,92.0,92.0,False,
95,94.0,92.0,92.0,False,
96,98.0,92.0,92.0,False,
97,94.0,92.0,92.0,False,
98,95.0,92.0,92.0,False,
99,94.0,92.0,92.0,False,
100,93.0,92.0,92.0,False,
101,94.0,92.0,92.0,False,
102,94.0,92.0,92.0,False,
103,94.0,92.0,92.0,False,
104,99.0,92.0,92.0,False,
105,94.0,92.0,92.0,False,
106,94.0,92.0,92.0,False,
107,94.0,92.0,92.0,False,
108,94.0,92.0,92.0,False,
109,94.0,92.0,92.0,False,
110,94.0,92.0,92.0,False,
111,94.0,92.0,92.0,False,
112,94.0,92.0,92.0,False,
113,94.0,92.0,92.0,False,
114,94.0,92.0,92.0,False,
115,95.0,92.0,92.0,False,
116,94.0,92.0,92.0,False,
117,94.0,92.0,92.0,False,
118,94.0,92.0,92.0,False,
119,92.0,92.0,92.0,False,
120,94.0,92.0,92.0,False,
121,94.0,92.0,92.0,False,
122,94.0,92.0,92.0,False,
123,94.0,92.0,92.0,False,
124,94.0,92.0,92.0,False,
125,92.0,92.0,92.0,False,
126,94.0,92.0,92.0,False,
127,94.0,92.0,92.0,False,
128,94.0,92.0,92.0,False,
129,94.0,92.0,92.0,False,
130,94.0,92.0,92.0,False,
131,96.0,92.0,92.0,False,
132,94.0,92.0,92.0,False,
133,94.0,92.0,92.0,False,
134,94.0,92.0,92.0,False,
135,94.0,92.0,92.0,False,
136,94.0,92.0,92.0,False,
137,92.0,92.0,92.0,False,
138,94.0,92.0,92.0,False,
139,98.0,92.0,92.0,False,
140,94.0,92.0,92.0,False,
141,95.0,92.0,92.0,False,
142,94.0,92.0,92.0,False,
143,94.0,92.0,92.0,False,
144,94.0,92.0,92.0,False,
145,94.0,92.0,92.0,False,
146,94.0,92.0,92.0,False,
147,94.0,92.0,92.0,False,
148,94.0,92.0,92.0,False,
149,93.0,92.0,92.0,False,
150,94.0,92.0,92.0,False,
