evaluation,proposed,current,best,accepted,temperature
1,95.0,95.0,95.0,True,
2,95.0,95.0,95.0,True,10.0
3,95.0,95.0,95.0,True,9.8
4,95.0,95.0,95.0,True,9.604000000000001
5,95.0,95.0,95.0,True,9.41192
6,98.0,98.0,95.0,True,9.2236816
7,98.0,98.0,95.0,True,9.039207968000001
8,98.0,98.0,95.0,True,8.858423808640001
9,101.0,101.0,95.0,True,8.6812553324672
10,101.0,101.0,95.0,True,8.507630225817856
11,101.0,101.0,95.0,True,8.337477621301499
12,101.0,101.0,95.0,True,8.17072806887547
13,101.0,101.0,95.0,True,8.00731350749796
14,101.0,101.0,95.0,True,7.847167237348001
15,101.0,101.0,95.0,True,7.690223892601041
16,101.0,101.0,95.0,True,7.5364194147490196
17,99.0,99.0,95.0,True,7.385691026454039
18,99.0,99.0,95.0,True,7.237977205924959
19,99.0,99.0,95.0,True,7.0932176618064595
20,99.0,99.0,95.0,True,6.95135330857033
21,99.0,99.0,95.0,True,6.812326242398924
22,99.0,99.0,95.0,True,6.676079717550945
23,99.0,99.0,95.0,True,6.542558123199926
24,105.0,105.0,95.0,True,6.411706960735928
25,105.0,105.0,95.0,True,6.283472821521209
26,105.0,105.0,95.0,True,6.157803365090785
27,96.0,96.0,95.0,True,6.034647297788969
28,102.0,96.0,95.0,False,5.91395435183319
29,96.0,96.0,95.0,True,5.795675264796526
30,95.0,95.0,95.0,True,5.679761759500596
31,95.0,95.0,95.0,True,5.566166524310584
32,95.0,95.0,95.0,True,5.454843193824373
33,95.0,95.0,95.0,True,5.345746329947885
34,114.0,95.0,95.0,False,5.238831403348927
35,95.0,95.0,95.0,True,5.134054775281948
36,104.0,104.0,95.0,True,5.0313736797763084
37,120.0,104.0,95.0,False,4.930746206180782
38,111.0,104.0,95.0,False,4.8321312820571665
39,104.0,104.0,95.0,True,4.735488656416023
40,104.0,104.0,95.0,True,4.640778883287703
41,104.0,104.0,95.0,True,4.547963305621948
42,104.0,104.0,95.0,True,4.457004039509509
43,98.0,98.0,95.0,True,4.367863958719319
44,104.0,98.0,95.0,False,4.280506679544932
45,104.0,104.0,95.0,True,4.194896545954034
46,104.0,104.0,95.0,True,4.110998615034953
47,108.0,108.0,95.0,True,4.028778642734254
48,108.0,108.0,95.0,True,3.948203069879569
49,108.0,108.0,95.0,True,3.8692390084819777
50,108.0,108.0,95.0,True,3.791854228312338
51,108.0,108.0,95.0,True,3.7160171437460914
52,108.0,108.0,95.0,True,3.6416968008711694
53,102.0,102.0,95.0,True,3.568862864853746
54,112.0,102.0,95.0,False,3.4974856075566714
55,105.0,105.0,95.0,True,3.427535895405538
56,105.0,105.0,95.0,True,3.358985177497427
57,101.0,101.0,95.0,True,3.2918054739474787
58,101.0,101.0,95.0,True,3.225969364468529
59,101.0,101.0,95.0,True,3.1614499771791587
60,104.0,101.0,95.0,False,3.0982209776355756
61,101.0,101.0,95.0,True,3.036256558082864
62,101.0,101.0,95.0,True,2.975531426921207
63,103.0,101.0,95.0,False,2.9160207983827826
64,112.0,101.0,95.0,False,2.857700382415127
65,101.0,101.0,95.0,True,2.8005463747668244
66,120.0,101.0,95.0,False,2.744535447271488
67,97.0,97.0,95.0,True,2.689644738326058
68,95.0,95.0,95.0,True,2.6358518435595366
69,95.0,95.0,95.0,True,2.5831348066883457
70,101.0,95.0,95.0,False,2.5314721105545788
71,95.0,95.0,95.0,True,2.480842668343487
72,94.0,94.0,94.0,True,2.4312258149766173
73,94.0,94.0,94.0,True,2.382601298677085
74,94.0,94.0,94.0,True,2.3349492727035432
75,94.0,94.0,94.0,True,2.2882502872494723
76,94.0,94.0,94.0,True,2.2424852815044827
77,95.0,94.0,94.0,False,2.197635575874393
78,94.0,94.0,94.0,True,2.153682864356905
79,94.0,94.0,94.0,True,2.110609207069767
80,95.0,95.0,94.0,True,2.0683970229283717
81,95.0,95.0,94.0,True,2.027029082469804
82,95.0,95.0,94.0,True,1.9864885008204078
83,95.0,95.0,94.0,True,1.9467587308039997
84,95.0,95.0,94.0,True,1.9078235561879198
85,95.0,95.0,94.0,True,1.8696670850641612
86,95.0,95.0,94.0,True,1.832273743362878
87,95.0,95.0,94.0,True,1.7956282684956204
88,95.0,95.0,94.0,True,1.759715703125708
89,95.0,95.0,94.0,True,1.7245213890631939
90,113.0,95.0,94.0,False,1.69003096128193
91,95.0,95.0,94.0,True,1.6562303420562914
92,115.0,95.0,94.0,False,1.6231057352151654
93,95.0,95.0,94.0,True,1.590643620510862
94,95.0,95.0,94.0,True,1.5588307481006447
95,95.0,95.0,94.0,True,1.5276541331386317
96,95.0,95.0,94.0,True,1.497101050475859
97,95.0,95.0,94.0,True,1.467159029466342
98,114.0,95.0,94.0,False,1.437815848877015
