evaluation,proposed,current,best,accepted,temperature
1,95.0,95.0,95.0,True,
2,95.0,95.0,95.0,True,10.0
3,95.0,95.0,95.0,True,9.0
4,95.0,95.0,95.0,True,8.1
5,95.0,95.0,95.0,True,7.29
6,95.0,95.0,95.0,True,6.561
7,99.0,95.0,95.0,False,5.9049000000000005
8,95.0,95.0,95.0,True,5.3144100000000005
9,101.0,95.0,95.0,False,4.7829690000000005
10,95.0,95.0,95.0,True,4.3046721
11,95.0,95.0,95.0,True,3.8742048900000006
12,94.0,94.0,94.0,True,3.4867844010000004
13,94.0,94.0,94.0,True,3.1381059609000004
14,94.0,94.0,94.0,True,2.82429536481
15,94.0,94.0,94.0,True,2.541865828329
16,100.0,94.0,94.0,False,2.2876792454961
17,94.0,94.0,94.0,True,2.05891132094649
18,94.0,94.0,94.0,True,1.853020188851841
19,94.0,94.0,94.0,True,1.6677181699666568
20,94.0,94.0,94.0,True,1.5009463529699911
21,94.0,94.0,94.0,True,1.350851717672992
22,94.0,94.0,94.0,True,1.2157665459056928
23,94.0,94.0,94.0,True,1.0941898913151236
24,94.0,94.0,94.0,True,0.9847709021836112
25,103.0,94.0,94.0,False,0.88629381196525
26,94.0,94.0,94.0,True,0.7976644307687251
27,94.0,94.0,94.0,True,0.7178979876918525
28,94.0,94.0,94.0,True,0.6461081889226673
29,94.0,94.0,94.0,True,0.5814973700304006
30,94.0,94.0,94.0,True,0.5233476330273605
31,94.0,94.0,94.0,True,0.47101286972462447
32,94.0,94.0,94.0,True,0.423911582752162
33,94.0,94.0,94.0,True,0.38152042447694584
34,94.0,94.0,94.0,True,0.34336838202925124
35,94.0,94.0,94.0,True,0.30903154382632614
36,95.0,94.0,94.0,False,0.27812838944369356
37,94.0,94.0,94.0,True,0.2503155504993242
38,94.0,94.0,94.0,True,0.2252839954493918
39,94.0,94.0,94.0,True,0.2027555959044526
40,94.0,94.0,94.0,True,0.18248003631400736
41,91.0,91.0,91.0,True,0.16423203268260664
42,91.0,91.0,91.0,True,0.14780882941434598
43,96.0,91.0,91.0,False,0.13302794647291138
44,92.0,91.0,91.0,False,0.11972515182562025
45,97.0,91.0,91.0,False,0.10775263664305823
46,91.0,91.0,91.0,True,0.0969773729787524
47,111.0,91.0,91.0,False,0.08727963568087717
48,92.0,91.0,91.0,False,0.07855167211278945
49,91.0,91.0,91.0,True,0.0706965049015105
50,91.0,91.0,91.0,True,0.06362685441135946
51,93.0,91.0,91.0,False,0.05726416897022351
52,111.0,91.0,91.0,False,0.05153775207320116
53,111.0,91.0,91.0,False,0.04638397686588105
54,91.0,91.0,91.0,True,0.041745579179292946
55,92.0,91.0,91.0,False,0.037571021261363656
56,91.0,91.0,91.0,True,0.03381391913522729
57,91.0,91.0,91.0,True,0.030432527221704565
58,97.0,91.0,91.0,False,0.02738927449953411
59,108.0,91.0,91.0,False,0.0246503470495807
60,96.0,91.0,91.0,False,0.02218531234462263
61,91.0,91.0,91.0,True,0.01996678111016037
62,91.0,91.0,91.0,True,0.017970102999144335
63,91.0,91.0,91.0,True,0.016173092699229903
64,91.0,91.0,91.0,True,0.014555783429306914
65,91.0,91.0,91.0,True,0.013100205086376222
66,91.0,91.0,91.0,True,0.0117901845777386
67,91.0,91.0,91.0,True,0.010611166119964741
68,91.0,91.0,91.0,True,0.009550049507968268
69,91.0,91.0,91.0,True,0.00859504455717144
70,94.0,91.0,91.0,False,0.007735540101454296
71,91.0,91.0,91.0,True,0.006961986091308867
72,91.0,91.0,91.0,True,0.00626578748217798
73,91.0,91.0,91.0,True,0.005639208733960182
74,91.0,91.0,91.0,True,0.005075287860564165
75,91.0,91.0,91.0,True,0.004567759074507748
76,91.0,91.0,91.0,True,0.004110983167056974
77,103.0,91.0,91.0,False,0.0036998848503512764
78,91.0,91.0,91.0,True,0.003329896365316149
79,99.0,91.0,91.0,False,0.002996906728784534
80,91.0,91.0,91.0,True,0.0026972160559060807
81,97.0,91.0,91.0,False,0.0024274944503154725
82,96.0,91.0,91.0,False,0.0021847450052839253
83,91.0,91.0,91.0,True,0.001966270504755533
84,91.0,91.0,91.0,True,0.0017696434542799797
85,96.0,91.0,91.0,False,0.0015926791088519817
86,91.0,91.0,91.0,True,0.0014334111979667837
87,96.0,91.0,91.0,False,0.0012900700781701053
88,91.0,91.0,91.0,True,0.0011610630703530948
89,97.0,91.0,91.0,False,0.0010449567633177854
90,91.0,91.0,91.0,True,0.0009404610869860069
91,91.0,91.0,91.0,True,0.0008464149782874062
92,91.0,91.0,91.0,True,0.0007617734804586657
93,91.0,91.0,91.0,True,0.0006855961324127992
94,91.0,91.0,91.0,True,0.0006170365191715193
95,91.0,91.0,91.0,True,0.0005553328672543673
96,91.0,91.0,91.0,True,0.0004997995805289306
