evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,False,
3,54.0,54.0,54.0,False,
4,54.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,54.0,54.0,54.0,False,
7,54.0,54.0,54.0,False,
8,54.0,54.0,54.0,False,
9,54.0,54.0,54.0,False,
10,54.0,54.0,54.0,False,
11,54.0,54.0,54.0,False,
12,54.0,54.0,54.0,False,
13,80.0,54.0,54.0,False,
14,94.0,54.0,54.0,False,
15,89.0,54.0,54.0,False,
16,89.0,54.0,54.0,False,
17,86.0,54.0,54.0,False,
18,86.0,54.0,54.0,False,
19,85.0,54.0,54.0,False,
20,85.0,54.0,54.0,False,
21,84.0,54.0,54.0,False,
22,84.0,54.0,54.0,False,
23,54.0,54.0,54.0,False,
24,54.0,54.0,54.0,False,
25,54.0,54.0,54.0,False,
26,55.0,54.0,54.0,False,
27,54.0,54.0,54.0,False,
28,54.0,54.0,54.0,False,
29,54.0,54.0,54.0,False,
30,54.0,54.0,54.0,False,
31,54.0,54.0,54.0,False,
32,45.0,45.0,45.0,True,
33,45.0,45.0,45.0,False,
34,45.0,45.0,45.0,False,
35,45.0,45.0,45.0,False,
36,70.0,45.0,45.0,False,
37,70.0,45.0,45.0,False,
38,70.0,45.0,45.0,False,
39,70.0,45.0,45.0,False,
40,79.0,45.0,45.0,False,
41,70.0,45.0,45.0,False,
42,70.0,45.0,45.0,False,
43,80.0,45.0,45.0,False,
44,92.0,45.0,45.0,False,
45,80.0,45.0,45.0,False,
46,75.0,45.0,45.0,False,
47,75.0,45.0,45.0,False,
48,72.0,45.0,45.0,False,
49,72.0,45.0,45.0,False,
50,71.0,45.0,45.0,False,
51,71.0,45.0,45.0,False,
52,70.0,45.0,45.0,False,
53,70.0,45.0,45.0,False,
54,45.0,45.0,45.0,False,
55,45.0,45.0,45.0,False,
56,45.0,45.0,45.0,False,
57,55.0,45.0,45.0,False,
58,45.0,45.0,45.0,False,
59,54.0,45.0,45.0,False,
60,54.0,45.0,45.0,False,
61,42.0,42.0,42.0,True,
62,50.0,42.0,42.0,False,
63,50.0,42.0,42.0,False,
64,50.0,42.0,42.0,False,
65,50.0,42.0,42.0,False,
66,50.0,42.0,42.0,False,
67,50.0,42.0,42.0,False,
68,50.0,42.0,42.0,False,
69,50.0,42.0,42.0,False,
70,50.0,42.0,42.0,False,
71,70.0,42.0,42.0,False,
72,79.0,42.0,42.0,False,
73,94.0,42.0,42.0,False,
74,79.0,42.0,42.0,False,
75,74.0,42.0,42.0,False,
76,74.0,42.0,42.0,False,
77,71.0,42.0,42.0,False,
78,71.0,42.0,42.0,False,
79,70.0,42.0,42.0,False,
80,70.0,42.0,42.0,False,
81,69.0,42.0,42.0,False,
82,69.0,42.0,42.0,False,
83,42.0,42.0,42.0,False,
84,42.0,42.0,42.0,False,
85,42.0,42.0,42.0,False,
86,55.0,42.0,42.0,False,
87,42.0,42.0,42.0,False,
88,42.0,42.0,42.0,False,
89,42.0,42.0,42.0,False,
90,45.0,42.0,42.0,False,
91,54.0,42.0,42.0,False,
92,69.0,42.0,42.0,False,
93,54.0,42.0,42.0,False,
94,54.0,42.0,42.0,False,
95,54.0,42.0,42.0,False,
96,54.0,42.0,42.0,False,
97,54.0,42.0,42.0,False,
98,53.0,42.0,42.0,False,
99,53.0,42.0,42.0,False,
100,52.0,42.0,42.0,False,
101,52.0,42.0,42.0,False,
102,42.0,42.0,42.0,False,
103,42.0,42.0,42.0,False,
104,55.0,42.0,42.0,False,
105,55.0,42.0,42.0,False,
106,55.0,42.0,42.0,False,
107,55.0,42.0,42.0,False,
108,55.0,42.0,42.0,False,
109,55.0,42.0,42.0,False,
110,55.0,42.0,42.0,False,
111,55.0,42.0,42.0,False,
112,55.0,42.0,42.0,False,
113,55.0,42.0,42.0,False,
114,65.0,42.0,42.0,False,
115,55.0,42.0,42.0,False,
116,65.0,42.0,42.0,False,
117,57.0,42.0,42.0,False,
118,57.0,42.0,42.0,False,
119,57.0,42.0,42.0,False,
120,42.0,42.0,42.0,False,
121,42.0,42.0,42.0,False,
122,42.0,42.0,42.0,False,
123,42.0,42.0,42.0,False,
124,42.0,42.0,42.0,False,
125,45.0,42.0,42.0,False,
126,42.0,42.0,42.0,False,
127,54.0,42.0,42.0,False,
128,42.0,42.0,42.0,False,
129,42.0,42.0,42.0,False,
130,42.0,42.0,42.0,False,
131,50.0,42.0,42.0,False,
132,42.0,42.0,42.0,False,
133,50.0,42.0,42.0,False,
134,42.0,42.0,42.0,False,
135,41.0,41.0,41.0,True,
136,49.0,41.0,41.0,False,
137,49.0,41.0,41.0,False,
138,49.0,41.0,41.0,False,
139,49.0,41.0,41.0,False,
140,49.0,41.0,41.0,False,
141,49.0,41.0,41.0,False,
142,49.0,41.0,41.0,False,
143,49.0,41.0,41.0,False,
144,49.0,41.0,41.0,False,
145,49.0,41.0,41.0,False,
146,49.0,41.0,41.0,False,
147,54.0,41.0,41.0,False,
148,49.0,41.0,41.0,False,
149,44.0,41.0,41.0,False,
150,44.0,41.0,41.0,False,
