evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,False,
3,54.0,54.0,54.0,False,
4,54.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,54.0,54.0,54.0,False,
7,54.0,54.0,54.0,False,
8,54.0,54.0,54.0,False,
9,54.0,54.0,54.0,False,
10,54.0,54.0,54.0,False,
11,54.0,54.0,54.0,False,
12,54.0,54.0,54.0,False,
13,80.0,54.0,54.0,False,
14,94.0,54.0,54.0,False,
15,89.0,54.0,54.0,False,
16,89.0,54.0,54.0,False,
17,86.0,54.0,54.0,False,
18,86.0,54.0,54.0,False,
19,85.0,54.0,54.0,False,
20,85.0,54.0,54.0,False,
21,84.0,54.0,54.0,False,
22,84.0,54.0,54.0,False,
23,54.0,54.0,54.0,False,
24,54.0,54.0,54.0,False,
25,54.0,54.0,54.0,False,
26,55.0,54.0,54.0,False,
27,54.0,54.0,54.0,False,
28,54.0,54.0,54.0,False,
29,54.0,54.0,54.0,False,
30,54.0,54.0,54.0,False,
31,54.0,54.0,54.0,False,
32,45.0,45.0,45.0,True,
33,45.0,45.0,45.0,False,
34,45.0,45.0,45.0,False,
35,45.0,45.0,45.0,False,
36,70.0,45.0,45.0,False,
37,70.0,45.0,45.0,False,
38,70.0,45.0,45.0,False,
39,70.0,45.0,45.0,False,
40,79.0,45.0,45.0,False,
41,60.0,60.0,45.0,True,
42,60.0,60.0,45.0,False,
43,60.0,60.0,45.0,False,
44,60.0,60.0,45.0,False,
45,60.0,60.0,45.0,False,
46,60.0,60.0,45.0,False,
47,60.0,60.0,45.0,False,
48,60.0,60.0,45.0,False,
49,60.0,60.0,45.0,False,
50,60.0,60.0,45.0,False,
51,60.0,60.0,45.0,False,
52,60.0,60.0,45.0,False,
53,72.0,60.0,45.0,False,
54,72.0,60.0,45.0,False,
55,72.0,60.0,45.0,False,
56,72.0,60.0,45.0,False,
57,63.0,60.0,45.0,False,
58,72.0,60.0,45.0,False,
59,72.0,60.0,45.0,False,
60,72.0,60.0,45.0,False,
61,79.0,60.0,45.0,False,
62,69.0,60.0,45.0,False,
63,60.0,60.0,45.0,False,
64,60.0,60.0,45.0,False,
65,60.0,60.0,45.0,False,
66,60.0,60.0,45.0,False,
67,60.0,60.0,45.0,False,
68,60.0,60.0,45.0,False,
69,60.0,60.0,45.0,False,
70,77.0,60.0,45.0,False,
71,60.0,60.0,45.0,False,
72,61.0,60.0,45.0,False,
73,60.0,60.0,45.0,False,
74,60.0,60.0,45.0,False,
75,60.0,60.0,45.0,False,
76,63.0,60.0,45.0,False,
77,60.0,60.0,45.0,False,
78,60.0,60.0,45.0,False,
79,60.0,60.0,45.0,False,
80,60.0,60.0,45.0,False,
81,67.0,67.0,45.0,True,
82,67.0,67.0,45.0,False,
83,67.0,67.0,45.0,False,
84,67.0,67.0,45.0,False,
85,67.0,67.0,45.0,False,
86,67.0,67.0,45.0,False,
87,67.0,67.0,45.0,False,
88,67.0,67.0,45.0,False,
89,55.0,55.0,45.0,True,
90,55.0,55.0,45.0,False,
91,55.0,55.0,45.0,False,
92,55.0,55.0,45.0,False,
93,67.0,55.0,45.0,False,
94,67.0,55.0,45.0,False,
95,67.0,55.0,45.0,False,
96,67.0,55.0,45.0,False,
97,67.0,55.0,45.0,False,
98,67.0,55.0,45.0,False,
99,67.0,55.0,45.0,False,
100,67.0,55.0,45.0,False,
101,67.0,55.0,45.0,False,
102,67.0,55.0,45.0,False,
103,50.0,50.0,45.0,True,
104,50.0,50.0,45.0,False,
105,50.0,50.0,45.0,False,
106,50.0,50.0,45.0,False,
107,48.0,48.0,45.0,True,
108,48.0,48.0,45.0,False,
109,48.0,48.0,45.0,False,
110,48.0,48.0,45.0,False,
111,50.0,48.0,45.0,False,
112,50.0,48.0,45.0,False,
113,50.0,48.0,45.0,False,
114,50.0,48.0,45.0,False,
115,50.0,48.0,45.0,False,
116,50.0,48.0,45.0,False,
117,50.0,48.0,45.0,False,
118,50.0,48.0,45.0,False,
119,50.0,48.0,45.0,False,
120,50.0,48.0,45.0,False,
121,72.0,72.0,45.0,True,
122,72.0,72.0,45.0,False,
123,72.0,72.0,45.0,False,
124,72.0,72.0,45.0,False,
125,72.0,72.0,45.0,False,
126,72.0,72.0,45.0,False,
127,72.0,72.0,45.0,False,
128,72.0,72.0,45.0,False,
129,72.0,72.0,45.0,False,
130,72.0,72.0,45.0,False,
131,72.0,72.0,45.0,False,
132,72.0,72.0,45.0,False,
133,64.0,64.0,45.0,True,
134,64.0,64.0,45.0,False,
135,64.0,64.0,45.0,False,
136,64.0,64.0,45.0,False,
137,72.0,64.0,45.0,False,
138,72.0,64.0,45.0,False,
139,72.0,64.0,45.0,False,
140,72.0,64.0,45.0,False,
141,72.0,64.0,45.0,False,
142,72.0,64.0,45.0,False,
143,72.0,64.0,45.0,False,
144,72.0,64.0,45.0,False,
145,72.0,64.0,45.0,False,
146,72.0,64.0,45.0,False,
147,77.0,64.0,45.0,False,
148,61.0,61.0,45.0,True,
149,61.0,61.0,45.0,False,
150,61.0,61.0,45.0,False,
