evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,62.0,54.0,54.0,False,
3,75.0,54.0,54.0,False,
4,72.0,54.0,54.0,False,
5,58.0,54.0,54.0,False,
6,73.0,54.0,54.0,False,
7,80.0,54.0,54.0,False,
8,96.0,54.0,54.0,False,
9,72.0,54.0,54.0,False,
10,62.0,54.0,54.0,False,
11,62.0,54.0,54.0,False,
12,96.0,54.0,54.0,False,
13,89.0,54.0,54.0,False,
14,64.0,54.0,54.0,False,
15,64.0,54.0,54.0,False,
16,67.0,54.0,54.0,False,
17,63.0,54.0,54.0,False,
18,73.0,54.0,54.0,False,
19,79.0,54.0,54.0,False,
20,93.0,54.0,54.0,False,
21,68.0,54.0,54.0,False,
22,61.0,54.0,54.0,False,
23,68.0,54.0,54.0,False,
24,62.0,54.0,54.0,False,
25,71.0,54.0,54.0,False,
26,64.0,54.0,54.0,False,
27,93.0,54.0,54.0,False,
28,62.0,54.0,54.0,False,
29,69.0,54.0,54.0,False,
30,76.0,54.0,54.0,False,
31,75.0,54.0,54.0,False,
32,79.0,54.0,54.0,False,
33,60.0,54.0,54.0,False,
34,65.0,54.0,54.0,False,
35,54.0,54.0,54.0,False,
36,57.0,54.0,54.0,False,
37,60.0,54.0,54.0,False,
38,69.0,54.0,54.0,False,
39,62.0,54.0,54.0,False,
40,67.0,54.0,54.0,False,
41,81.0,54.0,54.0,False,
42,59.0,54.0,54.0,False,
43,80.0,54.0,54.0,False,
44,63.0,54.0,54.0,False,
45,76.0,54.0,54.0,False,
46,75.0,54.0,54.0,False,
47,79.0,54.0,54.0,False,
48,69.0,54.0,54.0,False,
49,70.0,54.0,54.0,False,
50,78.0,54.0,54.0,False,
51,48.0,48.0,48.0,True,
52,72.0,48.0,48.0,False,
53,79.0,48.0,48.0,False,
54,90.0,48.0,48.0,False,
55,114.0,48.0,48.0,False,
56,76.0,48.0,48.0,False,
57,65.0,48.0,48.0,False,
58,52.0,48.0,48.0,False,
59,61.0,48.0,48.0,False,
60,58.0,48.0,48.0,False,
61,77.0,48.0,48.0,False,
62,85.0,48.0,48.0,False,
63,60.0,48.0,48.0,False,
64,96.0,48.0,48.0,False,
65,81.0,48.0,48.0,False,
66,66.0,48.0,48.0,False,
67,80.0,48.0,48.0,False,
68,47.0,47.0,47.0,True,
69,56.0,47.0,47.0,False,
70,68.0,47.0,47.0,False,
71,101.0,47.0,47.0,False,
72,89.0,47.0,47.0,False,
73,49.0,47.0,47.0,False,
74,69.0,47.0,47.0,False,
75,91.0,47.0,47.0,False,
76,70.0,47.0,47.0,False,
77,79.0,47.0,47.0,False,
78,49.0,47.0,47.0,False,
79,57.0,47.0,47.0,False,
80,100.0,47.0,47.0,False,
81,59.0,47.0,47.0,False,
82,64.0,47.0,47.0,False,
83,95.0,47.0,47.0,False,
84,75.0,47.0,47.0,False,
85,107.0,47.0,47.0,False,
86,49.0,47.0,47.0,False,
87,84.0,47.0,47.0,False,
88,77.0,47.0,47.0,False,
89,61.0,47.0,47.0,False,
90,78.0,47.0,47.0,False,
91,80.0,47.0,47.0,False,
92,73.0,47.0,47.0,False,
93,74.0,47.0,47.0,False,
94,96.0,47.0,47.0,False,
95,93.0,47.0,47.0,False,
96,73.0,47.0,47.0,False,
97,73.0,47.0,47.0,False,
98,70.0,47.0,47.0,False,
99,95.0,47.0,47.0,False,
100,72.0,47.0,47.0,False,
101,85.0,47.0,47.0,False,
102,75.0,47.0,47.0,False,
103,95.0,47.0,47.0,False,
104,73.0,47.0,47.0,False,
105,69.0,47.0,47.0,False,
106,72.0,47.0,47.0,False,
107,74.0,47.0,47.0,False,
108,68.0,47.0,47.0,False,
109,50.0,47.0,47.0,False,
110,82.0,47.0,47.0,False,
111,76.0,47.0,47.0,False,
112,92.0,47.0,47.0,False,
113,94.0,47.0,47.0,False,
114,66.0,47.0,47.0,False,
115,70.0,47.0,47.0,False,
116,86.0,47.0,47.0,False,
117,66.0,47.0,47.0,False,
118,65.0,47.0,47.0,False,
119,81.0,47.0,47.0,False,
120,59.0,47.0,47.0,False,
121,76.0,47.0,47.0,False,
122,68.0,47.0,47.0,False,
123,90.0,47.0,47.0,False,
124,111.0,47.0,47.0,False,
125,64.0,47.0,47.0,False,
126,57.0,47.0,47.0,False,
127,59.0,47.0,47.0,False,
128,103.0,47.0,47.0,False,
129,76.0,47.0,47.0,False,
130,60.0,47.0,47.0,False,
131,79.0,47.0,47.0,False,
132,61.0,47.0,47.0,False,
133,74.0,47.0,47.0,False,
134,70.0,47.0,47.0,False,
135,64.0,47.0,47.0,False,
136,66.0,47.0,47.0,False,
137,77.0,47.0,47.0,False,
138,84.0,47.0,47.0,False,
139,67.0,47.0,47.0,False,
140,94.0,47.0,47.0,False,
141,56.0,47.0,47.0,False,
142,86.0,47.0,47.0,False,
143,75.0,47.0,47.0,False,
144,71.0,47.0,47.0,False,
145,78.0,47.0,47.0,False,
146,73.0,47.0,47.0,False,
147,63.0,47.0,47.0,False,
148,66.0,47.0,47.0,False,
149,77.0,47.0,47.0,False,
150,64.0,47.0,47.0,False,
