evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,704.0,704.0,704.0,True,
3,719.0,704.0,704.0,False,
4,730.0,704.0,704.0,False,
5,715.0,704.0,704.0,False,
6,702.0,702.0,702.0,True,
7,711.0,702.0,702.0,False,
8,726.0,702.0,702.0,False,
9,711.0,702.0,702.0,False,
10,704.0,702.0,702.0,False,
11,715.0,702.0,702.0,False,
12,690.0,690.0,690.0,True,
13,711.0,690.0,690.0,False,
14,726.0,690.0,690.0,False,
15,711.0,690.0,690.0,False,
16,704.0,690.0,690.0,False,
17,715.0,690.0,690.0,False,
18,702.0,690.0,690.0,False,
19,715.0,690.0,690.0,False,
20,609.0,609.0,609.0,True,
21,699.0,609.0,609.0,False,
22,717.0,609.0,609.0,False,
23,702.0,609.0,609.0,False,
24,698.0,609.0,609.0,False,
25,709.0,609.0,609.0,False,
26,699.0,609.0,609.0,False,
27,712.0,609.0,609.0,False,
28,690.0,609.0,609.0,False,
29,715.0,609.0,609.0,False,
30,658.0,609.0,609.0,False,
31,714.0,609.0,609.0,False,
32,633.0,609.0,609.0,False,
33,711.0,609.0,609.0,False,
34,610.0,609.0,609.0,False,
35,707.0,609.0,609.0,False,
36,607.0,607.0,607.0,True,
37,659.0,607.0,607.0,False,
38,682.0,607.0,607.0,False,
39,667.0,607.0,607.0,False,
40,668.0,607.0,607.0,False,
41,607.0,607.0,607.0,True,
42,517.0,517.0,517.0,True,
43,607.0,517.0,517.0,False,
44,542.0,517.0,517.0,False,
45,603.0,517.0,517.0,False,
46,592.0,517.0,517.0,False,
47,606.0,517.0,517.0,False,
48,542.0,517.0,517.0,False,
49,601.0,517.0,517.0,False,
50,634.0,517.0,517.0,False,
51,604.0,517.0,517.0,False,
52,627.0,517.0,517.0,False,
53,611.0,517.0,517.0,False,
54,541.0,517.0,517.0,False,
55,608.0,517.0,517.0,False,
56,619.0,517.0,517.0,False,
57,611.0,517.0,517.0,False,
58,515.0,515.0,515.0,True,
59,567.0,515.0,515.0,False,
60,507.0,507.0,507.0,True,
61,568.0,507.0,507.0,False,
62,515.0,507.0,507.0,False,
63,567.0,507.0,507.0,False,
64,561.0,507.0,507.0,False,
65,574.0,507.0,507.0,False,
66,515.0,507.0,507.0,False,
67,573.0,507.0,507.0,False,
68,611.0,507.0,507.0,False,
69,580.0,507.0,507.0,False,
70,608.0,507.0,507.0,False,
71,591.0,507.0,507.0,False,
72,526.0,507.0,507.0,False,
73,592.0,507.0,507.0,False,
74,608.0,507.0,507.0,False,
75,599.0,507.0,507.0,False,
76,510.0,507.0,507.0,False,
77,603.0,507.0,507.0,False,
78,513.0,507.0,507.0,False,
79,600.0,507.0,507.0,False,
80,562.0,507.0,507.0,False,
81,471.0,471.0,471.0,True,
82,443.0,443.0,443.0,True,
83,471.0,443.0,443.0,False,
84,388.0,388.0,388.0,True,
85,478.0,388.0,388.0,False,
86,443.0,388.0,388.0,False,
87,471.0,388.0,388.0,False,
88,409.0,388.0,388.0,False,
89,467.0,388.0,388.0,False,
90,411.0,388.0,388.0,False,
91,462.0,388.0,388.0,False,
92,408.0,388.0,388.0,False,
93,457.0,388.0,388.0,False,
94,484.0,388.0,388.0,False,
95,460.0,388.0,388.0,False,
96,412.0,388.0,388.0,False,
97,457.0,388.0,388.0,False,
98,478.0,388.0,388.0,False,
99,460.0,388.0,388.0,False,
100,434.0,388.0,388.0,False,
101,459.0,388.0,388.0,False,
102,526.0,388.0,388.0,False,
103,466.0,388.0,388.0,False,
104,523.0,388.0,388.0,False,
105,469.0,388.0,388.0,False,
106,371.0,371.0,371.0,True,
107,426.0,371.0,371.0,False,
108,471.0,371.0,371.0,False,
109,443.0,371.0,371.0,False,
110,382.0,371.0,371.0,False,
111,439.0,371.0,371.0,False,
112,384.0,371.0,371.0,False,
113,434.0,371.0,371.0,False,
114,381.0,371.0,371.0,False,
115,429.0,371.0,371.0,False,
116,468.0,371.0,371.0,False,
117,432.0,371.0,371.0,False,
118,395.0,371.0,371.0,False,
119,429.0,371.0,371.0,False,
120,462.0,371.0,371.0,False,
121,628.0,628.0,371.0,True,
122,652.0,628.0,371.0,False,
123,626.0,626.0,371.0,True,
124,656.0,626.0,371.0,False,
125,628.0,626.0,371.0,False,
126,652.0,626.0,371.0,False,
127,645.0,626.0,371.0,False,
128,654.0,626.0,371.0,False,
129,539.0,539.0,371.0,True,
130,635.0,539.0,371.0,False,
131,614.0,539.0,371.0,False,
132,638.0,539.0,371.0,False,
133,638.0,539.0,371.0,False,
134,647.0,539.0,371.0,False,
135,626.0,539.0,371.0,False,
136,654.0,539.0,371.0,False,
137,562.0,539.0,371.0,False,
138,650.0,539.0,371.0,False,
139,562.0,539.0,371.0,False,
140,645.0,539.0,371.0,False,
141,559.0,539.0,371.0,False,
142,640.0,539.0,371.0,False,
143,576.0,539.0,371.0,False,
144,639.0,539.0,371.0,False,
145,555.0,539.0,371.0,False,
146,632.0,539.0,371.0,False,
147,544.0,539.0,371.0,False,
148,629.0,539.0,371.0,False,
149,629.0,539.0,371.0,False,
150,632.0,539.0,371.0,False,
