evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,506.0,506.0,506.0,True,
3,431.0,431.0,431.0,True,
4,616.0,431.0,431.0,False,
5,524.0,431.0,431.0,False,
6,536.0,431.0,431.0,False,
7,407.0,407.0,407.0,True,
8,411.0,407.0,407.0,False,
9,522.0,407.0,407.0,False,
10,524.0,407.0,407.0,False,
11,456.0,407.0,407.0,False,
12,396.0,396.0,396.0,True,
13,534.0,396.0,396.0,False,
14,445.0,396.0,396.0,False,
15,573.0,396.0,396.0,False,
16,491.0,396.0,396.0,False,
17,428.0,396.0,396.0,False,
18,549.0,396.0,396.0,False,
19,513.0,396.0,396.0,False,
20,414.0,396.0,396.0,False,
21,533.0,396.0,396.0,False,
22,382.0,382.0,382.0,True,
23,549.0,382.0,382.0,False,
24,546.0,382.0,382.0,False,
25,536.0,382.0,382.0,False,
26,477.0,382.0,382.0,False,
27,630.0,382.0,382.0,False,
28,498.0,382.0,382.0,False,
29,519.0,382.0,382.0,False,
30,399.0,382.0,382.0,False,
31,479.0,382.0,382.0,False,
32,673.0,382.0,382.0,False,
33,381.0,381.0,381.0,True,
34,624.0,381.0,381.0,False,
35,303.0,303.0,303.0,True,
36,549.0,303.0,303.0,False,
37,561.0,303.0,303.0,False,
38,467.0,303.0,303.0,False,
39,560.0,303.0,303.0,False,
40,521.0,303.0,303.0,False,
41,462.0,303.0,303.0,False,
42,411.0,303.0,303.0,False,
43,521.0,303.0,303.0,False,
44,491.0,303.0,303.0,False,
45,460.0,303.0,303.0,False,
46,550.0,303.0,303.0,False,
47,477.0,303.0,303.0,False,
48,385.0,303.0,303.0,False,
49,497.0,303.0,303.0,False,
50,525.0,303.0,303.0,False,
51,590.0,303.0,303.0,False,
52,482.0,303.0,303.0,False,
53,635.0,303.0,303.0,False,
54,521.0,303.0,303.0,False,
55,526.0,303.0,303.0,False,
56,492.0,303.0,303.0,False,
57,510.0,303.0,303.0,False,
58,546.0,303.0,303.0,False,
59,606.0,303.0,303.0,False,
60,565.0,303.0,303.0,False,
61,594.0,303.0,303.0,False,
62,577.0,303.0,303.0,False,
63,388.0,303.0,303.0,False,
64,395.0,303.0,303.0,False,
65,525.0,303.0,303.0,False,
66,561.0,303.0,303.0,False,
67,399.0,303.0,303.0,False,
68,567.0,303.0,303.0,False,
69,424.0,303.0,303.0,False,
70,458.0,303.0,303.0,False,
71,463.0,303.0,303.0,False,
72,465.0,303.0,303.0,False,
73,480.0,303.0,303.0,False,
74,442.0,303.0,303.0,False,
75,409.0,303.0,303.0,False,
76,569.0,303.0,303.0,False,
77,436.0,303.0,303.0,False,
78,567.0,303.0,303.0,False,
79,517.0,303.0,303.0,False,
80,408.0,303.0,303.0,False,
81,509.0,303.0,303.0,False,
82,447.0,303.0,303.0,False,
83,391.0,303.0,303.0,False,
84,514.0,303.0,303.0,False,
85,395.0,303.0,303.0,False,
86,588.0,303.0,303.0,False,
87,499.0,303.0,303.0,False,
88,576.0,303.0,303.0,False,
89,591.0,303.0,303.0,False,
90,461.0,303.0,303.0,False,
91,459.0,303.0,303.0,False,
92,488.0,303.0,303.0,False,
93,603.0,303.0,303.0,False,
94,369.0,303.0,303.0,False,
95,558.0,303.0,303.0,False,
96,563.0,303.0,303.0,False,
97,432.0,303.0,303.0,False,
98,559.0,303.0,303.0,False,
99,569.0,303.0,303.0,False,
100,580.0,303.0,303.0,False,
101,422.0,303.0,303.0,False,
102,482.0,303.0,303.0,False,
103,450.0,303.0,303.0,False,
104,446.0,303.0,303.0,False,
105,630.0,303.0,303.0,False,
106,447.0,303.0,303.0,False,
107,381.0,303.0,303.0,False,
108,397.0,303.0,303.0,False,
109,390.0,303.0,303.0,False,
110,344.0,303.0,303.0,False,
111,558.0,303.0,303.0,False,
112,349.0,303.0,303.0,False,
113,447.0,303.0,303.0,False,
114,544.0,303.0,303.0,False,
115,449.0,303.0,303.0,False,
116,394.0,303.0,303.0,False,
117,470.0,303.0,303.0,False,
118,504.0,303.0,303.0,False,
119,454.0,303.0,303.0,False,
120,513.0,303.0,303.0,False,
121,599.0,303.0,303.0,False,
122,364.0,303.0,303.0,False,
123,460.0,303.0,303.0,False,
124,652.0,303.0,303.0,False,
125,596.0,303.0,303.0,False,
126,359.0,303.0,303.0,False,
127,442.0,303.0,303.0,False,
128,484.0,303.0,303.0,False,
129,585.0,303.0,303.0,False,
130,473.0,303.0,303.0,False,
131,507.0,303.0,303.0,False,
132,499.0,303.0,303.0,False,
133,355.0,303.0,303.0,False,
134,518.0,303.0,303.0,False,
135,425.0,303.0,303.0,False,
136,579.0,303.0,303.0,False,
137,495.0,303.0,303.0,False,
138,558.0,303.0,303.0,False,
139,536.0,303.0,303.0,False,
140,414.0,303.0,303.0,False,
141,609.0,303.0,303.0,False,
142,482.0,303.0,303.0,False,
143,588.0,303.0,303.0,False,
144,491.0,303.0,303.0,False,
145,445.0,303.0,303.0,False,
146,450.0,303.0,303.0,False,
147,560.0,303.0,303.0,False,
148,515.0,303.0,303.0,False,
149,392.0,303.0,303.0,False,
150,517.0,303.0,303.0,False,
