evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,662.0,662.0,662.0,True,10.0
3,661.0,661.0,661.0,True,9.8
4,651.0,651.0,651.0,True,9.604000000000001
5,619.0,619.0,619.0,True,9.41192
6,619.0,619.0,619.0,True,9.2236816
7,589.0,589.0,589.0,True,9.039207968000001
8,589.0,589.0,589.0,True,8.858423808640001
9,489.0,489.0,489.0,True,8.6812553324672
10,454.0,454.0,454.0,True,8.507630225817856
11,482.0,454.0,454.0,False,8.337477621301499
12,459.0,454.0,454.0,False,8.17072806887547
13,454.0,454.0,454.0,True,8.00731350749796
14,535.0,454.0,454.0,False,7.847167237348001
15,463.0,454.0,454.0,False,7.690223892601041
16,454.0,454.0,454.0,True,7.5364194147490196
17,454.0,454.0,454.0,True,7.385691026454039
18,442.0,442.0,442.0,True,7.237977205924959
19,490.0,442.0,442.0,False,7.0932176618064595
20,472.0,442.0,442.0,False,6.95135330857033
21,413.0,413.0,413.0,True,6.812326242398924
22,413.0,413.0,413.0,True,6.676079717550945
23,413.0,413.0,413.0,True,6.542558123199926
24,413.0,413.0,413.0,True,6.411706960735928
25,450.0,413.0,413.0,False,6.283472821521209
26,390.0,390.0,390.0,True,6.157803365090785
27,392.0,390.0,390.0,False,6.034647297788969
28,387.0,387.0,387.0,True,5.91395435183319
29,373.0,373.0,373.0,True,5.795675264796526
30,437.0,373.0,373.0,False,5.679761759500596
31,506.0,373.0,373.0,False,5.566166524310584
32,373.0,373.0,373.0,True,5.454843193824373
33,373.0,373.0,373.0,True,5.345746329947885
34,373.0,373.0,373.0,True,5.238831403348927
35,373.0,373.0,373.0,True,5.134054775281948
36,361.0,361.0,361.0,True,5.0313736797763084
37,381.0,361.0,361.0,False,4.930746206180782
38,323.0,323.0,323.0,True,4.8321312820571665
39,323.0,323.0,323.0,True,4.735488656416023
40,334.0,323.0,323.0,False,4.640778883287703
41,322.0,322.0,322.0,True,4.547963305621948
42,322.0,322.0,322.0,True,4.457004039509509
43,432.0,322.0,322.0,False,4.367863958719319
44,322.0,322.0,322.0,True,4.280506679544932
45,298.0,298.0,298.0,True,4.194896545954034
46,298.0,298.0,298.0,True,4.110998615034953
47,298.0,298.0,298.0,True,4.028778642734254
48,298.0,298.0,298.0,True,3.948203069879569
49,298.0,298.0,298.0,True,3.8692390084819777
50,303.0,303.0,298.0,True,3.791854228312338
51,310.0,303.0,298.0,False,3.7160171437460914
52,303.0,303.0,298.0,True,3.6416968008711694
53,303.0,303.0,298.0,True,3.568862864853746
54,337.0,303.0,298.0,False,3.4974856075566714
55,303.0,303.0,298.0,True,3.427535895405538
56,350.0,303.0,298.0,False,3.358985177497427
57,318.0,303.0,298.0,False,3.2918054739474787
58,345.0,303.0,298.0,False,3.225969364468529
59,303.0,303.0,298.0,True,3.1614499771791587
60,303.0,303.0,298.0,True,3.0982209776355756
61,321.0,303.0,298.0,False,3.036256558082864
62,303.0,303.0,298.0,True,2.975531426921207
63,303.0,303.0,298.0,True,2.9160207983827826
64,309.0,303.0,298.0,False,2.857700382415127
65,303.0,303.0,298.0,True,2.8005463747668244
66,303.0,303.0,298.0,True,2.744535447271488
67,339.0,303.0,298.0,False,2.689644738326058
68,475.0,303.0,298.0,False,2.6358518435595366
69,299.0,299.0,298.0,True,2.5831348066883457
70,329.0,299.0,298.0,False,2.5314721105545788
71,299.0,299.0,298.0,True,2.480842668343487
72,311.0,299.0,298.0,False,2.4312258149766173
73,299.0,299.0,298.0,True,2.382601298677085
