evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,719.0,719.0,719.0,True,0.1
3,673.0,673.0,673.0,True,0.098
4,673.0,673.0,673.0,True,0.09604
5,673.0,673.0,673.0,True,0.0941192
6,662.0,662.0,662.0,True,0.092236816
7,662.0,662.0,662.0,True,0.09039207968
8,662.0,662.0,662.0,True,0.0885842380864
9,664.0,662.0,662.0,False,0.086812553324672
10,643.0,643.0,643.0,True,0.08507630225817855
11,643.0,643.0,643.0,True,0.08337477621301498
12,655.0,643.0,643.0,False,0.08170728068875467
13,643.0,643.0,643.0,True,0.08007313507497958
14,631.0,631.0,631.0,True,0.07847167237347999
15,631.0,631.0,631.0,True,0.07690223892601039
16,621.0,621.0,621.0,True,0.07536419414749018
17,621.0,621.0,621.0,True,0.07385691026454037
18,637.0,621.0,621.0,False,0.07237977205924956
19,623.0,621.0,621.0,False,0.07093217661806457
20,647.0,621.0,621.0,False,0.06951353308570328
21,592.0,592.0,592.0,True,0.06812326242398921
22,592.0,592.0,592.0,True,0.06676079717550942
23,628.0,592.0,592.0,False,0.06542558123199924
24,592.0,592.0,592.0,True,0.06411706960735924
25,592.0,592.0,592.0,True,0.06283472821521206
26,592.0,592.0,592.0,True,0.06157803365090782
27,596.0,592.0,592.0,False,0.06034647297788966
28,592.0,592.0,592.0,True,0.059139543518331866
29,586.0,586.0,586.0,True,0.05795675264796523
30,618.0,586.0,586.0,False,0.05679761759500593
31,586.0,586.0,586.0,True,0.055661665243105805
32,586.0,586.0,586.0,True,0.054548431938243686
33,586.0,586.0,586.0,True,0.053457463299478813
34,476.0,476.0,476.0,True,0.05238831403348924
35,476.0,476.0,476.0,True,0.05134054775281945
36,475.0,475.0,475.0,True,0.05031373679776306
37,475.0,475.0,475.0,True,0.0493074620618078
38,475.0,475.0,475.0,True,0.048321312820571644
39,475.0,475.0,475.0,True,0.04735488656416021
40,511.0,475.0,475.0,False,0.046407788832877
41,475.0,475.0,475.0,True,0.04547963305621946
42,435.0,435.0,435.0,True,0.044570040395095066
43,451.0,435.0,435.0,False,0.04367863958719317
44,435.0,435.0,435.0,True,0.042805066795449306
45,498.0,435.0,435.0,False,0.04194896545954032
46,435.0,435.0,435.0,True,0.04110998615034951
47,432.0,432.0,432.0,True,0.04028778642734252
48,424.0,424.0,424.0,True,0.03948203069879567
