evaluation,proposed,current,best,accepted,temperature
1,38.0,38.0,38.0,True,
2,41.0,38.0,38.0,False,
3,56.0,38.0,38.0,False,
4,38.0,38.0,38.0,False,
5,54.0,38.0,38.0,False,
6,39.0,38.0,38.0,False,
7,54.0,38.0,38.0,False,
8,39.0,38.0,38.0,False,
9,41.0,38.0,38.0,False,
10,54.0,38.0,38.0,False,
11,54.0,38.0,38.0,False,
12,55.0,38.0,38.0,False,
13,56.0,38.0,38.0,False,
14,39.0,38.0,38.0,False,
15,40.0,38.0,38.0,False,
16,38.0,38.0,38.0,False,
17,41.0,38.0,38.0,False,
18,39.0,38.0,38.0,False,
19,38.0,38.0,38.0,False,
20,61.0,38.0,38.0,False,
21,46.0,38.0,38.0,False,
22,39.0,38.0,38.0,False,
23,46.0,38.0,38.0,False,
24,48.0,38.0,38.0,False,
25,41.0,38.0,38.0,False,
26,38.0,38.0,38.0,False,
27,63.0,38.0,38.0,False,
28,39.0,38.0,38.0,False,
29,41.0,38.0,38.0,False,
30,48.0,38.0,38.0,False,
31,46.0,38.0,38.0,False,
32,45.0,38.0,38.0,False,
33,61.0,38.0,38.0,False,
34,63.0,38.0,38.0,False,
35,39.0,38.0,38.0,False,
36,39.0,38.0,38.0,False,
37,39.0,38.0,38.0,False,
38,38.0,38.0,38.0,False,
39,46.0,38.0,38.0,False,
40,54.0,38.0,38.0,False,
41,55.0,38.0,38.0,False,
42,48.0,38.0,38.0,False,
43,55.0,38.0,38.0,False,
44,39.0,38.0,38.0,False,
45,41.0,38.0,38.0,False,
46,39.0,38.0,38.0,False,
47,39.0,38.0,38.0,False,
48,41.0,38.0,38.0,False,
49,54.0,38.0,38.0,False,
50,45.0,38.0,38.0,False,
51,56.0,38.0,38.0,False,
52,41.0,38.0,38.0,False,
53,54.0,38.0,38.0,False,
54,45.0,38.0,38.0,False,
55,55.0,38.0,38.0,False,
56,39.0,38.0,38.0,False,
57,46.0,38.0,38.0,False,
58,38.0,38.0,38.0,False,
59,41.0,38.0,38.0,False,
60,48.0,38.0,38.0,False,
61,54.0,38.0,38.0,False,
62,56.0,38.0,38.0,False,
63,38.0,38.0,38.0,False,
64,56.0,38.0,38.0,False,
65,41.0,38.0,38.0,False,
66,46.0,38.0,38.0,False,
67,39.0,38.0,38.0,False,
68,39.0,38.0,38.0,False,
69,46.0,38.0,38.0,False,
70,48.0,38.0,38.0,False,
71,48.0,38.0,38.0,False,
72,39.0,38.0,38.0,False,
73,39.0,38.0,38.0,False,
74,41.0,38.0,38.0,False,
75,45.0,38.0,38.0,False,
76,39.0,38.0,38.0,False,
77,41.0,38.0,38.0,False,
78,39.0,38.0,38.0,False,
79,41.0,38.0,38.0,False,
80,38.0,38.0,38.0,False,
81,48.0,38.0,38.0,False,
82,39.0,38.0,38.0,False,
83,55.0,38.0,38.0,False,
84,48.0,38.0,38.0,False,
85,41.0,38.0,38.0,False,
86,48.0,38.0,38.0,False,
87,41.0,38.0,38.0,False,
88,54.0,38.0,38.0,False,
89,41.0,38.0,38.0,False,
90,55.0,38.0,38.0,False,
91,40.0,38.0,38.0,False,
92,63.0,38.0,38.0,False,
93,61.0,38.0,38.0,False,
94,54.0,38.0,38.0,False,
95,45.0,38.0,38.0,False,
96,48.0,38.0,38.0,False,
97,61.0,38.0,38.0,False,
98,54.0,38.0,38.0,False,
99,56.0,38.0,38.0,False,
100,39.0,38.0,38.0,False,
101,45.0,38.0,38.0,False,
102,54.0,38.0,38.0,False,
103,61.0,38.0,38.0,False,
104,45.0,38.0,38.0,False,
105,54.0,38.0,38.0,False,
106,40.0,38.0,38.0,False,
107,40.0,38.0,38.0,False,
108,48.0,38.0,38.0,False,
109,54.0,38.0,38.0,False,
110,39.0,38.0,38.0,False,
111,40.0,38.0,38.0,False,
112,40.0,38.0,38.0,False,
113,41.0,38.0,38.0,False,
114,46.0,38.0,38.0,False,
115,39.0,38.0,38.0,False,
116,63.0,38.0,38.0,False,
117,40.0,38.0,38.0,False,
118,55.0,38.0,38.0,False,
119,38.0,38.0,38.0,False,
120,63.0,38.0,38.0,False,
121,45.0,38.0,38.0,False,
122,56.0,38.0,38.0,False,
123,54.0,38.0,38.0,False,
124,39.0,38.0,38.0,False,
125,56.0,38.0,38.0,False,
126,41.0,38.0,38.0,False,
127,54.0,38.0,38.0,False,
128,39.0,38.0,38.0,False,
129,61.0,38.0,38.0,False,
130,56.0,38.0,38.0,False,
131,41.0,38.0,38.0,False,
132,48.0,38.0,38.0,False,
133,55.0,38.0,38.0,False,
134,41.0,38.0,38.0,False,
135,39.0,38.0,38.0,False,
136,63.0,38.0,38.0,False,
137,39.0,38.0,38.0,False,
138,61.0,38.0,38.0,False,
139,40.0,38.0,38.0,False,
140,39.0,38.0,38.0,False,
141,39.0,38.0,38.0,False,
142,54.0,38.0,38.0,False,
143,41.0,38.0,38.0,False,
144,46.0,38.0,38.0,False,
145,38.0,38.0,38.0,False,
146,41.0,38.0,38.0,False,
147,41.0,38.0,38.0,False,
148,41.0,38.0,38.0,False,
149,39.0,38.0,38.0,False,
150,48.0,38.0,38.0,False,
