evaluation,proposed,current,best,accepted,temperature
1,38.0,38.0,38.0,True,
2,38.0,38.0,38.0,True,100.0
3,38.0,38.0,38.0,True,98.0
4,38.0,38.0,38.0,True,96.03999999999999
5,38.0,38.0,38.0,True,94.11919999999999
6,45.0,45.0,38.0,True,92.23681599999999
7,45.0,45.0,38.0,True,90.39207968
8,45.0,45.0,38.0,True,88.58423808639999
9,39.0,39.0,38.0,True,86.812553324672
10,41.0,41.0,38.0,True,85.07630225817856
11,41.0,41.0,38.0,True,83.37477621301498
12,41.0,41.0,38.0,True,81.70728068875468
13,41.0,41.0,38.0,True,80.07313507497959
14,41.0,41.0,38.0,True,78.47167237347999
15,39.0,39.0,38.0,True,76.90223892601038
16,39.0,39.0,38.0,True,75.36419414749018
17,39.0,39.0,38.0,True,73.85691026454037
18,45.0,45.0,38.0,True,72.37977205924956
19,45.0,45.0,38.0,True,70.93217661806457
20,45.0,45.0,38.0,True,69.51353308570329
21,39.0,39.0,38.0,True,68.12326242398922
22,39.0,39.0,38.0,True,66.76079717550944
23,41.0,41.0,38.0,True,65.42558123199925
24,41.0,41.0,38.0,True,64.11706960735926
25,39.0,39.0,38.0,True,62.83472821521207
26,39.0,39.0,38.0,True,61.57803365090783
27,39.0,39.0,38.0,True,60.34647297788967
28,39.0,39.0,38.0,True,59.13954351833188
29,39.0,39.0,38.0,True,57.95675264796524
30,39.0,39.0,38.0,True,56.79761759500593
31,45.0,45.0,38.0,True,55.66166524310581
32,45.0,45.0,38.0,True,54.54843193824369
33,45.0,45.0,38.0,True,53.45746329947881
34,45.0,45.0,38.0,True,52.38831403348923
35,45.0,45.0,38.0,True,51.34054775281945
36,45.0,45.0,38.0,True,50.313736797763056
37,45.0,45.0,38.0,True,49.3074620618078
38,39.0,39.0,38.0,True,48.32131282057164
39,39.0,39.0,38.0,True,47.35488656416021
40,38.0,38.0,38.0,True,46.407788832877
41,38.0,38.0,38.0,True,45.47963305621946
42,38.0,38.0,38.0,True,44.57004039509507
43,38.0,38.0,38.0,True,43.67863958719317
44,38.0,38.0,38.0,True,42.80506679544931
45,40.0,40.0,38.0,True,41.94896545954032
46,48.0,48.0,38.0,True,41.10998615034951
47,48.0,48.0,38.0,True,40.287786427342525
48,41.0,41.0,38.0,True,39.482030698795676
49,41.0,41.0,38.0,True,38.69239008481976
50,41.0,41.0,38.0,True,37.918542283123365
51,41.0,41.0,38.0,True,37.160171437460896
52,41.0,41.0,38.0,True,36.41696800871168
53,39.0,39.0,38.0,True,35.688628648537446
54,39.0,39.0,38.0,True,34.9748560755667
55,41.0,41.0,38.0,True,34.27535895405536
56,41.0,41.0,38.0,True,33.58985177497426
57,48.0,48.0,38.0,True,32.91805473947477
58,41.0,41.0,38.0,True,32.25969364468527
59,41.0,41.0,38.0,True,31.614499771791564
60,41.0,41.0,38.0,True,30.98220977635573
61,46.0,46.0,38.0,True,30.362565580828615
62,40.0,40.0,38.0,True,29.755314269212043
63,40.0,40.0,38.0,True,29.160207983827803
64,46.0,40.0,38.0,False,28.577003824151248
65,40.0,40.0,38.0,True,28.005463747668223
66,46.0,46.0,38.0,True,27.445354472714858
67,46.0,46.0,38.0,True,26.89644738326056
68,38.0,38.0,38.0,True,26.35851843559535
69,38.0,38.0,38.0,True,25.831348066883443
70,38.0,38.0,38.0,True,25.314721105545775
71,38.0,38.0,38.0,True,24.80842668343486
72,38.0,38.0,38.0,True,24.312258149766162
73,38.0,38.0,38.0,True,23.826012986770838
74,38.0,38.0,38.0,True,23.349492727035422
75,54.0,54.0,38.0,True,22.88250287249471
76,54.0,54.0,38.0,True,22.42485281504482
77,54.0,54.0,38.0,True,21.97635575874392
78,54.0,54.0,38.0,True,21.53682864356904
79,54.0,54.0,38.0,True,21.10609207069766
80,54.0,54.0,38.0,True,20.683970229283705
81,39.0,39.0,38.0,True,20.27029082469803
82,39.0,39.0,38.0,True,19.86488500820407
83,39.0,39.0,38.0,True,19.467587308039988
84,54.0,54.0,38.0,True,19.07823556187919
85,54.0,54.0,38.0,True,18.696670850641606
86,54.0,54.0,38.0,True,18.322737433628774
87,54.0,54.0,38.0,True,17.956282684956197
88,39.0,39.0,38.0,True,17.597157031257073
89,39.0,39.0,38.0,True,17.24521389063193
90,39.0,39.0,38.0,True,16.900309612819292
91,39.0,39.0,38.0,True,16.562303420562905
92,39.0,39.0,38.0,True,16.231057352151648
93,39.0,39.0,38.0,True,15.906436205108616
94,39.0,39.0,38.0,True,15.588307481006444
95,39.0,39.0,38.0,True,15.276541331386316
96,39.0,39.0,38.0,True,14.971010504758588
97,45.0,45.0,38.0,True,14.671590294663416
98,61.0,61.0,38.0,True,14.378158488770147
99,61.0,61.0,38.0,True,14.090595318994744
100,61.0,61.0,38.0,True,13.808783412614849
101,61.0,61.0,38.0,True,13.532607744362553
102,46.0,46.0,38.0,True,13.261955589475301
103,48.0,48.0,38.0,True,12.996716477685794
104,46.0,46.0,38.0,True,12.736782148132079
105,41.0,41.0,38.0,True,12.482046505169437
106,41.0,41.0,38.0,True,12.232405575066048
107,41.0,41.0,38.0,True,11.987757463564726
108,41.0,41.0,38.0,True,11.748002314293432
109,41.0,41.0,38.0,True,11.513042268007563
110,39.0,39.0,38.0,True,11.282781422647412
111,39.0,39.0,38.0,True,11.057125794194464
112,39.0,39.0,38.0,True,10.835983278310575
113,39.0,39.0,38.0,True,10.619263612744364
114,39.0,39.0,38.0,True,10.406878340489476
115,39.0,39.0,38.0,True,10.198740773679686
116,39.0,39.0,38.0,True,9.994765958206093
117,39.0,39.0,38.0,True,9.79487063904197
118,39.0,39.0,38.0,True,9.598973226261132
119,41.0,41.0,38.0,True,9.406993761735908
120,41.0,41.0,38.0,True,9.21885388650119
121,40.0,40.0,38.0,True,9.034476808771165
122,55.0,40.0,38.0,False,8.853787272595742
123,40.0,40.0,38.0,True,8.676711527143826
124,40.0,40.0,38.0,True,8.50317729660095
125,40.0,40.0,38.0,True,8.33311375066893
126,41.0,41.0,38.0,True,8.166451475655553
127,40.0,40.0,38.0,True,8.003122446142442
128,41.0,41.0,38.0,True,7.8430599972195925
129,39.0,39.0,38.0,True,7.686198797275201
130,41.0,41.0,38.0,True,7.532474821329696
131,39.0,39.0,38.0,True,7.381825324903103
132,39.0,39.0,38.0,True,7.23418881840504
133,39.0,39.0,38.0,True,7.089505042036939
134,40.0,40.0,38.0,True,6.9477149411962005
135,40.0,40.0,38.0,True,6.808760642372277
136,40.0,40.0,38.0,True,6.672585429524831
137,40.0,40.0,38.0,True,6.539133720934334
138,46.0,46.0,38.0,True,6.408351046515647
139,40.0,40.0,38.0,True,6.280184025585334
140,40.0,40.0,38.0,True,6.154580345073628
141,41.0,41.0,38.0,True,6.031488738172155
142,41.0,41.0,38.0,True,5.910858963408712
143,46.0,41.0,38.0,False,5.792641784140538
144,41.0,41.0,38.0,True,5.676788948457727
145,40.0,40.0,38.0,True,5.563253169488572
146,40.0,40.0,38.0,True,5.451988106098801
147,40.0,40.0,38.0,True,5.342948343976825
148,55.0,40.0,38.0,False,5.236089377097288
149,40.0,40.0,38.0,True,5.131367589555342
150,40.0,40.0,38.0,True,5.028740237764235
