evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,89.0,57.0,57.0,False,
3,72.0,57.0,57.0,False,
4,79.0,57.0,57.0,False,
5,46.0,46.0,46.0,True,
6,65.0,46.0,46.0,False,
7,60.0,46.0,46.0,False,
8,67.0,46.0,46.0,False,
9,57.0,46.0,46.0,False,
10,79.0,46.0,46.0,False,
11,36.0,36.0,36.0,True,
12,51.0,36.0,36.0,False,
13,67.0,36.0,36.0,False,
14,60.0,36.0,36.0,False,
15,50.0,36.0,36.0,False,
16,72.0,36.0,36.0,False,
17,46.0,36.0,36.0,False,
18,56.0,36.0,36.0,False,
19,56.0,36.0,36.0,False,
20,65.0,36.0,36.0,False,
21,39.0,36.0,36.0,False,
22,39.0,36.0,36.0,False,
23,49.0,36.0,36.0,False,
24,72.0,72.0,36.0,True,
25,79.0,72.0,36.0,False,
26,57.0,57.0,36.0,True,
27,89.0,57.0,36.0,False,
28,72.0,57.0,36.0,False,
29,79.0,57.0,36.0,False,
30,46.0,46.0,36.0,True,
31,65.0,46.0,36.0,False,
32,60.0,46.0,36.0,False,
33,67.0,46.0,36.0,False,
34,57.0,46.0,36.0,False,
35,79.0,46.0,36.0,False,
36,36.0,36.0,36.0,True,
37,51.0,36.0,36.0,False,
38,67.0,36.0,36.0,False,
39,60.0,36.0,36.0,False,
40,50.0,36.0,36.0,False,
41,72.0,36.0,36.0,False,
42,46.0,36.0,36.0,False,
43,56.0,36.0,36.0,False,
44,56.0,36.0,36.0,False,
45,65.0,36.0,36.0,False,
46,39.0,36.0,36.0,False,
47,39.0,36.0,36.0,False,
48,49.0,36.0,36.0,False,
49,46.0,46.0,36.0,True,
50,56.0,46.0,36.0,False,
51,75.0,46.0,36.0,False,
52,56.0,46.0,36.0,False,
53,51.0,46.0,36.0,False,
54,46.0,46.0,36.0,False,
55,55.0,46.0,36.0,False,
56,50.0,46.0,36.0,False,
57,57.0,46.0,36.0,False,
58,87.0,46.0,36.0,False,
59,39.0,39.0,36.0,True,
60,49.0,39.0,36.0,False,
61,54.0,39.0,36.0,False,
62,39.0,39.0,36.0,False,
63,65.0,39.0,36.0,False,
64,36.0,36.0,36.0,True,
65,51.0,36.0,36.0,False,
66,67.0,36.0,36.0,False,
67,60.0,36.0,36.0,False,
68,50.0,36.0,36.0,False,
69,72.0,36.0,36.0,False,
70,46.0,36.0,36.0,False,
71,56.0,36.0,36.0,False,
72,56.0,36.0,36.0,False,
73,65.0,36.0,36.0,False,
74,39.0,36.0,36.0,False,
75,39.0,36.0,36.0,False,
76,49.0,36.0,36.0,False,
77,36.0,36.0,36.0,True,
78,51.0,36.0,36.0,False,
79,67.0,36.0,36.0,False,
80,60.0,36.0,36.0,False,
81,50.0,36.0,36.0,False,
82,72.0,36.0,36.0,False,
83,46.0,36.0,36.0,False,
84,56.0,36.0,36.0,False,
85,56.0,36.0,36.0,False,
86,65.0,36.0,36.0,False,
87,39.0,36.0,36.0,False,
88,39.0,36.0,36.0,False,
89,49.0,36.0,36.0,False,
90,49.0,49.0,36.0,True,
91,39.0,39.0,36.0,True,
92,49.0,39.0,36.0,False,
93,54.0,39.0,36.0,False,
94,39.0,39.0,36.0,False,
95,65.0,39.0,36.0,False,
96,36.0,36.0,36.0,True,
97,51.0,36.0,36.0,False,
98,67.0,36.0,36.0,False,
99,60.0,36.0,36.0,False,
100,50.0,36.0,36.0,False,
101,72.0,36.0,36.0,False,
102,46.0,36.0,36.0,False,
103,56.0,36.0,36.0,False,
104,56.0,36.0,36.0,False,
105,65.0,36.0,36.0,False,
106,39.0,36.0,36.0,False,
107,39.0,36.0,36.0,False,
108,49.0,36.0,36.0,False,
109,79.0,79.0,36.0,True,
110,72.0,72.0,36.0,True,
111,79.0,72.0,36.0,False,
112,57.0,57.0,36.0,True,
113,89.0,57.0,36.0,False,
114,72.0,57.0,36.0,False,
115,79.0,57.0,36.0,False,
116,46.0,46.0,36.0,True,
117,65.0,46.0,36.0,False,
118,60.0,46.0,36.0,False,
119,67.0,46.0,36.0,False,
120,57.0,46.0,36.0,False,
121,79.0,46.0,36.0,False,
122,36.0,36.0,36.0,True,
123,51.0,36.0,36.0,False,
124,67.0,36.0,36.0,False,
125,60.0,36.0,36.0,False,
126,50.0,36.0,36.0,False,
127,72.0,36.0,36.0,False,
128,46.0,36.0,36.0,False,
129,56.0,36.0,36.0,False,
130,56.0,36.0,36.0,False,
131,65.0,36.0,36.0,False,
132,39.0,36.0,36.0,False,
133,39.0,36.0,36.0,False,
134,49.0,36.0,36.0,False,
135,46.0,46.0,36.0,True,
136,65.0,46.0,36.0,False,
137,60.0,46.0,36.0,False,
138,67.0,46.0,36.0,False,
139,57.0,46.0,36.0,False,
140,79.0,46.0,36.0,False,
141,36.0,36.0,36.0,True,
142,51.0,36.0,36.0,False,
143,67.0,36.0,36.0,False,
144,60.0,36.0,36.0,False,
145,50.0,36.0,36.0,False,
146,72.0,36.0,36.0,False,
147,46.0,36.0,36.0,False,
148,56.0,36.0,36.0,False,
149,56.0,36.0,36.0,False,
150,65.0,36.0,36.0,False,
