run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_single__main__lpt__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,0,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.0004072999581694603,optimum,36.0,0.5833333333333334,
tiny_single__main__lpt__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,1,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.0001449999981559813,optimum,36.0,0.5833333333333334,
tiny_single__main__lpt__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,lpt,2,total_tardiness,150,10.0,0.98,BASELINE,57.0,1,0.00014049996389076114,optimum,36.0,0.5833333333333334,
tiny_single__main__random__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,0,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010323400027118623,optimum,36.0,0.0,
tiny_single__main__random__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,1,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.01036980003118515,optimum,36.0,0.0,
tiny_single__main__random__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,random,2,total_tardiness,150,10.0,0.98,BUDGET,36.0,150,0.010321400011889637,optimum,36.0,0.0,
tiny_single__main__first__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,0,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.0018014000379480422,optimum,36.0,0.0,
tiny_single__main__first__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,1,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.0017852000310085714,optimum,36.0,0.0,
tiny_single__main__first__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,first,2,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,23,0.0017636000411584973,optimum,36.0,0.0,
tiny_single__main__best__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,0,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.002844400005415082,optimum,36.0,0.0,
tiny_single__main__best__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,1,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.0028454000130295753,optimum,36.0,0.0,
tiny_single__main__best__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,main,best,2,total_tardiness,150,10.0,0.98,LOCAL_OPTIMUM,36.0,37,0.002834599989000708,optimum,36.0,0.0,
