evaluation,proposed,current,best,accepted,temperature
1,45.0,45.0,45.0,True,
2,45.0,45.0,45.0,False,
3,45.0,45.0,45.0,False,
4,45.0,45.0,45.0,False,
5,47.0,45.0,45.0,False,
6,45.0,45.0,45.0,False,
7,45.0,45.0,45.0,False,
8,45.0,45.0,45.0,False,
9,45.0,45.0,45.0,False,
10,45.0,45.0,45.0,False,
11,45.0,45.0,45.0,False,
12,45.0,45.0,45.0,False,
13,45.0,45.0,45.0,False,
14,45.0,45.0,45.0,False,
15,49.0,45.0,45.0,False,
16,45.0,45.0,45.0,False,
17,45.0,45.0,45.0,False,
18,45.0,45.0,45.0,False,
19,45.0,45.0,45.0,False,
20,45.0,45.0,45.0,False,
21,45.0,45.0,45.0,False,
22,45.0,45.0,45.0,False,
23,45.0,45.0,45.0,False,
24,47.0,45.0,45.0,False,
25,47.0,45.0,45.0,False,
26,47.0,45.0,45.0,False,
27,47.0,45.0,45.0,False,
28,47.0,45.0,45.0,False,
29,47.0,45.0,45.0,False,
30,47.0,45.0,45.0,False,
31,47.0,45.0,45.0,False,
32,47.0,45.0,45.0,False,
33,47.0,45.0,45.0,False,
34,49.0,45.0,45.0,False,
35,47.0,45.0,45.0,False,
36,47.0,45.0,45.0,False,
37,47.0,45.0,45.0,False,
38,47.0,45.0,45.0,False,
39,47.0,45.0,45.0,False,
40,47.0,45.0,45.0,False,
41,68.0,68.0,45.0,True,
42,68.0,68.0,45.0,False,
43,68.0,68.0,45.0,False,
44,68.0,68.0,45.0,False,
45,68.0,68.0,45.0,False,
46,68.0,68.0,45.0,False,
47,68.0,68.0,45.0,False,
48,68.0,68.0,45.0,False,
49,67.0,67.0,45.0,True,
50,67.0,67.0,45.0,False,
51,68.0,67.0,45.0,False,
52,68.0,67.0,45.0,False,
53,68.0,67.0,45.0,False,
54,68.0,67.0,45.0,False,
55,68.0,67.0,45.0,False,
56,68.0,67.0,45.0,False,
57,68.0,67.0,45.0,False,
58,68.0,67.0,45.0,False,
59,69.0,67.0,45.0,False,
60,68.0,67.0,45.0,False,
61,68.0,67.0,45.0,False,
62,68.0,67.0,45.0,False,
63,68.0,67.0,45.0,False,
64,68.0,67.0,45.0,False,
65,68.0,67.0,45.0,False,
66,68.0,67.0,45.0,False,
67,67.0,67.0,45.0,False,
68,68.0,67.0,45.0,False,
69,69.0,67.0,45.0,False,
70,68.0,67.0,45.0,False,
71,67.0,67.0,45.0,False,
72,67.0,67.0,45.0,False,
73,67.0,67.0,45.0,False,
74,67.0,67.0,45.0,False,
75,67.0,67.0,45.0,False,
76,67.0,67.0,45.0,False,
77,67.0,67.0,45.0,False,
78,67.0,67.0,45.0,False,
79,67.0,67.0,45.0,False,
80,67.0,67.0,45.0,False,
81,49.0,49.0,45.0,True,
82,49.0,49.0,45.0,False,
83,49.0,49.0,45.0,False,
84,49.0,49.0,45.0,False,
85,51.0,49.0,45.0,False,
86,49.0,49.0,45.0,False,
87,49.0,49.0,45.0,False,
88,49.0,49.0,45.0,False,
89,49.0,49.0,45.0,False,
90,49.0,49.0,45.0,False,
91,49.0,49.0,45.0,False,
92,49.0,49.0,45.0,False,
93,49.0,49.0,45.0,False,
94,49.0,49.0,45.0,False,
95,49.0,49.0,45.0,False,
96,49.0,49.0,45.0,False,
97,49.0,49.0,45.0,False,
98,49.0,49.0,45.0,False,
99,49.0,49.0,45.0,False,
100,49.0,49.0,45.0,False,
101,49.0,49.0,45.0,False,
102,49.0,49.0,45.0,False,
103,49.0,49.0,45.0,False,
104,51.0,49.0,45.0,False,
105,49.0,49.0,45.0,False,
106,49.0,49.0,45.0,False,
107,49.0,49.0,45.0,False,
108,49.0,49.0,45.0,False,
109,49.0,49.0,45.0,False,
110,49.0,49.0,45.0,False,
111,49.0,49.0,45.0,False,
112,49.0,49.0,45.0,False,
113,49.0,49.0,45.0,False,
114,48.0,48.0,45.0,True,
115,48.0,48.0,45.0,False,
116,48.0,48.0,45.0,False,
117,48.0,48.0,45.0,False,
118,51.0,48.0,45.0,False,
119,48.0,48.0,45.0,False,
120,47.0,47.0,45.0,True,
121,76.0,76.0,45.0,True,
122,76.0,76.0,45.0,False,
123,76.0,76.0,45.0,False,
124,76.0,76.0,45.0,False,
125,75.0,75.0,45.0,True,
126,75.0,75.0,45.0,False,
127,76.0,75.0,45.0,False,
128,76.0,75.0,45.0,False,
129,76.0,75.0,45.0,False,
130,76.0,75.0,45.0,False,
131,76.0,75.0,45.0,False,
132,76.0,75.0,45.0,False,
133,76.0,75.0,45.0,False,
134,76.0,75.0,45.0,False,
135,76.0,75.0,45.0,False,
136,76.0,75.0,45.0,False,
137,75.0,75.0,45.0,False,
138,76.0,75.0,45.0,False,
139,75.0,75.0,45.0,False,
140,76.0,75.0,45.0,False,
141,77.0,75.0,45.0,False,
142,76.0,75.0,45.0,False,
143,76.0,75.0,45.0,False,
144,76.0,75.0,45.0,False,
145,76.0,75.0,45.0,False,
146,76.0,75.0,45.0,False,
147,75.0,75.0,45.0,False,
148,75.0,75.0,45.0,False,
149,75.0,75.0,45.0,False,
150,75.0,75.0,45.0,False,
