evaluation,proposed,current,best,accepted,temperature
1,45.0,45.0,45.0,True,
2,64.0,45.0,45.0,False,
3,49.0,45.0,45.0,False,
4,54.0,45.0,45.0,False,
5,53.0,45.0,45.0,False,
6,59.0,45.0,45.0,False,
7,58.0,45.0,45.0,False,
8,81.0,45.0,45.0,False,
9,53.0,45.0,45.0,False,
10,44.0,44.0,44.0,True,
11,74.0,44.0,44.0,False,
12,66.0,44.0,44.0,False,
13,65.0,44.0,44.0,False,
14,70.0,44.0,44.0,False,
15,62.0,44.0,44.0,False,
16,54.0,44.0,44.0,False,
17,54.0,44.0,44.0,False,
18,66.0,44.0,44.0,False,
19,71.0,44.0,44.0,False,
20,65.0,44.0,44.0,False,
21,66.0,44.0,44.0,False,
22,70.0,44.0,44.0,False,
23,78.0,44.0,44.0,False,
24,58.0,44.0,44.0,False,
25,60.0,44.0,44.0,False,
26,67.0,44.0,44.0,False,
27,53.0,44.0,44.0,False,
28,61.0,44.0,44.0,False,
29,87.0,44.0,44.0,False,
30,60.0,44.0,44.0,False,
31,54.0,44.0,44.0,False,
32,82.0,44.0,44.0,False,
33,50.0,44.0,44.0,False,
34,50.0,44.0,44.0,False,
35,66.0,44.0,44.0,False,
36,48.0,44.0,44.0,False,
37,57.0,44.0,44.0,False,
38,46.0,44.0,44.0,False,
39,57.0,44.0,44.0,False,
40,60.0,44.0,44.0,False,
41,67.0,44.0,44.0,False,
42,73.0,44.0,44.0,False,
43,92.0,44.0,44.0,False,
44,71.0,44.0,44.0,False,
45,67.0,44.0,44.0,False,
46,66.0,44.0,44.0,False,
47,66.0,44.0,44.0,False,
48,63.0,44.0,44.0,False,
49,90.0,44.0,44.0,False,
50,52.0,44.0,44.0,False,
51,55.0,44.0,44.0,False,
52,57.0,44.0,44.0,False,
53,55.0,44.0,44.0,False,
54,57.0,44.0,44.0,False,
55,61.0,44.0,44.0,False,
56,67.0,44.0,44.0,False,
57,67.0,44.0,44.0,False,
58,78.0,44.0,44.0,False,
59,75.0,44.0,44.0,False,
60,71.0,44.0,44.0,False,
61,71.0,44.0,44.0,False,
62,66.0,44.0,44.0,False,
63,81.0,44.0,44.0,False,
64,66.0,44.0,44.0,False,
65,55.0,44.0,44.0,False,
66,82.0,44.0,44.0,False,
67,57.0,44.0,44.0,False,
68,66.0,44.0,44.0,False,
69,54.0,44.0,44.0,False,
70,79.0,44.0,44.0,False,
71,65.0,44.0,44.0,False,
72,56.0,44.0,44.0,False,
73,76.0,44.0,44.0,False,
74,62.0,44.0,44.0,False,
75,63.0,44.0,44.0,False,
76,64.0,44.0,44.0,False,
77,95.0,44.0,44.0,False,
78,69.0,44.0,44.0,False,
79,56.0,44.0,44.0,False,
80,58.0,44.0,44.0,False,
81,79.0,44.0,44.0,False,
82,80.0,44.0,44.0,False,
83,76.0,44.0,44.0,False,
84,59.0,44.0,44.0,False,
85,67.0,44.0,44.0,False,
86,61.0,44.0,44.0,False,
87,56.0,44.0,44.0,False,
88,85.0,44.0,44.0,False,
89,54.0,44.0,44.0,False,
90,58.0,44.0,44.0,False,
91,61.0,44.0,44.0,False,
92,82.0,44.0,44.0,False,
93,80.0,44.0,44.0,False,
94,73.0,44.0,44.0,False,
95,55.0,44.0,44.0,False,
96,64.0,44.0,44.0,False,
97,76.0,44.0,44.0,False,
98,68.0,44.0,44.0,False,
99,64.0,44.0,44.0,False,
100,84.0,44.0,44.0,False,
101,46.0,44.0,44.0,False,
102,62.0,44.0,44.0,False,
103,71.0,44.0,44.0,False,
104,45.0,44.0,44.0,False,
105,90.0,44.0,44.0,False,
106,67.0,44.0,44.0,False,
107,57.0,44.0,44.0,False,
108,50.0,44.0,44.0,False,
109,57.0,44.0,44.0,False,
110,62.0,44.0,44.0,False,
111,71.0,44.0,44.0,False,
112,48.0,44.0,44.0,False,
113,47.0,44.0,44.0,False,
114,66.0,44.0,44.0,False,
115,69.0,44.0,44.0,False,
116,74.0,44.0,44.0,False,
117,67.0,44.0,44.0,False,
118,74.0,44.0,44.0,False,
119,58.0,44.0,44.0,False,
120,63.0,44.0,44.0,False,
121,73.0,44.0,44.0,False,
122,63.0,44.0,44.0,False,
123,60.0,44.0,44.0,False,
124,63.0,44.0,44.0,False,
125,50.0,44.0,44.0,False,
126,75.0,44.0,44.0,False,
127,64.0,44.0,44.0,False,
128,52.0,44.0,44.0,False,
129,60.0,44.0,44.0,False,
130,60.0,44.0,44.0,False,
131,77.0,44.0,44.0,False,
132,57.0,44.0,44.0,False,
133,54.0,44.0,44.0,False,
134,67.0,44.0,44.0,False,
135,57.0,44.0,44.0,False,
136,67.0,44.0,44.0,False,
137,68.0,44.0,44.0,False,
138,54.0,44.0,44.0,False,
139,56.0,44.0,44.0,False,
140,70.0,44.0,44.0,False,
141,52.0,44.0,44.0,False,
142,78.0,44.0,44.0,False,
143,67.0,44.0,44.0,False,
144,78.0,44.0,44.0,False,
145,54.0,44.0,44.0,False,
146,54.0,44.0,44.0,False,
147,48.0,44.0,44.0,False,
148,66.0,44.0,44.0,False,
149,50.0,44.0,44.0,False,
150,51.0,44.0,44.0,False,
