evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,False,
3,54.0,54.0,54.0,False,
4,54.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,54.0,54.0,54.0,False,
7,54.0,54.0,54.0,False,
8,54.0,54.0,54.0,False,
9,54.0,54.0,54.0,False,
10,54.0,54.0,54.0,False,
11,54.0,54.0,54.0,False,
12,54.0,54.0,54.0,False,
13,80.0,54.0,54.0,False,
14,94.0,54.0,54.0,False,
15,89.0,54.0,54.0,False,
16,89.0,54.0,54.0,False,
17,86.0,54.0,54.0,False,
18,86.0,54.0,54.0,False,
19,85.0,54.0,54.0,False,
20,85.0,54.0,54.0,False,
21,84.0,54.0,54.0,False,
22,84.0,54.0,54.0,False,
23,54.0,54.0,54.0,False,
24,54.0,54.0,54.0,False,
25,54.0,54.0,54.0,False,
26,55.0,54.0,54.0,False,
27,54.0,54.0,54.0,False,
28,54.0,54.0,54.0,False,
29,54.0,54.0,54.0,False,
30,54.0,54.0,54.0,False,
31,54.0,54.0,54.0,False,
32,45.0,54.0,45.0,False,
33,42.0,54.0,42.0,False,
34,42.0,54.0,42.0,False,
35,42.0,54.0,42.0,False,
36,42.0,54.0,42.0,False,
37,42.0,54.0,42.0,False,
38,42.0,54.0,42.0,False,
39,42.0,54.0,42.0,False,
40,41.0,54.0,41.0,False,
41,41.0,54.0,41.0,False,
42,54.0,54.0,41.0,False,
43,54.0,54.0,41.0,False,
44,55.0,54.0,41.0,False,
45,55.0,54.0,41.0,False,
46,55.0,54.0,41.0,False,
47,55.0,54.0,41.0,False,
48,55.0,54.0,41.0,False,
49,55.0,54.0,41.0,False,
50,57.0,54.0,41.0,False,
51,55.0,54.0,41.0,False,
52,55.0,54.0,41.0,False,
53,55.0,54.0,41.0,False,
54,55.0,54.0,41.0,False,
55,55.0,54.0,41.0,False,
56,57.0,54.0,41.0,False,
57,55.0,54.0,41.0,False,
58,55.0,54.0,41.0,False,
59,55.0,54.0,41.0,False,
60,54.0,54.0,41.0,False,
61,54.0,54.0,41.0,False,
62,54.0,54.0,41.0,False,
63,54.0,54.0,41.0,False,
64,54.0,54.0,41.0,False,
65,54.0,54.0,41.0,False,
66,54.0,54.0,41.0,False,
67,50.0,54.0,41.0,False,
68,54.0,54.0,41.0,False,
69,54.0,54.0,41.0,False,
70,54.0,54.0,41.0,False,
71,54.0,54.0,41.0,False,
72,54.0,54.0,41.0,False,
73,54.0,54.0,41.0,False,
74,54.0,54.0,41.0,False,
75,54.0,54.0,41.0,False,
76,54.0,54.0,41.0,False,
77,55.0,54.0,41.0,False,
78,55.0,54.0,41.0,False,
79,55.0,54.0,41.0,False,
80,54.0,54.0,41.0,False,
81,54.0,54.0,41.0,False,
82,54.0,54.0,41.0,False,
83,57.0,54.0,41.0,False,
84,54.0,54.0,41.0,False,
85,54.0,54.0,41.0,False,
86,54.0,54.0,41.0,False,
87,54.0,54.0,41.0,False,
88,54.0,54.0,41.0,False,
89,54.0,54.0,41.0,False,
90,54.0,54.0,41.0,False,
91,54.0,54.0,41.0,False,
92,54.0,54.0,41.0,False,
93,54.0,54.0,41.0,False,
94,54.0,54.0,41.0,False,
95,54.0,54.0,41.0,False,
96,54.0,54.0,41.0,False,
97,54.0,54.0,41.0,False,
98,57.0,54.0,41.0,False,
99,50.0,54.0,41.0,False,
100,50.0,54.0,41.0,False,
101,50.0,54.0,41.0,False,
102,47.0,54.0,41.0,False,
103,47.0,54.0,41.0,False,
104,46.0,54.0,41.0,False,
105,46.0,54.0,41.0,False,
106,45.0,54.0,41.0,False,
107,45.0,54.0,41.0,False,
108,54.0,54.0,41.0,False,
109,54.0,54.0,41.0,False,
110,54.0,54.0,41.0,False,
111,54.0,54.0,41.0,False,
112,54.0,54.0,41.0,False,
113,69.0,54.0,41.0,False,
114,69.0,54.0,41.0,False,
115,69.0,54.0,41.0,False,
116,69.0,54.0,41.0,False,
117,69.0,54.0,41.0,False,
118,68.0,54.0,41.0,False,
119,68.0,54.0,41.0,False,
120,67.0,54.0,41.0,False,
121,67.0,54.0,41.0,False,
122,53.0,54.0,41.0,False,
123,53.0,54.0,41.0,False,
124,57.0,54.0,41.0,False,
125,57.0,54.0,41.0,False,
126,57.0,54.0,41.0,False,
127,57.0,54.0,41.0,False,
128,54.0,54.0,41.0,False,
129,54.0,54.0,41.0,False,
130,54.0,54.0,41.0,False,
131,54.0,54.0,41.0,False,
132,54.0,54.0,41.0,False,
133,54.0,54.0,41.0,False,
134,54.0,54.0,41.0,False,
135,54.0,54.0,41.0,False,
136,54.0,54.0,41.0,False,
137,54.0,54.0,41.0,False,
138,54.0,54.0,41.0,False,
139,54.0,54.0,41.0,False,
140,54.0,54.0,41.0,False,
141,54.0,54.0,41.0,False,
142,54.0,54.0,41.0,False,
143,54.0,54.0,41.0,False,
144,54.0,54.0,41.0,False,
145,54.0,54.0,41.0,False,
146,54.0,54.0,41.0,False,
147,54.0,54.0,41.0,False,
148,54.0,54.0,41.0,False,
149,54.0,54.0,41.0,False,
150,54.0,41.0,41.0,True,
