evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,54.0,54.0,54.0,False,
3,54.0,54.0,54.0,False,
4,54.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,54.0,54.0,54.0,False,
7,54.0,54.0,54.0,False,
8,54.0,54.0,54.0,False,
9,54.0,54.0,54.0,False,
10,54.0,54.0,54.0,False,
11,54.0,54.0,54.0,False,
12,54.0,54.0,54.0,False,
13,80.0,54.0,54.0,False,
14,94.0,54.0,54.0,False,
15,89.0,54.0,54.0,False,
16,89.0,54.0,54.0,False,
17,86.0,54.0,54.0,False,
18,86.0,54.0,54.0,False,
19,85.0,54.0,54.0,False,
20,85.0,54.0,54.0,False,
21,84.0,54.0,54.0,False,
22,84.0,54.0,54.0,False,
23,54.0,54.0,54.0,False,
24,54.0,54.0,54.0,False,
25,54.0,54.0,54.0,False,
26,55.0,54.0,54.0,False,
27,54.0,54.0,54.0,False,
28,54.0,54.0,54.0,False,
29,54.0,54.0,54.0,False,
30,54.0,54.0,54.0,False,
31,54.0,54.0,54.0,False,
32,45.0,45.0,45.0,True,
33,45.0,45.0,45.0,False,
34,45.0,45.0,45.0,False,
35,45.0,45.0,45.0,False,
36,70.0,45.0,45.0,False,
37,70.0,45.0,45.0,False,
38,70.0,45.0,45.0,False,
39,70.0,45.0,45.0,False,
40,79.0,45.0,45.0,False,
41,59.0,59.0,45.0,True,
42,59.0,59.0,45.0,False,
43,59.0,59.0,45.0,False,
44,59.0,59.0,45.0,False,
45,59.0,59.0,45.0,False,
46,59.0,59.0,45.0,False,
47,71.0,59.0,45.0,False,
48,71.0,59.0,45.0,False,
49,71.0,59.0,45.0,False,
50,71.0,59.0,45.0,False,
51,71.0,59.0,45.0,False,
52,71.0,59.0,45.0,False,
53,71.0,59.0,45.0,False,
54,71.0,59.0,45.0,False,
55,98.0,59.0,45.0,False,
56,86.0,59.0,45.0,False,
57,62.0,59.0,45.0,False,
58,62.0,59.0,45.0,False,
59,62.0,59.0,45.0,False,
60,62.0,59.0,45.0,False,
61,59.0,59.0,45.0,False,
62,66.0,59.0,45.0,False,
63,59.0,59.0,45.0,False,
64,59.0,59.0,45.0,False,
65,59.0,59.0,45.0,False,
66,59.0,59.0,45.0,False,
67,59.0,59.0,45.0,False,
68,59.0,59.0,45.0,False,
69,59.0,59.0,45.0,False,
70,59.0,59.0,45.0,False,
71,59.0,59.0,45.0,False,
72,69.0,59.0,45.0,False,
73,59.0,59.0,45.0,False,
74,59.0,59.0,45.0,False,
75,59.0,59.0,45.0,False,
76,57.0,57.0,45.0,True,
77,57.0,57.0,45.0,False,
78,57.0,57.0,45.0,False,
79,57.0,57.0,45.0,False,
80,57.0,57.0,45.0,False,
81,92.0,92.0,45.0,True,
82,92.0,92.0,45.0,False,
83,91.0,91.0,45.0,True,
84,91.0,91.0,45.0,False,
85,92.0,91.0,45.0,False,
86,92.0,91.0,45.0,False,
87,92.0,91.0,45.0,False,
88,92.0,91.0,45.0,False,
89,92.0,91.0,45.0,False,
90,92.0,91.0,45.0,False,
91,78.0,78.0,45.0,True,
92,78.0,78.0,45.0,False,
93,76.0,76.0,45.0,True,
94,76.0,76.0,45.0,False,
95,78.0,76.0,45.0,False,
96,78.0,76.0,45.0,False,
97,78.0,76.0,45.0,False,
98,78.0,76.0,45.0,False,
99,78.0,76.0,45.0,False,
100,78.0,76.0,45.0,False,
101,86.0,76.0,45.0,False,
102,89.0,76.0,45.0,False,
103,89.0,76.0,45.0,False,
104,89.0,76.0,45.0,False,
105,89.0,76.0,45.0,False,
106,89.0,76.0,45.0,False,
107,89.0,76.0,45.0,False,
108,89.0,76.0,45.0,False,
109,74.0,74.0,45.0,True,
110,74.0,74.0,45.0,False,
111,74.0,74.0,45.0,False,
112,74.0,74.0,45.0,False,
113,74.0,74.0,45.0,False,
114,74.0,74.0,45.0,False,
115,74.0,74.0,45.0,False,
116,74.0,74.0,45.0,False,
117,80.0,74.0,45.0,False,
118,74.0,74.0,45.0,False,
119,74.0,74.0,45.0,False,
120,74.0,74.0,45.0,False,
121,75.0,75.0,45.0,True,
122,65.0,65.0,45.0,True,
123,75.0,65.0,45.0,False,
124,75.0,65.0,45.0,False,
125,75.0,65.0,45.0,False,
126,75.0,65.0,45.0,False,
127,75.0,65.0,45.0,False,
128,75.0,65.0,45.0,False,
129,75.0,65.0,45.0,False,
130,55.0,55.0,45.0,True,
131,55.0,55.0,45.0,False,
132,55.0,55.0,45.0,False,
133,55.0,55.0,45.0,False,
134,55.0,55.0,45.0,False,
135,55.0,55.0,45.0,False,
136,55.0,55.0,45.0,False,
137,55.0,55.0,45.0,False,
138,65.0,55.0,45.0,False,
139,75.0,55.0,45.0,False,
140,64.0,55.0,45.0,False,
141,64.0,55.0,45.0,False,
142,64.0,55.0,45.0,False,
143,64.0,55.0,45.0,False,
144,82.0,55.0,45.0,False,
145,64.0,55.0,45.0,False,
146,64.0,55.0,45.0,False,
147,64.0,55.0,45.0,False,
148,78.0,55.0,45.0,False,
149,64.0,55.0,45.0,False,
150,60.0,55.0,45.0,False,
