evaluation,proposed,current,best,accepted,temperature
1,54.0,54.0,54.0,True,
2,72.0,54.0,54.0,False,
3,70.0,54.0,54.0,False,
4,77.0,54.0,54.0,False,
5,54.0,54.0,54.0,False,
6,81.0,54.0,54.0,False,
7,72.0,54.0,54.0,False,
8,105.0,54.0,54.0,False,
9,65.0,54.0,54.0,False,
10,61.0,54.0,54.0,False,
11,68.0,54.0,54.0,False,
12,47.0,47.0,47.0,True,
13,88.0,47.0,47.0,False,
14,82.0,47.0,47.0,False,
15,55.0,47.0,47.0,False,
16,69.0,47.0,47.0,False,
17,76.0,47.0,47.0,False,
18,72.0,47.0,47.0,False,
19,97.0,47.0,47.0,False,
20,55.0,47.0,47.0,False,
21,77.0,47.0,47.0,False,
22,63.0,47.0,47.0,False,
23,93.0,47.0,47.0,False,
24,61.0,47.0,47.0,False,
25,76.0,47.0,47.0,False,
26,110.0,47.0,47.0,False,
27,44.0,44.0,44.0,True,
28,59.0,44.0,44.0,False,
29,81.0,44.0,44.0,False,
30,91.0,44.0,44.0,False,
31,81.0,44.0,44.0,False,
32,73.0,44.0,44.0,False,
33,84.0,44.0,44.0,False,
34,64.0,44.0,44.0,False,
35,92.0,44.0,44.0,False,
36,53.0,44.0,44.0,False,
37,74.0,44.0,44.0,False,
38,64.0,44.0,44.0,False,
39,68.0,44.0,44.0,False,
40,65.0,44.0,44.0,False,
41,64.0,44.0,44.0,False,
42,72.0,44.0,44.0,False,
43,106.0,44.0,44.0,False,
44,67.0,44.0,44.0,False,
45,77.0,44.0,44.0,False,
46,90.0,44.0,44.0,False,
47,73.0,44.0,44.0,False,
48,73.0,44.0,44.0,False,
49,68.0,44.0,44.0,False,
50,66.0,44.0,44.0,False,
51,76.0,44.0,44.0,False,
52,78.0,44.0,44.0,False,
53,101.0,44.0,44.0,False,
54,69.0,44.0,44.0,False,
55,63.0,44.0,44.0,False,
56,79.0,44.0,44.0,False,
57,92.0,44.0,44.0,False,
58,96.0,44.0,44.0,False,
59,60.0,44.0,44.0,False,
60,102.0,44.0,44.0,False,
61,80.0,44.0,44.0,False,
62,78.0,44.0,44.0,False,
63,104.0,44.0,44.0,False,
64,73.0,44.0,44.0,False,
65,69.0,44.0,44.0,False,
66,81.0,44.0,44.0,False,
67,59.0,44.0,44.0,False,
68,100.0,44.0,44.0,False,
69,78.0,44.0,44.0,False,
70,47.0,44.0,44.0,False,
71,105.0,44.0,44.0,False,
72,65.0,44.0,44.0,False,
73,61.0,44.0,44.0,False,
74,89.0,44.0,44.0,False,
75,73.0,44.0,44.0,False,
76,54.0,44.0,44.0,False,
77,64.0,44.0,44.0,False,
78,87.0,44.0,44.0,False,
79,70.0,44.0,44.0,False,
80,71.0,44.0,44.0,False,
81,68.0,44.0,44.0,False,
82,62.0,44.0,44.0,False,
83,82.0,44.0,44.0,False,
84,58.0,44.0,44.0,False,
85,69.0,44.0,44.0,False,
86,81.0,44.0,44.0,False,
87,86.0,44.0,44.0,False,
88,77.0,44.0,44.0,False,
89,62.0,44.0,44.0,False,
90,73.0,44.0,44.0,False,
91,82.0,44.0,44.0,False,
92,88.0,44.0,44.0,False,
93,85.0,44.0,44.0,False,
94,70.0,44.0,44.0,False,
95,63.0,44.0,44.0,False,
96,81.0,44.0,44.0,False,
97,58.0,44.0,44.0,False,
98,55.0,44.0,44.0,False,
99,88.0,44.0,44.0,False,
100,55.0,44.0,44.0,False,
101,47.0,44.0,44.0,False,
102,49.0,44.0,44.0,False,
103,67.0,44.0,44.0,False,
104,82.0,44.0,44.0,False,
105,88.0,44.0,44.0,False,
106,75.0,44.0,44.0,False,
107,95.0,44.0,44.0,False,
108,76.0,44.0,44.0,False,
109,62.0,44.0,44.0,False,
110,78.0,44.0,44.0,False,
111,94.0,44.0,44.0,False,
112,72.0,44.0,44.0,False,
113,81.0,44.0,44.0,False,
114,77.0,44.0,44.0,False,
115,81.0,44.0,44.0,False,
116,104.0,44.0,44.0,False,
117,97.0,44.0,44.0,False,
118,93.0,44.0,44.0,False,
119,90.0,44.0,44.0,False,
120,60.0,44.0,44.0,False,
121,77.0,44.0,44.0,False,
122,60.0,44.0,44.0,False,
123,58.0,44.0,44.0,False,
124,78.0,44.0,44.0,False,
125,49.0,44.0,44.0,False,
126,66.0,44.0,44.0,False,
127,61.0,44.0,44.0,False,
128,66.0,44.0,44.0,False,
129,107.0,44.0,44.0,False,
130,60.0,44.0,44.0,False,
131,64.0,44.0,44.0,False,
132,104.0,44.0,44.0,False,
133,76.0,44.0,44.0,False,
134,74.0,44.0,44.0,False,
135,78.0,44.0,44.0,False,
136,91.0,44.0,44.0,False,
137,68.0,44.0,44.0,False,
138,67.0,44.0,44.0,False,
139,46.0,44.0,44.0,False,
140,69.0,44.0,44.0,False,
141,61.0,44.0,44.0,False,
142,90.0,44.0,44.0,False,
143,65.0,44.0,44.0,False,
144,64.0,44.0,44.0,False,
145,74.0,44.0,44.0,False,
146,68.0,44.0,44.0,False,
147,85.0,44.0,44.0,False,
148,92.0,44.0,44.0,False,
149,57.0,44.0,44.0,False,
150,79.0,44.0,44.0,False,
