evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,704.0,719.0,704.0,False,
3,728.0,719.0,704.0,False,
4,698.0,719.0,698.0,False,
5,698.0,719.0,698.0,False,
6,692.0,719.0,692.0,False,
7,680.0,719.0,680.0,False,
8,686.0,719.0,680.0,False,
9,591.0,719.0,591.0,False,
10,677.0,719.0,591.0,False,
11,631.0,719.0,591.0,False,
12,667.0,719.0,591.0,False,
13,597.0,719.0,591.0,False,
14,655.0,719.0,591.0,False,
15,555.0,719.0,555.0,False,
16,642.0,719.0,555.0,False,
17,543.0,719.0,543.0,False,
18,628.0,719.0,543.0,False,
19,531.0,719.0,531.0,False,
20,614.0,719.0,531.0,False,
21,529.0,719.0,529.0,False,
22,598.0,719.0,529.0,False,
23,715.0,719.0,529.0,False,
24,711.0,719.0,529.0,False,
25,711.0,719.0,529.0,False,
26,707.0,719.0,529.0,False,
27,707.0,719.0,529.0,False,
28,691.0,719.0,529.0,False,
29,700.0,719.0,529.0,False,
30,679.0,719.0,529.0,False,
31,692.0,719.0,529.0,False,
32,659.0,719.0,529.0,False,
33,682.0,719.0,529.0,False,
34,642.0,719.0,529.0,False,
35,671.0,719.0,529.0,False,
36,623.0,719.0,529.0,False,
37,659.0,719.0,529.0,False,
38,611.0,719.0,529.0,False,
39,647.0,719.0,529.0,False,
40,579.0,719.0,529.0,False,
41,633.0,719.0,529.0,False,
42,730.0,719.0,529.0,False,
43,719.0,719.0,529.0,False,
44,719.0,719.0,529.0,False,
45,719.0,719.0,529.0,False,
46,710.0,719.0,529.0,False,
47,716.0,719.0,529.0,False,
48,703.0,719.0,529.0,False,
49,712.0,719.0,529.0,False,
50,689.0,719.0,529.0,False,
51,706.0,719.0,529.0,False,
52,677.0,719.0,529.0,False,
53,699.0,719.0,529.0,False,
54,663.0,719.0,529.0,False,
55,691.0,719.0,529.0,False,
56,655.0,719.0,529.0,False,
57,683.0,719.0,529.0,False,
58,629.0,719.0,529.0,False,
59,673.0,719.0,529.0,False,
60,706.0,719.0,529.0,False,
61,715.0,719.0,529.0,False,
62,719.0,719.0,529.0,False,
63,713.0,719.0,529.0,False,
64,716.0,719.0,529.0,False,
65,707.0,719.0,529.0,False,
66,712.0,719.0,529.0,False,
67,695.0,719.0,529.0,False,
68,706.0,719.0,529.0,False,
69,684.0,719.0,529.0,False,
70,699.0,719.0,529.0,False,
71,671.0,719.0,529.0,False,
72,691.0,719.0,529.0,False,
73,663.0,719.0,529.0,False,
74,683.0,719.0,529.0,False,
75,639.0,719.0,529.0,False,
76,673.0,719.0,529.0,False,
77,694.0,719.0,529.0,False,
78,715.0,719.0,529.0,False,
79,719.0,719.0,529.0,False,
80,716.0,719.0,529.0,False,
81,711.0,719.0,529.0,False,
82,712.0,719.0,529.0,False,
83,701.0,719.0,529.0,False,
84,706.0,719.0,529.0,False,
85,691.0,719.0,529.0,False,
86,699.0,719.0,529.0,False,
87,679.0,719.0,529.0,False,
88,691.0,719.0,529.0,False,
89,671.0,719.0,529.0,False,
90,683.0,719.0,529.0,False,
91,649.0,719.0,529.0,False,
92,673.0,719.0,529.0,False,
93,613.0,719.0,529.0,False,
94,703.0,719.0,529.0,False,
95,710.0,719.0,529.0,False,
96,713.0,719.0,529.0,False,
97,718.0,719.0,529.0,False,
98,713.0,719.0,529.0,False,
99,715.0,719.0,529.0,False,
100,707.0,719.0,529.0,False,
101,711.0,719.0,529.0,False,
102,699.0,719.0,529.0,False,
103,706.0,719.0,529.0,False,
104,694.0,719.0,529.0,False,
105,701.0,719.0,529.0,False,
106,677.0,719.0,529.0,False,
107,694.0,719.0,529.0,False,
108,662.0,719.0,529.0,False,
109,698.0,719.0,529.0,False,
110,706.0,719.0,529.0,False,
111,710.0,719.0,529.0,False,
112,714.0,719.0,529.0,False,
113,717.0,719.0,529.0,False,
114,713.0,719.0,529.0,False,
115,714.0,719.0,529.0,False,
116,707.0,719.0,529.0,False,
117,710.0,719.0,529.0,False,
118,703.0,719.0,529.0,False,
119,706.0,719.0,529.0,False,
120,689.0,719.0,529.0,False,
121,700.0,719.0,529.0,False,
122,638.0,719.0,529.0,False,
123,686.0,719.0,529.0,False,
124,696.0,719.0,529.0,False,
125,702.0,719.0,529.0,False,
126,708.0,719.0,529.0,False,
127,714.0,719.0,529.0,False,
128,718.0,719.0,529.0,False,
129,715.0,719.0,529.0,False,
130,716.0,719.0,529.0,False,
131,713.0,719.0,529.0,False,
132,714.0,719.0,529.0,False,
133,703.0,719.0,529.0,False,
134,710.0,719.0,529.0,False,
135,618.0,719.0,529.0,False,
136,679.0,719.0,529.0,False,
137,690.0,719.0,529.0,False,
138,697.0,719.0,529.0,False,
139,704.0,719.0,529.0,False,
140,711.0,719.0,529.0,False,
141,715.0,719.0,529.0,False,
142,718.0,719.0,529.0,False,
143,717.0,719.0,529.0,False,
144,717.0,719.0,529.0,False,
145,710.0,719.0,529.0,False,
146,714.0,719.0,529.0,False,
147,619.0,719.0,529.0,False,
148,671.0,719.0,529.0,False,
149,683.0,719.0,529.0,False,
150,691.0,529.0,529.0,True,
