evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,704.0,704.0,704.0,True,
3,719.0,704.0,704.0,False,
4,730.0,704.0,704.0,False,
5,715.0,704.0,704.0,False,
6,702.0,702.0,702.0,True,
7,711.0,702.0,702.0,False,
8,726.0,702.0,702.0,False,
9,711.0,702.0,702.0,False,
10,704.0,702.0,702.0,False,
11,715.0,702.0,702.0,False,
12,690.0,690.0,690.0,True,
13,711.0,690.0,690.0,False,
14,726.0,690.0,690.0,False,
15,711.0,690.0,690.0,False,
16,704.0,690.0,690.0,False,
17,715.0,690.0,690.0,False,
18,702.0,690.0,690.0,False,
19,715.0,690.0,690.0,False,
20,609.0,609.0,609.0,True,
21,699.0,609.0,609.0,False,
22,717.0,609.0,609.0,False,
23,702.0,609.0,609.0,False,
24,698.0,609.0,609.0,False,
25,709.0,609.0,609.0,False,
26,699.0,609.0,609.0,False,
27,712.0,609.0,609.0,False,
28,690.0,609.0,609.0,False,
29,715.0,609.0,609.0,False,
30,658.0,609.0,609.0,False,
31,714.0,609.0,609.0,False,
32,633.0,609.0,609.0,False,
33,711.0,609.0,609.0,False,
34,610.0,609.0,609.0,False,
35,707.0,609.0,609.0,False,
36,607.0,607.0,607.0,True,
37,659.0,607.0,607.0,False,
38,682.0,607.0,607.0,False,
39,667.0,607.0,607.0,False,
40,668.0,607.0,607.0,False,
41,679.0,607.0,607.0,False,
42,674.0,607.0,607.0,False,
43,687.0,607.0,607.0,False,
44,670.0,607.0,607.0,False,
45,695.0,607.0,607.0,False,
46,643.0,607.0,607.0,False,
47,699.0,607.0,607.0,False,
48,623.0,607.0,607.0,False,
49,701.0,607.0,607.0,False,
50,605.0,605.0,605.0,True,
51,666.0,605.0,605.0,False,
52,688.0,605.0,605.0,False,
53,673.0,605.0,605.0,False,
54,673.0,605.0,605.0,False,
55,684.0,605.0,605.0,False,
56,678.0,605.0,605.0,False,
57,691.0,605.0,605.0,False,
58,673.0,605.0,605.0,False,
59,698.0,605.0,605.0,False,
60,645.0,605.0,605.0,False,
61,701.0,605.0,605.0,False,
62,624.0,605.0,605.0,False,
63,702.0,605.0,605.0,False,
64,607.0,605.0,605.0,False,
65,701.0,605.0,605.0,False,
66,608.0,605.0,605.0,False,
67,705.0,605.0,605.0,False,
68,607.0,605.0,605.0,False,
69,704.0,605.0,605.0,False,
70,608.0,605.0,605.0,False,
71,701.0,605.0,605.0,False,
72,618.0,605.0,605.0,False,
73,589.0,589.0,589.0,True,
74,647.0,589.0,589.0,False,
75,684.0,589.0,589.0,False,
76,654.0,589.0,589.0,False,
77,688.0,589.0,589.0,False,
78,667.0,589.0,589.0,False,
79,674.0,589.0,589.0,False,
80,674.0,589.0,589.0,False,
81,669.0,589.0,589.0,False,
82,681.0,589.0,589.0,False,
83,639.0,589.0,589.0,False,
84,684.0,589.0,589.0,False,
85,618.0,589.0,589.0,False,
86,685.0,589.0,589.0,False,
87,591.0,589.0,589.0,False,
88,684.0,589.0,589.0,False,
89,602.0,589.0,589.0,False,
90,688.0,589.0,589.0,False,
91,591.0,589.0,589.0,False,
92,687.0,589.0,589.0,False,
93,602.0,589.0,589.0,False,
94,684.0,589.0,589.0,False,
95,616.0,589.0,589.0,False,
96,605.0,589.0,589.0,False,
97,618.0,589.0,589.0,False,
98,586.0,586.0,586.0,True,
99,641.0,586.0,586.0,False,
100,672.0,586.0,586.0,False,
101,648.0,586.0,586.0,False,
102,676.0,586.0,586.0,False,
103,661.0,586.0,586.0,False,
104,668.0,586.0,586.0,False,
105,672.0,586.0,586.0,False,
106,657.0,586.0,586.0,False,
107,679.0,586.0,586.0,False,
108,626.0,586.0,586.0,False,
109,682.0,586.0,586.0,False,
110,605.0,586.0,586.0,False,
111,683.0,586.0,586.0,False,
112,588.0,586.0,586.0,False,
113,682.0,586.0,586.0,False,
114,589.0,586.0,586.0,False,
115,686.0,586.0,586.0,False,
116,588.0,586.0,586.0,False,
117,685.0,586.0,586.0,False,
118,589.0,586.0,586.0,False,
119,682.0,586.0,586.0,False,
120,608.0,586.0,586.0,False,
121,601.0,586.0,586.0,False,
122,614.0,586.0,586.0,False,
123,589.0,586.0,586.0,False,
124,618.0,586.0,586.0,False,
125,575.0,575.0,575.0,True,
126,629.0,575.0,575.0,False,
127,672.0,575.0,575.0,False,
128,636.0,575.0,575.0,False,
129,676.0,575.0,575.0,False,
130,649.0,575.0,575.0,False,
131,668.0,575.0,575.0,False,
132,660.0,575.0,575.0,False,
133,669.0,575.0,575.0,False,
134,667.0,575.0,575.0,False,
135,626.0,575.0,575.0,False,
136,670.0,575.0,575.0,False,
137,604.0,575.0,575.0,False,
138,671.0,575.0,575.0,False,
139,577.0,575.0,575.0,False,
140,670.0,575.0,575.0,False,
141,588.0,575.0,575.0,False,
142,674.0,575.0,575.0,False,
143,577.0,575.0,575.0,False,
144,673.0,575.0,575.0,False,
145,588.0,575.0,575.0,False,
146,670.0,575.0,575.0,False,
147,608.0,575.0,575.0,False,
148,601.0,575.0,575.0,False,
149,614.0,575.0,575.0,False,
150,589.0,575.0,575.0,False,
