evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,704.0,704.0,704.0,True,
3,719.0,704.0,704.0,False,
4,730.0,704.0,704.0,False,
5,715.0,704.0,704.0,False,
6,702.0,702.0,702.0,True,
7,711.0,702.0,702.0,False,
8,726.0,702.0,702.0,False,
9,711.0,702.0,702.0,False,
10,704.0,702.0,702.0,False,
11,715.0,702.0,702.0,False,
12,690.0,690.0,690.0,True,
13,711.0,690.0,690.0,False,
14,726.0,690.0,690.0,False,
15,711.0,690.0,690.0,False,
16,704.0,690.0,690.0,False,
17,715.0,690.0,690.0,False,
18,702.0,690.0,690.0,False,
19,715.0,690.0,690.0,False,
20,609.0,609.0,609.0,True,
21,699.0,609.0,609.0,False,
22,717.0,609.0,609.0,False,
23,702.0,609.0,609.0,False,
24,698.0,609.0,609.0,False,
25,709.0,609.0,609.0,False,
26,699.0,609.0,609.0,False,
27,712.0,609.0,609.0,False,
28,690.0,609.0,609.0,False,
29,715.0,609.0,609.0,False,
30,658.0,609.0,609.0,False,
31,714.0,609.0,609.0,False,
32,633.0,609.0,609.0,False,
33,711.0,609.0,609.0,False,
34,610.0,609.0,609.0,False,
35,707.0,609.0,609.0,False,
36,607.0,607.0,607.0,True,
37,659.0,607.0,607.0,False,
38,682.0,607.0,607.0,False,
39,667.0,607.0,607.0,False,
40,668.0,607.0,607.0,False,
41,428.0,428.0,428.0,True,
42,485.0,428.0,428.0,False,
43,513.0,428.0,428.0,False,
44,498.0,428.0,428.0,False,
45,518.0,428.0,428.0,False,
46,501.0,428.0,428.0,False,
47,461.0,428.0,428.0,False,
48,498.0,428.0,428.0,False,
49,478.0,428.0,428.0,False,
50,497.0,428.0,428.0,False,
51,427.0,427.0,427.0,True,
52,467.0,427.0,427.0,False,
53,497.0,427.0,427.0,False,
54,482.0,427.0,427.0,False,
55,506.0,427.0,427.0,False,
56,489.0,427.0,427.0,False,
57,453.0,427.0,427.0,False,
58,490.0,427.0,427.0,False,
59,474.0,427.0,427.0,False,
60,493.0,427.0,427.0,False,
61,428.0,427.0,427.0,False,
62,497.0,427.0,427.0,False,
63,558.0,427.0,427.0,False,
64,504.0,427.0,427.0,False,
65,529.0,427.0,427.0,False,
66,511.0,427.0,427.0,False,
67,430.0,427.0,427.0,False,
68,510.0,427.0,427.0,False,
69,618.0,427.0,427.0,False,
70,523.0,427.0,427.0,False,
71,426.0,426.0,426.0,True,
72,458.0,426.0,426.0,False,
73,488.0,426.0,426.0,False,
74,473.0,426.0,426.0,False,
75,498.0,426.0,426.0,False,
76,481.0,426.0,426.0,False,
77,446.0,426.0,426.0,False,
78,483.0,426.0,426.0,False,
79,468.0,426.0,426.0,False,
80,487.0,426.0,426.0,False,
81,552.0,552.0,426.0,True,
82,488.0,488.0,426.0,True,
83,552.0,488.0,426.0,False,
84,534.0,488.0,426.0,False,
85,558.0,488.0,426.0,False,
86,504.0,488.0,426.0,False,
87,560.0,488.0,426.0,False,
88,498.0,488.0,426.0,False,
89,558.0,488.0,426.0,False,
90,585.0,488.0,426.0,False,
91,570.0,488.0,426.0,False,
92,508.0,488.0,426.0,False,
93,566.0,488.0,426.0,False,
94,494.0,488.0,426.0,False,
95,564.0,488.0,426.0,False,
96,592.0,488.0,426.0,False,
97,574.0,488.0,426.0,False,
98,564.0,488.0,426.0,False,
99,580.0,488.0,426.0,False,
100,486.0,486.0,426.0,True,
101,543.0,486.0,426.0,False,
102,526.0,486.0,426.0,False,
103,550.0,486.0,426.0,False,
104,497.0,486.0,426.0,False,
105,553.0,486.0,426.0,False,
106,492.0,486.0,426.0,False,
107,552.0,486.0,426.0,False,
108,580.0,486.0,426.0,False,
109,565.0,486.0,426.0,False,
110,504.0,486.0,426.0,False,
111,562.0,486.0,426.0,False,
112,491.0,486.0,426.0,False,
113,561.0,486.0,426.0,False,
114,590.0,486.0,426.0,False,
115,572.0,486.0,426.0,False,
116,563.0,486.0,426.0,False,
117,579.0,486.0,426.0,False,
118,488.0,486.0,426.0,False,
119,580.0,486.0,426.0,False,
120,487.0,486.0,426.0,False,
121,488.0,488.0,426.0,True,
122,545.0,488.0,426.0,False,
123,518.0,488.0,426.0,False,
124,542.0,488.0,426.0,False,
125,535.0,488.0,426.0,False,
126,549.0,488.0,426.0,False,
127,569.0,488.0,426.0,False,
128,562.0,488.0,426.0,False,
129,465.0,465.0,426.0,True,
130,561.0,465.0,426.0,False,
131,530.0,465.0,426.0,False,
132,554.0,465.0,426.0,False,
133,543.0,465.0,426.0,False,
134,557.0,465.0,426.0,False,
135,573.0,465.0,426.0,False,
136,566.0,465.0,426.0,False,
137,488.0,465.0,426.0,False,
138,562.0,465.0,426.0,False,
139,540.0,465.0,426.0,False,
140,565.0,465.0,426.0,False,
141,483.0,465.0,426.0,False,
142,560.0,465.0,426.0,False,
143,480.0,465.0,426.0,False,
144,555.0,465.0,426.0,False,
145,501.0,465.0,426.0,False,
146,554.0,465.0,426.0,False,
147,594.0,465.0,426.0,False,
148,561.0,465.0,426.0,False,
149,467.0,465.0,426.0,False,
150,558.0,465.0,426.0,False,
