evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,438.0,438.0,438.0,True,
3,497.0,438.0,438.0,False,
4,511.0,438.0,438.0,False,
5,388.0,388.0,388.0,True,
6,594.0,388.0,388.0,False,
7,452.0,388.0,388.0,False,
8,408.0,388.0,388.0,False,
9,579.0,388.0,388.0,False,
10,537.0,388.0,388.0,False,
11,592.0,388.0,388.0,False,
12,480.0,388.0,388.0,False,
13,613.0,388.0,388.0,False,
14,407.0,388.0,388.0,False,
15,495.0,388.0,388.0,False,
16,449.0,388.0,388.0,False,
17,358.0,358.0,358.0,True,
18,382.0,358.0,358.0,False,
19,453.0,358.0,358.0,False,
20,582.0,358.0,358.0,False,
21,605.0,358.0,358.0,False,
22,477.0,358.0,358.0,False,
23,525.0,358.0,358.0,False,
24,425.0,358.0,358.0,False,
25,549.0,358.0,358.0,False,
26,530.0,358.0,358.0,False,
27,528.0,358.0,358.0,False,
28,493.0,358.0,358.0,False,
29,514.0,358.0,358.0,False,
30,592.0,358.0,358.0,False,
31,545.0,358.0,358.0,False,
32,403.0,358.0,358.0,False,
33,469.0,358.0,358.0,False,
34,495.0,358.0,358.0,False,
35,539.0,358.0,358.0,False,
36,419.0,358.0,358.0,False,
37,601.0,358.0,358.0,False,
38,530.0,358.0,358.0,False,
39,495.0,358.0,358.0,False,
40,374.0,358.0,358.0,False,
41,558.0,358.0,358.0,False,
42,460.0,358.0,358.0,False,
43,457.0,358.0,358.0,False,
44,433.0,358.0,358.0,False,
45,453.0,358.0,358.0,False,
46,527.0,358.0,358.0,False,
47,479.0,358.0,358.0,False,
48,469.0,358.0,358.0,False,
49,450.0,358.0,358.0,False,
50,366.0,358.0,358.0,False,
51,407.0,358.0,358.0,False,
52,573.0,358.0,358.0,False,
53,371.0,358.0,358.0,False,
54,378.0,358.0,358.0,False,
55,462.0,358.0,358.0,False,
56,516.0,358.0,358.0,False,
57,576.0,358.0,358.0,False,
58,498.0,358.0,358.0,False,
59,520.0,358.0,358.0,False,
60,590.0,358.0,358.0,False,
61,421.0,358.0,358.0,False,
62,441.0,358.0,358.0,False,
63,535.0,358.0,358.0,False,
64,358.0,358.0,358.0,False,
65,615.0,358.0,358.0,False,
66,560.0,358.0,358.0,False,
67,431.0,358.0,358.0,False,
68,542.0,358.0,358.0,False,
69,453.0,358.0,358.0,False,
70,449.0,358.0,358.0,False,
71,598.0,358.0,358.0,False,
72,425.0,358.0,358.0,False,
73,372.0,358.0,358.0,False,
74,489.0,358.0,358.0,False,
75,546.0,358.0,358.0,False,
76,378.0,358.0,358.0,False,
77,550.0,358.0,358.0,False,
78,342.0,342.0,342.0,True,
79,458.0,342.0,342.0,False,
80,588.0,342.0,342.0,False,
81,482.0,342.0,342.0,False,
82,544.0,342.0,342.0,False,
83,538.0,342.0,342.0,False,
84,445.0,342.0,342.0,False,
85,587.0,342.0,342.0,False,
86,456.0,342.0,342.0,False,
87,517.0,342.0,342.0,False,
88,550.0,342.0,342.0,False,
89,515.0,342.0,342.0,False,
90,432.0,342.0,342.0,False,
91,449.0,342.0,342.0,False,
92,523.0,342.0,342.0,False,
93,433.0,342.0,342.0,False,
94,473.0,342.0,342.0,False,
95,454.0,342.0,342.0,False,
96,386.0,342.0,342.0,False,
97,478.0,342.0,342.0,False,
98,491.0,342.0,342.0,False,
99,568.0,342.0,342.0,False,
100,430.0,342.0,342.0,False,
101,536.0,342.0,342.0,False,
102,468.0,342.0,342.0,False,
103,548.0,342.0,342.0,False,
104,397.0,342.0,342.0,False,
105,422.0,342.0,342.0,False,
106,510.0,342.0,342.0,False,
107,577.0,342.0,342.0,False,
108,547.0,342.0,342.0,False,
109,427.0,342.0,342.0,False,
110,503.0,342.0,342.0,False,
111,619.0,342.0,342.0,False,
112,340.0,340.0,340.0,True,
113,490.0,340.0,340.0,False,
114,463.0,340.0,340.0,False,
115,568.0,340.0,340.0,False,
116,375.0,340.0,340.0,False,
117,382.0,340.0,340.0,False,
118,422.0,340.0,340.0,False,
119,602.0,340.0,340.0,False,
120,583.0,340.0,340.0,False,
121,528.0,340.0,340.0,False,
122,442.0,340.0,340.0,False,
123,553.0,340.0,340.0,False,
124,384.0,340.0,340.0,False,
125,378.0,340.0,340.0,False,
126,596.0,340.0,340.0,False,
127,396.0,340.0,340.0,False,
128,575.0,340.0,340.0,False,
129,494.0,340.0,340.0,False,
130,561.0,340.0,340.0,False,
131,600.0,340.0,340.0,False,
132,509.0,340.0,340.0,False,
133,427.0,340.0,340.0,False,
134,584.0,340.0,340.0,False,
135,478.0,340.0,340.0,False,
136,466.0,340.0,340.0,False,
137,469.0,340.0,340.0,False,
138,423.0,340.0,340.0,False,
139,445.0,340.0,340.0,False,
140,501.0,340.0,340.0,False,
141,562.0,340.0,340.0,False,
142,490.0,340.0,340.0,False,
143,530.0,340.0,340.0,False,
144,453.0,340.0,340.0,False,
145,501.0,340.0,340.0,False,
146,524.0,340.0,340.0,False,
147,429.0,340.0,340.0,False,
148,523.0,340.0,340.0,False,
149,399.0,340.0,340.0,False,
150,519.0,340.0,340.0,False,
