evaluation,proposed,current,best,accepted,temperature
1,719.0,719.0,719.0,True,
2,662.0,662.0,662.0,True,100.0
3,661.0,661.0,661.0,True,98.0
4,651.0,651.0,651.0,True,96.03999999999999
5,619.0,619.0,619.0,True,94.11919999999999
6,619.0,619.0,619.0,True,92.23681599999999
7,589.0,589.0,589.0,True,90.39207968
8,589.0,589.0,589.0,True,88.58423808639999
9,489.0,489.0,489.0,True,86.812553324672
10,454.0,454.0,454.0,True,85.07630225817856
11,482.0,482.0,454.0,True,83.37477621301498
12,487.0,487.0,454.0,True,81.70728068875468
13,487.0,487.0,454.0,True,80.07313507497959
14,543.0,543.0,454.0,True,78.47167237347999
15,557.0,557.0,454.0,True,76.90223892601038
16,557.0,557.0,454.0,True,75.36419414749018
17,557.0,557.0,454.0,True,73.85691026454037
18,587.0,587.0,454.0,True,72.37977205924956
19,590.0,590.0,454.0,True,70.93217661806457
20,587.0,587.0,454.0,True,69.51353308570329
21,595.0,595.0,454.0,True,68.12326242398922
22,577.0,577.0,454.0,True,66.76079717550944
23,577.0,577.0,454.0,True,65.42558123199925
24,543.0,543.0,454.0,True,64.11706960735926
25,568.0,568.0,454.0,True,62.83472821521207
26,567.0,567.0,454.0,True,61.57803365090783
27,583.0,583.0,454.0,True,60.34647297788967
28,457.0,457.0,454.0,True,59.13954351833188
29,423.0,423.0,423.0,True,57.95675264796524
30,399.0,399.0,399.0,True,56.79761759500593
31,399.0,399.0,399.0,True,55.66166524310581
32,399.0,399.0,399.0,True,54.54843193824369
33,399.0,399.0,399.0,True,53.45746329947881
34,399.0,399.0,399.0,True,52.38831403348923
35,451.0,451.0,399.0,True,51.34054775281945
36,451.0,451.0,399.0,True,50.313736797763056
37,545.0,451.0,399.0,False,49.3074620618078
38,451.0,451.0,399.0,True,48.32131282057164
39,482.0,482.0,399.0,True,47.35488656416021
40,482.0,482.0,399.0,True,46.407788832877
41,493.0,482.0,399.0,False,45.47963305621946
42,482.0,482.0,399.0,True,44.57004039509507
43,554.0,554.0,399.0,True,43.67863958719317
44,554.0,554.0,399.0,True,42.80506679544931
45,560.0,560.0,399.0,True,41.94896545954032
46,650.0,560.0,399.0,False,41.10998615034951
47,526.0,526.0,399.0,True,40.287786427342525
48,526.0,526.0,399.0,True,39.482030698795676
49,526.0,526.0,399.0,True,38.69239008481976
50,490.0,490.0,399.0,True,37.918542283123365
51,502.0,502.0,399.0,True,37.160171437460896
52,502.0,502.0,399.0,True,36.41696800871168
53,502.0,502.0,399.0,True,35.688628648537446
54,541.0,502.0,399.0,False,34.9748560755667
55,502.0,502.0,399.0,True,34.27535895405536
56,582.0,502.0,399.0,False,33.58985177497426
57,481.0,481.0,399.0,True,32.91805473947477
58,479.0,479.0,399.0,True,32.25969364468527
59,479.0,479.0,399.0,True,31.614499771791564
60,479.0,479.0,399.0,True,30.98220977635573
61,479.0,479.0,399.0,True,30.362565580828615
62,515.0,515.0,399.0,True,29.755314269212043
63,515.0,515.0,399.0,True,29.160207983827803
64,515.0,515.0,399.0,True,28.577003824151248
65,524.0,524.0,399.0,True,28.005463747668223
66,527.0,527.0,399.0,True,27.445354472714858
67,527.0,527.0,399.0,True,26.89644738326056
68,499.0,499.0,399.0,True,26.35851843559535
69,499.0,499.0,399.0,True,25.831348066883443
70,499.0,499.0,399.0,True,25.314721105545775
71,520.0,520.0,399.0,True,24.80842668343486
72,520.0,520.0,399.0,True,24.312258149766162
73,527.0,527.0,399.0,True,23.826012986770838
74,527.0,527.0,399.0,True,23.349492727035422
75,521.0,521.0,399.0,True,22.88250287249471
76,521.0,521.0,399.0,True,22.42485281504482
77,521.0,521.0,399.0,True,21.97635575874392
78,531.0,521.0,399.0,False,21.53682864356904
79,521.0,521.0,399.0,True,21.10609207069766
80,521.0,521.0,399.0,True,20.683970229283705
81,529.0,529.0,399.0,True,20.27029082469803
82,478.0,478.0,399.0,True,19.86488500820407
83,478.0,478.0,399.0,True,19.467587308039988
84,509.0,478.0,399.0,False,19.07823556187919
85,492.0,478.0,399.0,False,18.696670850641606
86,484.0,484.0,399.0,True,18.322737433628774
87,478.0,478.0,399.0,True,17.956282684956197
88,441.0,441.0,399.0,True,17.597157031257073
89,441.0,441.0,399.0,True,17.24521389063193
