evaluation,proposed,current,best,accepted,temperature
1,38.0,38.0,38.0,True,
2,38.0,38.0,38.0,False,
3,38.0,38.0,38.0,False,
4,38.0,38.0,38.0,False,
5,38.0,38.0,38.0,False,
6,38.0,38.0,38.0,False,
7,38.0,38.0,38.0,False,
8,38.0,38.0,38.0,False,
9,38.0,38.0,38.0,False,
10,38.0,38.0,38.0,False,
11,38.0,38.0,38.0,False,
12,38.0,38.0,38.0,False,
13,38.0,38.0,38.0,False,
14,48.0,38.0,38.0,False,
15,48.0,38.0,38.0,False,
16,45.0,38.0,38.0,False,
17,56.0,38.0,38.0,False,
18,46.0,46.0,38.0,True,
19,46.0,46.0,38.0,False,
20,40.0,40.0,38.0,True,
21,40.0,40.0,38.0,False,
22,46.0,40.0,38.0,False,
23,46.0,40.0,38.0,False,
24,48.0,40.0,38.0,False,
25,46.0,40.0,38.0,False,
26,40.0,40.0,38.0,False,
27,41.0,40.0,38.0,False,
28,40.0,40.0,38.0,False,
29,46.0,40.0,38.0,False,
30,41.0,40.0,38.0,False,
31,48.0,40.0,38.0,False,
32,41.0,40.0,38.0,False,
33,38.0,38.0,38.0,True,
34,38.0,38.0,38.0,False,
35,38.0,38.0,38.0,False,
36,38.0,38.0,38.0,False,
37,38.0,38.0,38.0,False,
38,38.0,38.0,38.0,False,
39,38.0,38.0,38.0,False,
40,38.0,38.0,38.0,False,
41,38.0,38.0,38.0,False,
42,38.0,38.0,38.0,False,
43,38.0,38.0,38.0,False,
44,38.0,38.0,38.0,False,
45,38.0,38.0,38.0,False,
46,40.0,38.0,38.0,False,
47,40.0,38.0,38.0,False,
48,39.0,38.0,38.0,False,
49,54.0,38.0,38.0,False,
50,48.0,48.0,38.0,True,
51,41.0,41.0,38.0,True,
52,48.0,41.0,38.0,False,
53,48.0,41.0,38.0,False,
54,48.0,41.0,38.0,False,
55,46.0,41.0,38.0,False,
56,48.0,41.0,38.0,False,
57,41.0,41.0,38.0,False,
58,40.0,40.0,38.0,True,
59,46.0,40.0,38.0,False,
60,46.0,40.0,38.0,False,
61,46.0,40.0,38.0,False,
62,48.0,40.0,38.0,False,
63,46.0,40.0,38.0,False,
64,40.0,40.0,38.0,False,
65,41.0,40.0,38.0,False,
66,41.0,40.0,38.0,False,
67,40.0,40.0,38.0,False,
68,40.0,40.0,38.0,False,
69,48.0,40.0,38.0,False,
70,41.0,40.0,38.0,False,
71,55.0,40.0,38.0,False,
72,38.0,38.0,38.0,True,
73,38.0,38.0,38.0,False,
74,38.0,38.0,38.0,False,
75,38.0,38.0,38.0,False,
76,38.0,38.0,38.0,False,
77,38.0,38.0,38.0,False,
78,38.0,38.0,38.0,False,
79,38.0,38.0,38.0,False,
80,38.0,38.0,38.0,False,
81,38.0,38.0,38.0,False,
82,38.0,38.0,38.0,False,
83,38.0,38.0,38.0,False,
84,38.0,38.0,38.0,False,
85,40.0,38.0,38.0,False,
86,40.0,38.0,38.0,False,
87,39.0,38.0,38.0,False,
88,54.0,38.0,38.0,False,
89,38.0,38.0,38.0,True,
90,38.0,38.0,38.0,False,
91,38.0,38.0,38.0,False,
92,38.0,38.0,38.0,False,
93,38.0,38.0,38.0,False,
94,38.0,38.0,38.0,False,
95,38.0,38.0,38.0,False,
96,38.0,38.0,38.0,False,
97,38.0,38.0,38.0,False,
98,38.0,38.0,38.0,False,
99,38.0,38.0,38.0,False,
100,38.0,38.0,38.0,False,
101,38.0,38.0,38.0,False,
102,40.0,38.0,38.0,False,
103,40.0,38.0,38.0,False,
104,39.0,38.0,38.0,False,
105,54.0,38.0,38.0,False,
106,56.0,56.0,38.0,True,
107,63.0,56.0,38.0,False,
108,61.0,56.0,38.0,False,
109,63.0,56.0,38.0,False,
110,61.0,56.0,38.0,False,
111,63.0,56.0,38.0,False,
112,55.0,55.0,38.0,True,
113,61.0,55.0,38.0,False,
114,63.0,55.0,38.0,False,
115,61.0,55.0,38.0,False,
116,61.0,55.0,38.0,False,
117,61.0,55.0,38.0,False,
118,56.0,55.0,38.0,False,
119,55.0,55.0,38.0,False,
120,56.0,55.0,38.0,False,
121,63.0,55.0,38.0,False,
122,55.0,55.0,38.0,False,
123,61.0,55.0,38.0,False,
124,55.0,55.0,38.0,False,
125,40.0,40.0,38.0,True,
126,46.0,40.0,38.0,False,
127,48.0,40.0,38.0,False,
128,46.0,40.0,38.0,False,
129,46.0,40.0,38.0,False,
130,46.0,40.0,38.0,False,
131,41.0,40.0,38.0,False,
132,41.0,40.0,38.0,False,
133,41.0,40.0,38.0,False,
134,48.0,40.0,38.0,False,
135,40.0,40.0,38.0,False,
136,40.0,40.0,38.0,False,
137,40.0,40.0,38.0,False,
138,55.0,40.0,38.0,False,
139,38.0,38.0,38.0,True,
140,38.0,38.0,38.0,False,
141,38.0,38.0,38.0,False,
142,38.0,38.0,38.0,False,
143,38.0,38.0,38.0,False,
144,38.0,38.0,38.0,False,
145,38.0,38.0,38.0,False,
146,56.0,56.0,38.0,True,
147,54.0,54.0,38.0,True,
148,56.0,54.0,38.0,False,
149,54.0,54.0,38.0,False,
150,56.0,54.0,38.0,False,
