evaluation,proposed,current,best,accepted,temperature
1,38.0,38.0,38.0,True,
2,61.0,38.0,38.0,False,
3,48.0,38.0,38.0,False,
4,39.0,38.0,38.0,False,
5,45.0,38.0,38.0,False,
6,45.0,38.0,38.0,False,
7,39.0,38.0,38.0,False,
8,56.0,38.0,38.0,False,
9,39.0,38.0,38.0,False,
10,54.0,38.0,38.0,False,
11,48.0,38.0,38.0,False,
12,40.0,38.0,38.0,False,
13,38.0,38.0,38.0,False,
14,45.0,38.0,38.0,False,
15,38.0,38.0,38.0,False,
16,54.0,38.0,38.0,False,
17,56.0,38.0,38.0,False,
18,54.0,38.0,38.0,False,
19,61.0,38.0,38.0,False,
20,39.0,38.0,38.0,False,
21,45.0,38.0,38.0,False,
22,54.0,38.0,38.0,False,
23,63.0,38.0,38.0,False,
24,48.0,38.0,38.0,False,
25,63.0,38.0,38.0,False,
26,41.0,38.0,38.0,False,
27,61.0,38.0,38.0,False,
28,38.0,38.0,38.0,False,
29,39.0,38.0,38.0,False,
30,41.0,38.0,38.0,False,
31,48.0,38.0,38.0,False,
32,45.0,38.0,38.0,False,
33,38.0,38.0,38.0,False,
34,61.0,38.0,38.0,False,
35,38.0,38.0,38.0,False,
36,41.0,38.0,38.0,False,
37,54.0,38.0,38.0,False,
38,45.0,38.0,38.0,False,
39,38.0,38.0,38.0,False,
40,45.0,38.0,38.0,False,
41,48.0,38.0,38.0,False,
42,45.0,38.0,38.0,False,
43,54.0,38.0,38.0,False,
44,39.0,38.0,38.0,False,
45,39.0,38.0,38.0,False,
46,46.0,38.0,38.0,False,
47,61.0,38.0,38.0,False,
48,38.0,38.0,38.0,False,
49,39.0,38.0,38.0,False,
50,41.0,38.0,38.0,False,
51,39.0,38.0,38.0,False,
52,61.0,38.0,38.0,False,
53,41.0,38.0,38.0,False,
54,63.0,38.0,38.0,False,
55,38.0,38.0,38.0,False,
56,46.0,38.0,38.0,False,
57,61.0,38.0,38.0,False,
58,38.0,38.0,38.0,False,
59,45.0,38.0,38.0,False,
60,38.0,38.0,38.0,False,
61,45.0,38.0,38.0,False,
62,45.0,38.0,38.0,False,
63,41.0,38.0,38.0,False,
64,40.0,38.0,38.0,False,
65,39.0,38.0,38.0,False,
66,45.0,38.0,38.0,False,
67,39.0,38.0,38.0,False,
68,39.0,38.0,38.0,False,
69,38.0,38.0,38.0,False,
70,41.0,38.0,38.0,False,
71,45.0,38.0,38.0,False,
72,38.0,38.0,38.0,False,
73,39.0,38.0,38.0,False,
74,48.0,38.0,38.0,False,
75,39.0,38.0,38.0,False,
76,46.0,38.0,38.0,False,
77,38.0,38.0,38.0,False,
78,54.0,38.0,38.0,False,
79,45.0,38.0,38.0,False,
80,38.0,38.0,38.0,False,
81,40.0,38.0,38.0,False,
82,38.0,38.0,38.0,False,
83,54.0,38.0,38.0,False,
84,54.0,38.0,38.0,False,
85,38.0,38.0,38.0,False,
86,40.0,38.0,38.0,False,
87,48.0,38.0,38.0,False,
88,54.0,38.0,38.0,False,
89,54.0,38.0,38.0,False,
90,41.0,38.0,38.0,False,
91,56.0,38.0,38.0,False,
92,54.0,38.0,38.0,False,
93,41.0,38.0,38.0,False,
94,45.0,38.0,38.0,False,
95,63.0,38.0,38.0,False,
96,63.0,38.0,38.0,False,
97,45.0,38.0,38.0,False,
98,45.0,38.0,38.0,False,
99,39.0,38.0,38.0,False,
100,48.0,38.0,38.0,False,
101,56.0,38.0,38.0,False,
102,40.0,38.0,38.0,False,
103,39.0,38.0,38.0,False,
104,38.0,38.0,38.0,False,
105,61.0,38.0,38.0,False,
106,41.0,38.0,38.0,False,
107,41.0,38.0,38.0,False,
108,56.0,38.0,38.0,False,
109,45.0,38.0,38.0,False,
110,39.0,38.0,38.0,False,
111,48.0,38.0,38.0,False,
112,41.0,38.0,38.0,False,
113,39.0,38.0,38.0,False,
114,39.0,38.0,38.0,False,
115,46.0,38.0,38.0,False,
116,56.0,38.0,38.0,False,
117,38.0,38.0,38.0,False,
118,45.0,38.0,38.0,False,
119,46.0,38.0,38.0,False,
120,38.0,38.0,38.0,False,
121,39.0,38.0,38.0,False,
122,39.0,38.0,38.0,False,
123,45.0,38.0,38.0,False,
124,61.0,38.0,38.0,False,
125,45.0,38.0,38.0,False,
126,41.0,38.0,38.0,False,
127,41.0,38.0,38.0,False,
128,41.0,38.0,38.0,False,
129,48.0,38.0,38.0,False,
130,41.0,38.0,38.0,False,
131,46.0,38.0,38.0,False,
132,48.0,38.0,38.0,False,
133,48.0,38.0,38.0,False,
134,41.0,38.0,38.0,False,
135,45.0,38.0,38.0,False,
136,41.0,38.0,38.0,False,
137,41.0,38.0,38.0,False,
138,46.0,38.0,38.0,False,
139,39.0,38.0,38.0,False,
140,54.0,38.0,38.0,False,
141,54.0,38.0,38.0,False,
142,38.0,38.0,38.0,False,
143,54.0,38.0,38.0,False,
144,39.0,38.0,38.0,False,
145,38.0,38.0,38.0,False,
146,46.0,38.0,38.0,False,
147,48.0,38.0,38.0,False,
148,48.0,38.0,38.0,False,
149,39.0,38.0,38.0,False,
150,56.0,38.0,38.0,False,
