evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,89.0,57.0,57.0,False,
3,72.0,57.0,57.0,False,
4,79.0,57.0,57.0,False,
5,46.0,57.0,46.0,False,
6,67.0,57.0,46.0,False,
7,50.0,57.0,46.0,False,
8,39.0,57.0,39.0,False,
9,41.0,57.0,39.0,False,
10,75.0,57.0,39.0,False,
11,55.0,57.0,39.0,False,
12,56.0,57.0,39.0,False,
13,46.0,39.0,39.0,True,
14,49.0,39.0,39.0,False,
15,54.0,39.0,39.0,False,
16,39.0,39.0,39.0,False,
17,65.0,39.0,39.0,False,
18,36.0,39.0,36.0,False,
19,41.0,39.0,36.0,False,
20,57.0,39.0,36.0,False,
21,50.0,39.0,36.0,False,
22,66.0,39.0,36.0,False,
23,46.0,39.0,36.0,False,
24,87.0,39.0,36.0,False,
25,55.0,36.0,36.0,True,
26,51.0,36.0,36.0,False,
27,67.0,36.0,36.0,False,
28,60.0,36.0,36.0,False,
29,50.0,36.0,36.0,False,
30,72.0,36.0,36.0,False,
31,46.0,36.0,36.0,False,
32,56.0,36.0,36.0,False,
33,56.0,36.0,36.0,False,
34,65.0,36.0,36.0,False,
35,39.0,36.0,36.0,False,
36,39.0,36.0,36.0,False,
37,49.0,36.0,36.0,False,
