instance,group,algorithm,successful,failed,mean,median,stdev,best,mean_gap,mean_evaluations,mean_seconds
parallel_12,main,best,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.023657100022925686
parallel_12,main,first,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.023943300009705126
parallel_12,main,lpt,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,1,0.0002810000053917368
parallel_12,main,multistart,3,0,45.0,45.0,0.0,45.0,0.046511627906976744,150,0.023578500006503116
parallel_12,main,random,3,0,44.333333333333336,44.0,0.5773502691896257,44.0,0.031007751937984496,150,0.0247163333503219
parallel_12,main,sa,3,0,44.666666666666664,45.0,0.5773502691896257,44.0,0.03875968992248062,150,0.023605900001712143
parallel_12,sa_t0.1_c0.98,sa,3,0,44.666666666666664,45.0,0.5773502691896257,44.0,0.03875968992248062,150,0.023622633346046012
parallel_12,sa_t10.0_c0.9,sa,3,0,44.333333333333336,45.0,1.1547005383792515,43.0,0.031007751937984496,150,0.023725833336357027
parallel_12,sa_t100.0_c0.98,sa,3,0,44.333333333333336,44.0,0.5773502691896257,44.0,0.031007751937984496,150,0.023942400002852082
parallel_24,main,best,3,0,94.0,94.0,0.0,94.0,0.044444444444444446,150,0.04205589999522393
parallel_24,main,first,3,0,92.0,92.0,0.0,92.0,0.022222222222222223,150,0.041944633335030325
parallel_24,main,lpt,3,0,95.0,95.0,0.0,95.0,0.05555555555555555,1,0.0004689333533557753
parallel_24,main,multistart,3,0,94.0,94.0,0.0,94.0,0.044444444444444446,150,0.042243199985629566
parallel_24,main,random,3,0,94.33333333333333,95.0,1.1547005383792515,93.0,0.04814814814814815,150,0.0451559333402353
parallel_24,main,sa,3,0,93.33333333333333,93.0,0.5773502691896257,93.0,0.037037037037037035,150,0.04216946669233342
parallel_24,sa_t0.1_c0.98,sa,3,0,91.66666666666667,91.0,1.1547005383792515,91.0,0.018518518518518517,150,0.04224600000695015
parallel_24,sa_t10.0_c0.9,sa,3,0,92.0,91.0,2.6457513110645907,90.0,0.02222222222222222,150,0.04224396667753657
parallel_24,sa_t100.0_c0.98,sa,3,0,94.33333333333333,95.0,1.1547005383792515,93.0,0.04814814814814815,150,0.04246286667572955
