run_id,instance,input_sha256,group,method,seed,objective_name,time_limit,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,validation,failure_reason,reference_type,reference,gap_to_reference
single_8__main__milp_tight__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_tight,0,total_tardiness,10.0,OPTIMAL,85.0,85.0,0.0,130,0.00446,1.182968,1.187428,,,optimum,85.0,0.0
single_8__main__milp_loose__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_loose,0,total_tardiness,10.0,OPTIMAL,85.0,85.0,0.0,124,0.002135,1.162476,1.164611,,,optimum,85.0,0.0
single_8__main__milp_alt__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_alt,0,total_tardiness,10.0,OPTIMAL,85.0,85.0,0.0,0,0.035152,0.17815,0.213302,,,optimum,85.0,0.0
single_8__main__milp_warmstart__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_warmstart,0,total_tardiness,10.0,OPTIMAL,85.0,85.0,0.0,0,0.005857,0.007326,0.013183,,,optimum,85.0,0.0
single_8__main__milp_fixing__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_fixing,0,total_tardiness,10.0,OPTIMAL,85.0,85.0,0.0,0,0.004965,0.006712,0.011676,,,optimum,85.0,0.0
single_8__main__heur_spt__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,heur_spt,0,total_tardiness,10.0,FEASIBLE,85.0,,,,0.0,0.000204,0.000204,,,optimum,85.0,0.0
single_8__main__heur_edd__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,heur_edd,0,total_tardiness,10.0,FEASIBLE,85.0,,,,0.0,0.000252,0.000252,,,optimum,85.0,0.0
single_8__main__heur_wspt__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,heur_wspt,0,total_tardiness,10.0,FEASIBLE,101.0,,,,0.0,0.000224,0.000224,,,optimum,85.0,0.18823529411764706
single_8__main__heur_lpt__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,heur_lpt,0,total_tardiness,10.0,FEASIBLE,195.0,,,,0.0,0.00013,0.00013,,,optimum,85.0,1.2941176470588236
single_8__tl_3__milp_tight__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,tl_3,milp_tight,0,total_tardiness,3.0,OPTIMAL,85.0,85.0,0.0,130,0.002751,1.244251,1.247002,,,optimum,85.0,0.0
single_8__tl_30__milp_tight__0,single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,tl_30,milp_tight,0,total_tardiness,30.0,OPTIMAL,85.0,85.0,0.0,130,0.002134,1.152774,1.154908,,,optimum,85.0,0.0
single_12__main__milp_tight__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_tight,0,total_tardiness,10.0,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,81379,0.006103,10.070456,10.076559,,,proven_by_solver,532.0,0.020676691729323307
single_12__main__milp_loose__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_loose,0,total_tardiness,10.0,FEASIBLE,573.0,54.798107451688004,0.904366304621836,116335,0.004746,10.611396,10.616142,,,proven_by_solver,532.0,0.07706766917293233
single_12__main__milp_alt__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_alt,0,total_tardiness,10.0,OPTIMAL,532.0,532.0,0.0,0,0.088222,0.423398,0.51162,,,proven_by_solver,532.0,0.0
single_12__main__milp_warmstart__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_warmstart,0,total_tardiness,10.0,OPTIMAL,532.0,532.0,0.0,0,0.007941,0.023915,0.031856,,,proven_by_solver,532.0,0.0
single_12__main__milp_fixing__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_fixing,0,total_tardiness,10.0,OPTIMAL,532.0,532.0,0.0,0,0.007268,0.005094,0.012363,,,proven_by_solver,532.0,0.0
single_12__main__heur_spt__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_spt,0,total_tardiness,10.0,FEASIBLE,532.0,,,,0.0,0.000119,0.000119,,,proven_by_solver,532.0,0.0
single_12__main__heur_edd__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_edd,0,total_tardiness,10.0,FEASIBLE,543.0,,,,0.0,0.000129,0.000129,,,proven_by_solver,532.0,0.020676691729323307
single_12__main__heur_wspt__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_wspt,0,total_tardiness,10.0,FEASIBLE,568.0,,,,0.0,0.000237,0.000237,,,proven_by_solver,532.0,0.06766917293233082
single_12__main__heur_lpt__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_lpt,0,total_tardiness,10.0,FEASIBLE,719.0,,,,0.0,0.000149,0.000149,,,proven_by_solver,532.0,0.35150375939849626
single_12__tl_3__milp_tight__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,tl_3,milp_tight,0,total_tardiness,3.0,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,291,0.004575,3.016957,3.021532,,,proven_by_solver,532.0,0.020676691729323307
single_12__tl_30__milp_tight__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,tl_30,milp_tight,0,total_tardiness,30.0,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,404653,0.007502,30.655454,30.662956,,,proven_by_solver,532.0,0.020676691729323307
single_20__main__milp_tight__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_tight,0,total_tardiness,10.0,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,817,0.01558,10.031929,10.047508,,,proven_by_solver,903.0,0.07198228128460686
single_20__main__milp_loose__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_loose,0,total_tardiness,10.0,FEASIBLE,1089.0,67.05605123904724,0.9384241953727757,1139,0.01488,10.026804,10.041685,,,proven_by_solver,903.0,0.2059800664451827
single_20__main__milp_alt__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_alt,0,total_tardiness,10.0,OPTIMAL,903.0,903.0,0.0,0,0.128659,0.546355,0.675013,,,proven_by_solver,903.0,0.0
