instance,group,method,successful,failed,optimal_count,reference_type,reference,mean_objective,best_objective,mean_gap,mean_gap_to_reference,mean_wall_time,mean_iterations
parallel_12,main,cpsat_parallel,1,0,1,proven_by_solver,39.0,39.0,39.0,0.0,0.0,0.022828,687
parallel_12,main,cpsat_symmetry,1,0,1,proven_by_solver,39.0,39.0,39.0,0.0,0.0,0.100859,3513
parallel_12,main,heur_parallel_lpt,1,0,0,proven_by_solver,39.0,46.0,46.0,,0.179487,0.000461,
parallel_12,main,milp_alt,1,0,1,proven_by_solver,39.0,39.0,39.0,0.0,0.0,1.385605,8
parallel_12,tl_3,cpsat_parallel,1,0,1,proven_by_solver,39.0,39.0,39.0,0.0,0.0,0.021208,687
parallel_12,tl_30,cpsat_parallel,1,0,1,proven_by_solver,39.0,39.0,39.0,0.0,0.0,0.02251,687
parallel_24,main,cpsat_parallel,1,0,0,proven_by_solver,71.0,71.0,71.0,0.661972,0.0,10.00374,49613
parallel_24,main,cpsat_symmetry,1,0,1,proven_by_solver,71.0,71.0,71.0,0.0,0.0,0.485116,10644
parallel_24,main,heur_parallel_lpt,1,0,0,proven_by_solver,71.0,75.0,75.0,,0.056338,0.000382,
parallel_24,main,milp_alt,1,0,0,proven_by_solver,71.0,73.0,73.0,0.410959,0.028169,10.085828,17
parallel_24,tl_3,cpsat_parallel,1,0,0,proven_by_solver,71.0,71.0,71.0,0.661972,0.0,3.003728,17052
parallel_24,tl_30,cpsat_parallel,1,0,0,proven_by_solver,71.0,71.0,71.0,0.661972,0.0,30.004291,138210
parallel_8,main,cpsat_parallel,1,0,1,proven_by_solver,29.0,29.0,29.0,0.0,0.0,0.01387,227
parallel_8,main,cpsat_symmetry,1,0,1,proven_by_solver,29.0,29.0,29.0,0.0,0.0,0.018692,336
parallel_8,main,heur_parallel_lpt,1,0,0,proven_by_solver,29.0,31.0,31.0,,0.068966,0.000355,
parallel_8,main,milp_alt,1,0,1,proven_by_solver,29.0,29.0,29.0,0.0,0.0,0.704473,11
parallel_8,tl_3,cpsat_parallel,1,0,1,proven_by_solver,29.0,29.0,29.0,0.0,0.0,0.008996,227
parallel_8,tl_30,cpsat_parallel,1,0,1,proven_by_solver,29.0,29.0,29.0,0.0,0.0,0.008509,227
routes_10,main,cpsat_jsp,1,0,0,best-known,71.0,71.0,71.0,0.478873,0.0,10.003659,66856
routes_10,main,cpsat_parallel,1,0,0,best-known,71.0,71.0,71.0,0.478873,0.0,10.003779,67368
routes_10,tl_3,cpsat_parallel,1,0,0,best-known,71.0,71.0,71.0,0.478873,0.0,3.002876,24095
routes_10,tl_30,cpsat_parallel,1,0,0,best-known,71.0,71.0,71.0,0.478873,0.0,30.003933,181188
routes_6,main,cpsat_jsp,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,0.031792,903
routes_6,main,cpsat_parallel,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,0.031926,903
routes_6,tl_3,cpsat_parallel,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,0.033099,903
routes_6,tl_30,cpsat_parallel,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,0.034905,903
single_12,main,heur_edd,1,0,0,proven_by_solver,532.0,543.0,543.0,,0.020677,0.000142,
single_12,main,heur_lpt,1,0,0,proven_by_solver,532.0,719.0,719.0,,0.351504,0.000149,
single_12,main,heur_spt,1,0,0,proven_by_solver,532.0,532.0,532.0,,0.0,0.000121,
single_12,main,heur_wspt,1,0,0,proven_by_solver,532.0,568.0,568.0,,0.067669,0.000274,
single_12,main,milp_alt,1,0,1,proven_by_solver,532.0,532.0,532.0,0.0,0.0,0.711205,0
single_12,main,milp_fixing,1,0,1,proven_by_solver,532.0,532.0,532.0,0.0,0.0,0.012759,0
single_12,main,milp_loose,1,0,0,proven_by_solver,532.0,573.0,573.0,0.904366,0.077068,10.867713,100334
