scenario,kind,name,primal,dual,product
prod_2d,variable,x_P1,39.999999999999986,0.0,0.0
prod_2d,variable,x_P2,20.00000000000001,7.105427357601002e-15,1.4210854715202011e-13
prod_2d,inequality_row,cap_M,1.4210854715202004e-14,16.666666666666668,2.368475785867001e-13
prod_2d,inequality_row,cap_L,0.0,6.666666666666663,0.0
prod_base,variable,x_P1,19.999999999999982,0.0,0.0
prod_base,variable,x_P2,0.0,-5.000000000000007,0.0
prod_base,variable,x_P3,60.00000000000002,0.0,0.0
prod_base,inequality_row,cap_M,1.4210854715202004e-14,14.999999999999998,2.1316282072803003e-13
prod_base,inequality_row,cap_L,0.0,10.000000000000004,0.0
prod_base,inequality_row,demand_P1,20.000000000000018,0.0,0.0
prod_base,inequality_row,demand_P2,50.0,0.0,0.0
prod_base,inequality_row,demand_P3,19.99999999999998,0.0,0.0
transport_base,variable,x_S1_D1,15.0,0.0,0.0
transport_base,variable,x_S1_D2,5.0,0.0,0.0
transport_base,variable,x_S1_D3,0.0,3.0,0.0
transport_base,variable,x_S2_D1,0.0,4.0,0.0
transport_base,variable,x_S2_D2,15.0,0.0,0.0
transport_base,variable,x_S2_D3,10.0,0.0,0.0
assign_base,variable,x_J1_W1,0.0,5.0,0.0
assign_base,variable,x_J1_W2,1.0,0.0,0.0
assign_base,variable,x_J1_W3,0.0,6.0,0.0
assign_base,variable,x_J2_W1,1.0,0.0,0.0
assign_base,variable,x_J2_W2,0.0,0.0,0.0
assign_base,variable,x_J2_W3,0.0,0.0,0.0
assign_base,variable,x_J3_W1,0.0,1.0,0.0
assign_base,variable,x_J3_W2,0.0,6.0,0.0
assign_base,variable,x_J3_W3,1.0,0.0,0.0
cap_M_60,variable,x_P1,0.0,-5.000000000000007,0.0
cap_M_60,variable,x_P2,20.000000000000007,0.0,0.0
cap_M_60,variable,x_P3,39.999999999999986,-3.552713678800501e-15,1.4210854715201999e-13
cap_M_60,inequality_row,cap_M,7.105427357601002e-15,20.000000000000007,1.421085471520201e-13
cap_M_60,inequality_row,cap_L,0.0,4.999999999999996,0.0
cap_M_60,inequality_row,demand_P1,40.0,0.0,0.0
cap_M_60,inequality_row,demand_P2,29.999999999999993,0.0,0.0
cap_M_60,inequality_row,demand_P3,40.000000000000014,0.0,0.0
cap_M_70,variable,x_P1,0.0,-5.000000000000007,0.0
cap_M_70,variable,x_P2,9.999999999999995,0.0,0.0
cap_M_70,variable,x_P3,60.00000000000001,-3.552713678800501e-15,2.1316282072803008e-13
cap_M_70,inequality_row,cap_M,0.0,20.000000000000007,0.0
cap_M_70,inequality_row,cap_L,0.0,4.999999999999996,0.0
cap_M_70,inequality_row,demand_P1,40.0,0.0,0.0
cap_M_70,inequality_row,demand_P2,40.00000000000001,0.0,0.0
cap_M_70,inequality_row,demand_P3,19.999999999999993,0.0,0.0
cap_M_80,variable,x_P1,0.0,0.0,0.0
cap_M_80,variable,x_P2,0.0,7.105427357601002e-15,0.0
cap_M_80,variable,x_P3,80.0,0.0,0.0
cap_M_80,inequality_row,cap_M,0.0,16.666666666666668,0.0
cap_M_80,inequality_row,cap_L,0.0,6.666666666666663,0.0
cap_M_80,inequality_row,demand_P1,40.0,0.0,0.0
cap_M_80,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_80,inequality_row,demand_P3,0.0,1.6666666666666679,0.0
cap_M_90,variable,x_P1,10.0,0.0,0.0
cap_M_90,variable,x_P2,0.0,-5.000000000000007,0.0
cap_M_90,variable,x_P3,70.0,0.0,0.0
cap_M_90,inequality_row,cap_M,0.0,14.999999999999998,0.0
cap_M_90,inequality_row,cap_L,0.0,10.000000000000004,0.0
cap_M_90,inequality_row,demand_P1,30.0,0.0,0.0
cap_M_90,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_90,inequality_row,demand_P3,10.0,0.0,0.0
cap_M_100,variable,x_P1,19.999999999999982,0.0,0.0
cap_M_100,variable,x_P2,0.0,-5.000000000000007,0.0
cap_M_100,variable,x_P3,60.00000000000002,0.0,0.0
cap_M_100,inequality_row,cap_M,1.4210854715202004e-14,14.999999999999998,2.1316282072803003e-13
cap_M_100,inequality_row,cap_L,0.0,10.000000000000004,0.0
cap_M_100,inequality_row,demand_P1,20.000000000000018,0.0,0.0
cap_M_100,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_100,inequality_row,demand_P3,19.99999999999998,0.0,0.0
cap_M_110,variable,x_P1,29.999999999999982,0.0,0.0
cap_M_110,variable,x_P2,0.0,-5.000000000000007,0.0
cap_M_110,variable,x_P3,50.000000000000014,0.0,0.0
cap_M_110,inequality_row,cap_M,2.842170943040401e-14,14.999999999999998,4.2632564145606006e-13
cap_M_110,inequality_row,cap_L,0.0,10.000000000000004,0.0
cap_M_110,inequality_row,demand_P1,10.000000000000018,0.0,0.0
cap_M_110,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_110,inequality_row,demand_P3,29.999999999999986,0.0,0.0
cap_M_120,variable,x_P1,40.0,0.0,0.0
cap_M_120,variable,x_P2,0.0,-20.0,0.0
cap_M_120,variable,x_P3,40.0,0.0,0.0
cap_M_120,inequality_row,cap_M,0.0,-0.0,0.0
cap_M_120,inequality_row,cap_L,0.0,25.0,0.0
cap_M_120,inequality_row,demand_P1,0.0,15.0,0.0
cap_M_120,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_120,inequality_row,demand_P3,40.0,0.0,0.0
cap_M_130,variable,x_P1,40.0,0.0,0.0
cap_M_130,variable,x_P2,0.0,-20.0,0.0
cap_M_130,variable,x_P3,40.0,0.0,0.0
cap_M_130,inequality_row,cap_M,10.0,-0.0,0.0
cap_M_130,inequality_row,cap_L,0.0,25.0,0.0
cap_M_130,inequality_row,demand_P1,0.0,15.0,0.0
cap_M_130,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_130,inequality_row,demand_P3,40.0,0.0,0.0
cap_M_140,variable,x_P1,40.0,0.0,0.0
cap_M_140,variable,x_P2,0.0,-20.0,0.0
cap_M_140,variable,x_P3,40.0,0.0,0.0
cap_M_140,inequality_row,cap_M,20.0,-0.0,0.0
cap_M_140,inequality_row,cap_L,0.0,25.0,0.0
cap_M_140,inequality_row,demand_P1,0.0,15.0,0.0
cap_M_140,inequality_row,demand_P2,50.0,0.0,0.0
cap_M_140,inequality_row,demand_P3,40.0,0.0,0.0
cap_L_40,variable,x_P1,40.0,0.0,0.0
cap_L_40,variable,x_P2,0.0,-20.0,0.0
cap_L_40,variable,x_P3,0.0,0.0,0.0
cap_L_40,inequality_row,cap_M,20.0,-0.0,0.0
cap_L_40,inequality_row,cap_L,0.0,25.0,0.0
cap_L_40,inequality_row,demand_P1,0.0,15.0,0.0
cap_L_40,inequality_row,demand_P2,50.0,0.0,0.0
cap_L_40,inequality_row,demand_P3,80.0,0.0,0.0
cap_L_50,variable,x_P1,40.0,0.0,0.0
cap_L_50,variable,x_P2,0.0,-20.0,0.0
cap_L_50,variable,x_P3,9.999999999999998,0.0,0.0
cap_L_50,inequality_row,cap_M,10.0,-0.0,0.0
cap_L_50,inequality_row,cap_L,0.0,25.0,0.0
cap_L_50,inequality_row,demand_P1,0.0,15.0,0.0
cap_L_50,inequality_row,demand_P2,50.0,0.0,0.0
cap_L_50,inequality_row,demand_P3,70.0,0.0,0.0
cap_L_60,variable,x_P1,40.0,0.0,0.0
cap_L_60,variable,x_P2,0.0,-20.0,0.0
cap_L_60,variable,x_P3,19.999999999999993,0.0,0.0
cap_L_60,inequality_row,cap_M,0.0,-0.0,0.0
cap_L_60,inequality_row,cap_L,7.105427357601002e-15,25.0,1.7763568394002505e-13
cap_L_60,inequality_row,demand_P1,0.0,15.0,0.0
cap_L_60,inequality_row,demand_P2,50.0,0.0,0.0
cap_L_60,inequality_row,demand_P3,60.00000000000001,0.0,0.0
cap_L_70,variable,x_P1,29.999999999999986,0.0,0.0
cap_L_70,variable,x_P2,0.0,-5.000000000000007,0.0
cap_L_70,variable,x_P3,40.000000000000014,0.0,0.0
cap_L_70,inequality_row,cap_M,1.4210854715202004e-14,14.999999999999998,2.1316282072803003e-13
cap_L_70,inequality_row,cap_L,0.0,10.000000000000004,0.0
cap_L_70,inequality_row,demand_P1,10.000000000000014,0.0,0.0
