name,kind,note,sense,num_variables,num_rows,status,primal_objective,dual_objective,duality_gap,dual_status,dual_involution_ok,max_constraint_residual,max_reduced_cost_identity,max_complementarity,max_dual_feasibility_violation,complementarity_ok,solve_time,axis,value,baseline_value,delta,baseline_shadow_price,prediction_rule,break_even_value,predicted_objective,prediction_error,prediction_holds,shadow_row
cap_M_60,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,1600.0,1600.0,0.0,OPTIMAL,True,0.0,0.0,1.421085471520201e-13,0.0,True,0.000193,capacity_M,60.0,100.0,-40.0,14.999999999999998,rhs_linear,,1700.0,100.0,False,cap_M
cap_M_70,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,1800.0,1800.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803008e-13,0.0,True,0.000103,capacity_M,70.0,100.0,-30.0,14.999999999999998,rhs_linear,,1850.0,50.0,False,cap_M
cap_M_80,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2000.0,2000.0,0.0,OPTIMAL,True,0.0,0.0,0.0,7.105427357601002e-15,True,0.000103,capacity_M,80.0,100.0,-20.0,14.999999999999998,rhs_linear,,2000.0,0.0,True,cap_M
cap_M_90,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2150.0,2150.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,0.000108,capacity_M,90.0,100.0,-10.0,14.999999999999998,rhs_linear,,2150.0,0.0,True,cap_M
cap_M_100,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,0.000129,capacity_M,100.0,100.0,0.0,14.999999999999998,rhs_linear,,2300.0,0.0,True,cap_M
cap_M_110,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2450.0,2450.0,0.0,OPTIMAL,True,0.0,0.0,4.2632564145606006e-13,0.0,True,0.000103,capacity_M,110.0,100.0,10.0,14.999999999999998,rhs_linear,,2450.0,0.0,True,cap_M
cap_M_120,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2600.0,2600.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,9.9e-05,capacity_M,120.0,100.0,20.0,14.999999999999998,rhs_linear,,2600.0,0.0,True,cap_M
cap_M_130,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2600.0,2600.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,9.7e-05,capacity_M,130.0,100.0,30.0,14.999999999999998,rhs_linear,,2750.0,150.0,False,cap_M
cap_M_140,sensitivity_capacity,capacity_M,max,3,5,OPTIMAL,2600.0,2600.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,0.000103,capacity_M,140.0,100.0,40.0,14.999999999999998,rhs_linear,,2900.0,300.0,False,cap_M
cap_L_40,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,1600.0,1600.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,8.9e-05,capacity_L,40.0,80.0,-40.0,10.000000000000004,rhs_linear,,1900.0,300.0,False,cap_L
