instance,group,method,objective_name,status,objective,best_bound,gap,nodes,build_time,solve_time,wall_time,lp_integral,simplex_iterations,variables,constraints,nonzeros,big_m_min,big_m_max,validation,failure_reason,reference_type,reference,gap_to_reference,input_sha256,time_limit,seed
single_a,root_lp,milp_tight,total_tardiness,UNKNOWN,,0.0,,,0.004052,0.002121,0.006172,False,0,44,64,192,61,69,,,optimum,85.0,,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,,
single_a,limit,milp_tight,total_tardiness,OPTIMAL,85.0,85.0,0.0,130,0.002381,1.479783,1.482875,,,44,64,192,61,69,,,optimum,85.0,0.0,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,10.0,0
single_a,root_lp,milp_loose,total_tardiness,UNKNOWN,,0.0,,,0.00274,0.001459,0.004199,False,0,44,64,192,568,568,,,optimum,85.0,,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,,
single_a,limit,milp_loose,total_tardiness,OPTIMAL,85.0,85.0,0.0,124,0.002384,1.439093,1.442012,,,44,64,192,568,568,,,optimum,85.0,0.0,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,10.0,0
single_a,root_lp,milp_alt,total_tardiness,UNKNOWN,,83.93470483005366,,,0.027366,0.013165,0.040532,False,0,475,85,4366,,,,,optimum,85.0,,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,,
single_a,limit,milp_alt,total_tardiness,OPTIMAL,85.0,85.0,0.0,0,0.022797,0.183201,0.209152,,,475,85,4366,,,,,optimum,85.0,0.0,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,10.0,0
single_c,root_lp,milp_tight,total_tardiness,UNKNOWN,,0.0,,,0.012015,0.002812,0.014826,False,0,135,225,675,164,174,,,proven_by_solver,657.0,,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,,
single_c,limit,milp_tight,total_tardiness,FEASIBLE,732.0,60.30385711619741,0.9176176815352495,32501,0.018485,10.65652,10.675675,,,135,225,675,164,174,,,proven_by_solver,657.0,0.1141552511415525,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,10.0,0
single_c,root_lp,milp_loose,total_tardiness,UNKNOWN,,0.0,,,0.008785,0.003177,0.011963,False,0,135,225,675,2610,2610,,,proven_by_solver,657.0,,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,,
single_c,limit,milp_loose,total_tardiness,FEASIBLE,720.0,57.65071005002344,0.9199295693749674,58397,0.011992,10.08649,10.099274,,,135,225,675,2610,2610,,,proven_by_solver,657.0,0.0958904109589041,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,10.0,0
single_c,root_lp,milp_alt,total_tardiness,UNKNOWN,,656.0508474576279,,,0.156137,0.172231,0.328367,False,0,2413,204,30574,,,,,proven_by_solver,657.0,,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,,
single_c,limit,milp_alt,total_tardiness,OPTIMAL,657.0,657.0,0.0,0,0.177461,0.516563,0.707545,,,2413,204,30574,,,,,proven_by_solver,657.0,0.0,3269051d7530be8e58891c0584cad4cbfd026528dab99653e77f12e4ca03f6b2,10.0,0
parallel_a,root_lp,milp_alt,makespan,UNKNOWN,,25.000000000000004,,,0.095373,0.011573,0.106946,False,0,1774,274,19539,,,,,proven_by_solver,29.0,,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,,
parallel_a,limit,milp_alt,makespan,OPTIMAL,29.0,29.0,0.0,11,0.117641,0.924815,1.052316,,,1774,274,19539,,,,,proven_by_solver,29.0,0.0,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,10.0,0
parallel_a,root_lp,heur_parallel_lpt,makespan,FEASIBLE,31.0,,,,0.0,0.000212,0.000212,,,,,,,,,,proven_by_solver,29.0,0.06896551724137931,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,,
parallel_a,limit,heur_parallel_lpt,makespan,FEASIBLE,31.0,,,,0.0,0.000173,0.000188,,,,,,,,,,proven_by_solver,29.0,0.06896551724137931,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,10.0,0
