run_id,instance,input_sha256,group,method,objective_name,time_limit,seed,time_scale,resource_capacity,resource_demand,reference,reference_kind,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,validation,peak_resource,gap_to_reference,batch_reference_kind,batch_reference,gap_to_batch_reference
w3_parallel_small__cpsat_parallel__main,w3_parallel_small,3aa8680b5b421f4d37288d7c120c8fa21bb7e92d4a2022fe4ffa3f7824b876f9,main,cpsat_parallel,makespan,5.0,0,,,,6.0,hand_computed,OPTIMAL,6.0,6.0,0.0,96,0.008503,0.008284,0.016787,,2,0.0,proven_by_solver,6.0,0.0
w3_parallel_small__cpsat_parallel__scale_4,w3_parallel_small,3aa8680b5b421f4d37288d7c120c8fa21bb7e92d4a2022fe4ffa3f7824b876f9,scale_4,cpsat_parallel,makespan,5.0,0,4,,,6.0,hand_computed,OPTIMAL,6.0,6.0,0.0,96,0.000893,0.005,0.005894,,2,0.0,proven_by_solver,6.0,0.0
w3_parallel_tight__cpsat_parallel__main,w3_parallel_tight,7fdfce97e05d98621f66a9f19d92c6bdd37810b4c27a1b6ad545159cf086dd62,main,cpsat_parallel,makespan,5.0,0,,,,13.0,hand_computed,OPTIMAL,13.0,13.0,0.0,66,0.001089,0.004161,0.00525,,2,0.0,proven_by_solver,13.0,0.0
w3_parallel_tight__heur_parallel_lpt__main,w3_parallel_tight,7fdfce97e05d98621f66a9f19d92c6bdd37810b4c27a1b6ad545159cf086dd62,main,heur_parallel_lpt,makespan,5.0,0,,,,13.0,hand_computed,FEASIBLE,13.0,,,,0.0,0.001366,0.001366,,2,0.0,proven_by_solver,13.0,0.0
w3_single_8__milp_tight__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_tight,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,85.0,85.0,0.0,130,0.003034,1.374375,1.377409,,1,,proven_by_solver,85.0,0.0
w3_single_8__milp_loose__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_loose,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,85.0,85.0,0.0,124,0.0028,1.464172,1.466972,,1,,proven_by_solver,85.0,0.0
w3_single_8__milp_alt__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,milp_alt,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,85.0,85.0,0.0,0,0.021844,0.148727,0.170571,,1,,proven_by_solver,85.0,0.0
w3_single_8__cpsat_jsp__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,cpsat_jsp,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,85.0,85.0,0.0,4495,0.001961,0.160181,0.162141,,1,,proven_by_solver,85.0,0.0
w3_single_8__cpsat_parallel__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,cpsat_parallel,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,85.0,85.0,0.0,4495,0.001363,0.136896,0.138259,,1,,proven_by_solver,85.0,0.0
w3_single_8__heur_edd__main,w3_single_8,9cfd97c6b891f78650fe8a60294fd8c54eb774f4b3126aba9dc75b72602ef824,main,heur_edd,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,85.0,,,,0.0,9.6e-05,9.6e-05,,1,,proven_by_solver,85.0,0.0
w3_single_12__milp_tight__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_tight,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,430,0.005633,5.026255,5.031888,,1,,proven_by_solver,532.0,0.020676691729323307
w3_single_12__milp_loose__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_loose,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,573.0,54.798107451688004,0.904366304621836,14380,0.00809,5.377106,5.385195,,1,,proven_by_solver,532.0,0.07706766917293233
w3_single_12__milp_alt__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,milp_alt,total_tardiness,5.0,0,,,,,cross_checked,OPTIMAL,532.0,532.0,0.0,0,0.126604,0.593315,0.719918,,1,,proven_by_solver,532.0,0.0
w3_single_12__cpsat_jsp__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,cpsat_jsp,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,532.0,1.0,0.9981203007518797,74393,0.001448,5.017359,5.018807,,1,,proven_by_solver,532.0,0.0
w3_single_12__cpsat_parallel__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,cpsat_parallel,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,532.0,1.0,0.9981203007518797,73501,0.00175,5.01815,5.019899,,1,,proven_by_solver,532.0,0.0
w3_single_12__heur_edd__main,w3_single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_edd,total_tardiness,5.0,0,,,,,cross_checked,FEASIBLE,543.0,,,,0.0,0.000133,0.000133,,1,,proven_by_solver,532.0,0.020676691729323307
