instance,group,variant,symmetry_breaking,redundant_constraints,method,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,seed_value,time_limit,reported_conflict,minimal_conflict,reduction_steps
par_6x3,strengthening_ablation,sym=0_red=0,False,False,cpsat_sym=0_red=0,OPTIMAL,27.0,27.0,0.0,190,0.002321,0.017759,0.02008,,,,,
par_6x3,strengthening_ablation,sym=0_red=1,False,True,cpsat_sym=0_red=1,OPTIMAL,27.0,27.0,0.0,370,0.001939,0.017753,0.019692,,,,,
par_6x3,strengthening_ablation,sym=1_red=0,True,False,cpsat_sym=1_red=0,OPTIMAL,27.0,27.0,0.0,377,0.003066,0.025927,0.028993,,,,,
par_6x3,strengthening_ablation,sym=1_red=1,True,True,cpsat_sym=1_red=1,OPTIMAL,27.0,27.0,0.0,529,0.013245,0.03181,0.045055,,,,,
par_10x3,strengthening_ablation,sym=0_red=0,False,False,cpsat_sym=0_red=0,OPTIMAL,29.0,29.0,0.0,898,0.00365,0.03673,0.04038,,,,,
par_10x3,strengthening_ablation,sym=0_red=1,False,True,cpsat_sym=0_red=1,OPTIMAL,29.0,29.0,0.0,701,0.00422,0.030597,0.034817,,,,,
par_10x3,strengthening_ablation,sym=1_red=0,True,False,cpsat_sym=1_red=0,OPTIMAL,29.0,29.0,0.0,1461,0.003513,0.054644,0.058156,,,,,
par_10x3,strengthening_ablation,sym=1_red=1,True,True,cpsat_sym=1_red=1,OPTIMAL,29.0,29.0,0.0,1574,0.002752,0.045479,0.048231,,,,,
sgl_8x1,warmstart_ablation,hint_only,,,milp_hint_only,OPTIMAL,85.0,85.0,0.0,0,0.004028,0.006147,0.010175,85.0,,,,
sgl_8x1,warmstart_ablation,cutoff_only,,,milp_cutoff_only,OPTIMAL,85.0,85.0,0.0,0,0.005604,0.005903,0.011507,85.0,,,,
sgl_8x1,warmstart_ablation,cutoff_and_hint,,,milp_cutoff_and_hint,OPTIMAL,85.0,85.0,0.0,0,0.003232,0.005453,0.008685,85.0,,,,
sgl_8x1,warmstart_ablation,fix_prefix_3,,,milp_fix_prefix_3,OPTIMAL,85.0,85.0,0.0,0,0.003951,0.004532,0.008483,85.0,,,,
sgl_8x1,warmstart_ablation,fix_all,,,milp_fix_all,OPTIMAL,85.0,85.0,0.0,0,0.003956,0.004089,0.008045,85.0,,,,
sgl_12x1,warmstart_ablation,hint_only,,,milp_hint_only,OPTIMAL,532.0,532.0,0.0,0,0.006572,0.037377,0.043948,532.0,,,,
sgl_12x1,warmstart_ablation,cutoff_only,,,milp_cutoff_only,OPTIMAL,532.0,532.0,0.0,0,0.007393,0.02805,0.035443,532.0,,,,
sgl_12x1,warmstart_ablation,cutoff_and_hint,,,milp_cutoff_and_hint,OPTIMAL,532.0,532.0,0.0,0,0.006515,0.02586,0.032375,532.0,,,,
sgl_12x1,warmstart_ablation,fix_prefix_3,,,milp_fix_prefix_3,OPTIMAL,532.0,532.0,0.0,0,0.007886,0.006549,0.014435,532.0,,,,
sgl_12x1,warmstart_ablation,fix_all,,,milp_fix_all,OPTIMAL,532.0,532.0,0.0,0,0.009087,0.004823,0.013911,532.0,,,,
sgl_10x1_seed_suboptimal,warmstart_ablation,hint_only,,,milp_hint_only,OPTIMAL,271.0,271.0,0.0,0,0.00524,0.015067,0.020307,283.0,,,,
sgl_10x1_seed_suboptimal,warmstart_ablation,cutoff_only,,,milp_cutoff_only,OPTIMAL,271.0,271.0,0.0,0,0.006052,0.03275,0.038802,283.0,,,,
sgl_10x1_seed_suboptimal,warmstart_ablation,cutoff_and_hint,,,milp_cutoff_and_hint,OPTIMAL,271.0,271.0,0.0,0,0.007243,0.033886,0.041128,283.0,,,,
sgl_10x1_seed_suboptimal,warmstart_ablation,fix_prefix_3,,,milp_fix_prefix_3,OPTIMAL,283.0,283.0,0.0,0,0.008332,0.007608,0.01594,283.0,,,,
sgl_10x1_seed_suboptimal,warmstart_ablation,fix_all,,,milp_fix_all,OPTIMAL,283.0,283.0,0.0,0,0.010296,0.004889,0.015184,283.0,,,,
sgl_20x1,time_limit_scan,limit_1s,,,milp_tight,FEASIBLE,1519.0,65.12973199701796,0.9571232837412654,0,0.016353,1.017539,1.033893,,1.0,,,
sgl_20x1,time_limit_scan,limit_3s,,,milp_tight,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,4,0.013976,3.045595,3.059571,,3.0,,,
sgl_20x1,time_limit_scan,limit_10s,,,milp_tight,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,597,0.015588,10.036951,10.05254,,10.0,,,
sgl_6x1,infeasibility_diagnosis,slack_0.5,,,,INFEASIBLE,,,,4,0.0,0.011462,0.011462,,,J000,J000,1
sgl_6x1,infeasibility_diagnosis,slack_1,,,,INFEASIBLE,,,,6,0.0,0.027738,0.027738,,,J000|J001,J000|J001,2
sgl_6x1,infeasibility_diagnosis,slack_2,,,,INFEASIBLE,,,,8,0.0,0.030003,0.030003,,,J000|J002|J004,J000|J002|J004,3
