run_id,instance,input_sha256,group,method,objective_name,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,cmax,total_tardiness,setup,validation,failure_reason,reference_type,reference,gap_to_reference
flow_5x3__main__flow_johnson__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,main,flow_johnson,makespan,FEASIBLE,78.0,,,,0.0,0.000292,0.000292,78.0,63.0,0.0,,,proven_by_solver,69.0,0.13043478260869565
flow_5x3__main__flow_neh__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,main,flow_neh,makespan,FEASIBLE,70.0,,,,0.0,0.001287,0.001287,70.0,51.0,0.0,,,proven_by_solver,69.0,0.014492753623188406
flow_5x3__main__jsp_priority__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,main,jsp_priority,makespan,FEASIBLE,78.0,,,,0.0,0.000536,0.000536,78.0,88.0,0.0,,,proven_by_solver,69.0,0.13043478260869565
flow_5x3__main__jsp_cpsat__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,main,jsp_cpsat,makespan,OPTIMAL,69.0,69.0,0.0,94,0.003415,0.018861,0.022276,69.0,63.0,0.0,,,proven_by_solver,69.0,0.0
flow_5x3__tl_5__jsp_cpsat__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,tl_5,jsp_cpsat,makespan,OPTIMAL,69.0,69.0,0.0,94,0.01346,0.013008,0.026468,69.0,63.0,0.0,,,proven_by_solver,69.0,0.0
flow_5x3__tl_30__jsp_cpsat__0,flow_5x3,7ddae902e52c86dffa022499e76f61ad98594cb63b51938c55e5d181a6aaaea2,tl_30,jsp_cpsat,makespan,OPTIMAL,69.0,69.0,0.0,94,0.002506,0.011151,0.013657,69.0,63.0,0.0,,,proven_by_solver,69.0,0.0
flow_8x4__main__flow_johnson__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,main,flow_johnson,makespan,FEASIBLE,151.0,,,,0.0,0.000509,0.000509,151.0,310.0,0.0,,,proven_by_solver,126.0,0.1984126984126984
flow_8x4__main__flow_neh__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,main,flow_neh,makespan,FEASIBLE,127.0,,,,0.0,0.005814,0.005814,127.0,186.0,0.0,,,proven_by_solver,126.0,0.007936507936507936
flow_8x4__main__jsp_priority__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,main,jsp_priority,makespan,FEASIBLE,162.0,,,,0.0,0.001063,0.001063,162.0,403.0,0.0,,,proven_by_solver,126.0,0.2857142857142857
flow_8x4__main__jsp_cpsat__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,main,jsp_cpsat,makespan,OPTIMAL,126.0,126.0,0.0,640,0.003462,0.038241,0.041703,126.0,201.0,0.0,,,proven_by_solver,126.0,0.0
flow_8x4__tl_5__jsp_cpsat__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,tl_5,jsp_cpsat,makespan,OPTIMAL,126.0,126.0,0.0,640,0.003269,0.038346,0.041616,126.0,201.0,0.0,,,proven_by_solver,126.0,0.0
flow_8x4__tl_30__jsp_cpsat__0,flow_8x4,f6fa4220e21e042c2042714fa60bbffacd8398e5606cd604fb224bfdbd911779,tl_30,jsp_cpsat,makespan,OPTIMAL,126.0,126.0,0.0,640,0.003523,0.039713,0.043236,126.0,201.0,0.0,,,proven_by_solver,126.0,0.0
jsp_6x4__main__jsp_priority__0,jsp_6x4,20bd747fb6661706d79b8cd00589b4f9d8b4a06c5cf123fca2f259656fe184a8,main,jsp_priority,makespan,FEASIBLE,71.0,,,,0.0,0.000496,0.000496,71.0,74.0,0.0,,,proven_by_solver,67.0,0.05970149253731343
jsp_6x4__main__jsp_cpsat__0,jsp_6x4,20bd747fb6661706d79b8cd00589b4f9d8b4a06c5cf123fca2f259656fe184a8,main,jsp_cpsat,makespan,OPTIMAL,67.0,67.0,0.0,55,0.002293,0.007496,0.009789,67.0,29.0,0.0,,,proven_by_solver,67.0,0.0
jsp_6x4__tl_5__jsp_cpsat__0,jsp_6x4,20bd747fb6661706d79b8cd00589b4f9d8b4a06c5cf123fca2f259656fe184a8,tl_5,jsp_cpsat,makespan,OPTIMAL,67.0,67.0,0.0,55,0.002197,0.007371,0.009568,67.0,29.0,0.0,,,proven_by_solver,67.0,0.0
jsp_6x4__tl_30__jsp_cpsat__0,jsp_6x4,20bd747fb6661706d79b8cd00589b4f9d8b4a06c5cf123fca2f259656fe184a8,tl_30,jsp_cpsat,makespan,OPTIMAL,67.0,67.0,0.0,55,0.002375,0.007417,0.009791,67.0,29.0,0.0,,,proven_by_solver,67.0,0.0
