instance,group,method,successful,failed,optimal_count,reference_type,reference,mean_objective,best_objective,mean_gap,mean_gap_to_reference,mean_wall_time
fjsp_10x5_f3,main,fjsp_cpsat,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,4.131827
fjsp_10x5_f3,main,fjsp_loadbalance,1,0,0,proven_by_solver,56.0,90.0,90.0,,0.607143,0.001061
fjsp_10x5_f3,main,fjsp_random,1,0,0,proven_by_solver,56.0,115.0,115.0,,1.053571,0.001459
fjsp_10x5_f3,main,fjsp_shortest,1,0,0,proven_by_solver,56.0,111.0,111.0,,0.982143,0.000958
fjsp_10x5_f3,tl_30,fjsp_cpsat,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,4.34101
fjsp_10x5_f3,tl_5,fjsp_cpsat,1,0,1,proven_by_solver,56.0,56.0,56.0,0.0,0.0,4.794374
fjsp_6x4_f2,main,fjsp_cpsat,1,0,1,proven_by_solver,42.0,42.0,42.0,0.0,0.0,0.038195
fjsp_6x4_f2,main,fjsp_loadbalance,1,0,0,proven_by_solver,42.0,61.0,61.0,,0.452381,0.00063
fjsp_6x4_f2,main,fjsp_random,1,0,0,proven_by_solver,42.0,87.0,87.0,,1.071429,0.000688
fjsp_6x4_f2,main,fjsp_shortest,1,0,0,proven_by_solver,42.0,67.0,67.0,,0.595238,0.000603
fjsp_6x4_f2,tl_30,fjsp_cpsat,1,0,1,proven_by_solver,42.0,42.0,42.0,0.0,0.0,0.034124
fjsp_6x4_f2,tl_5,fjsp_cpsat,1,0,1,proven_by_solver,42.0,42.0,42.0,0.0,0.0,0.036695
flow_5x3,main,flow_johnson,1,0,0,proven_by_solver,69.0,78.0,78.0,,0.130435,0.000292
flow_5x3,main,flow_neh,1,0,0,proven_by_solver,69.0,70.0,70.0,,0.014493,0.001287
flow_5x3,main,jsp_cpsat,1,0,1,proven_by_solver,69.0,69.0,69.0,0.0,0.0,0.022276
flow_5x3,main,jsp_priority,1,0,0,proven_by_solver,69.0,78.0,78.0,,0.130435,0.000536
flow_5x3,tl_30,jsp_cpsat,1,0,1,proven_by_solver,69.0,69.0,69.0,0.0,0.0,0.013657
flow_5x3,tl_5,jsp_cpsat,1,0,1,proven_by_solver,69.0,69.0,69.0,0.0,0.0,0.026468
flow_8x4,main,flow_johnson,1,0,0,proven_by_solver,126.0,151.0,151.0,,0.198413,0.000509
flow_8x4,main,flow_neh,1,0,0,proven_by_solver,126.0,127.0,127.0,,0.007937,0.005814
flow_8x4,main,jsp_cpsat,1,0,1,proven_by_solver,126.0,126.0,126.0,0.0,0.0,0.041703
flow_8x4,main,jsp_priority,1,0,0,proven_by_solver,126.0,162.0,162.0,,0.285714,0.001063
flow_8x4,tl_30,jsp_cpsat,1,0,1,proven_by_solver,126.0,126.0,126.0,0.0,0.0,0.043236
flow_8x4,tl_5,jsp_cpsat,1,0,1,proven_by_solver,126.0,126.0,126.0,0.0,0.0,0.041616
ind_calendar,main,fjsp_cpsat_calendar,1,0,1,proven_by_solver,79.0,79.0,79.0,0.0,0.0,0.141707
ind_qualified,main,fjsp_cpsat_full,1,0,0,best-known,75.0,78.0,78.0,0.564103,0.04,15.060133
ind_qualified,main,fjsp_cpsat_qualified,1,0,0,best-known,75.0,75.0,75.0,0.52,0.0,15.023924
ind_setup,main,fjsp_cpsat_multiobj,1,0,0,best-known,61.0,61.0,61.0,,0.0,14.344532
ind_setup,main,fjsp_cpsat_setup,1,0,0,best-known,61.0,61.0,61.0,,0.0,15.029247
ind_worker,main,fjsp_cpsat_full,1,0,0,best-known,97.0,97.0,97.0,0.57732,0.0,15.020783
jsp_6x4,main,jsp_cpsat,1,0,1,proven_by_solver,67.0,67.0,67.0,0.0,0.0,0.009789
jsp_6x4,main,jsp_priority,1,0,0,proven_by_solver,67.0,71.0,71.0,,0.059701,0.000496
jsp_6x4,tl_30,jsp_cpsat,1,0,1,proven_by_solver,67.0,67.0,67.0,0.0,0.0,0.009791
jsp_6x4,tl_5,jsp_cpsat,1,0,1,proven_by_solver,67.0,67.0,67.0,0.0,0.0,0.009568
jsp_8x5,main,jsp_cpsat,1,0,1,proven_by_solver,84.0,84.0,84.0,0.0,0.0,0.018665
jsp_8x5,main,jsp_priority,1,0,0,proven_by_solver,84.0,86.0,86.0,,0.02381,0.000956
jsp_8x5,tl_30,jsp_cpsat,1,0,1,proven_by_solver,84.0,84.0,84.0,0.0,0.0,0.019812
jsp_8x5,tl_5,jsp_cpsat,1,0,1,proven_by_solver,84.0,84.0,84.0,0.0,0.0,0.019364
