machine_id,job_id,operation_id,start_time,end_time,duration
M0,J001,J001_O0,0,2,2
M0,J003,J003_O0,2,5,3
M0,J005,J005_O0,5,16,11
M0,J006,J006_O0,16,19,3
M0,J002,J002_O0,19,29,10
M0,J007,J007_O0,29,33,4
M0,J000,J000_O0,33,52,19
M0,J004,J004_O0,52,67,15
M1,J001,J001_O1,2,19,17
M1,J005,J005_O1,19,27,8
M1,J006,J006_O1,27,41,14
M1,J007,J007_O1,41,61,20
M1,J000,J000_O1,61,68,7
M1,J004,J004_O1,68,86,18
M1,J002,J002_O1,86,102,16
M1,J003,J003_O1,102,111,9
M2,J001,J001_O2,19,26,7
M2,J005,J005_O2,27,40,13
M2,J006,J006_O2,41,56,15
M2,J007,J007_O2,61,72,11
M2,J000,J000_O2,72,90,18
M2,J004,J004_O2,90,102,12
M2,J002,J002_O2,102,109,7
M2,J003,J003_O2,111,118,7
M3,J001,J001_O3,26,46,20
M3,J006,J006_O3,56,66,10
M3,J005,J005_O3,66,80,14
M3,J007,J007_O3,80,89,9
M3,J000,J000_O3,90,102,12
M3,J004,J004_O3,102,109,7
M3,J002,J002_O3,109,120,11
M3,J003,J003_O3,120,126,6
