machine_id,job_id,operation_id,start_time,end_time,duration
M0,J001,J001_O0,0,16,16
M0,J007,J007_O1,16,26,10
M0,J003,J003_O1,26,34,8
M0,J001,J001_O2,34,53,19
M0,J006,J006_O1,53,65,12
M0,J006,J006_O3,68,84,16
M1,J000,J000_O0,0,15,15
M1,J001,J001_O1,16,21,5
M1,J005,J005_O2,23,28,5
M1,J003,J003_O2,34,46,12
M1,J003,J003_O3,46,65,19
M1,J001,J001_O3,65,67,2
M2,J005,J005_O0,0,17,17
M2,J004,J004_O1,21,30,9
M2,J002,J002_O1,30,47,17
M2,J000,J000_O3,47,62,15
M2,J006,J006_O2,65,68,3
M3,J007,J007_O0,0,4,4
M3,J004,J004_O0,4,21,17
M3,J005,J005_O1,21,23,2
M3,J000,J000_O2,23,27,4
M3,J007,J007_O2,27,45,18
M3,J006,J006_O0,45,49,4
M3,J002,J002_O2,49,55,6
M3,J002,J002_O3,55,74,19
M4,J003,J003_O0,0,19,19
M4,J000,J000_O1,19,22,3
M4,J002,J002_O0,22,27,5
M4,J005,J005_O3,28,42,14
M4,J004,J004_O2,42,49,7
M4,J007,J007_O3,49,69,20
M4,J004,J004_O3,69,84,15
