instance,setting,alpha,beta,gamma,normalization_mode,d_cmax,d_total_tardiness,d_setup,status,model_status,objective,best_bound,weighted_raw,weighted_normalized,cmax,total_tardiness,setup,solve_time,schedule_key,validation
tiny_tradeoff,cmax_only,1.0,0.0,0.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,9.0,9.0,9.0,9.0,9.0,9.0,2.0,0.013532,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_light,1.0,0.25,0.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,11.25,11.25,11.25,11.25,9.0,9.0,2.0,0.011488,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_heavy,1.0,4.0,0.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,24.0,24.0,24.0,24.0,16.0,2.0,9.0,0.013459,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_only,0.0,1.0,0.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,2.0,2.0,2.0,2.0,16.0,2.0,9.0,0.010234,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,setup_only,0.0,0.0,1.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,1.0,1.0,1.0,1.0,13.0,13.0,1.0,0.008906,"M0:A@0-6,B@11-13,D@7-11;M1:C@0-5",ok
tiny_tradeoff,balanced,1.0,1.0,1.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,20.0,20.0,20.0,20.0,9.0,9.0,2.0,0.017136,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,cmax_only,1.0,0.0,0.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,9.0,,9.0,0.18,9.0,9.0,2.0,0.01277,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_light,1.0,0.25,0.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,11.25,,11.25,0.19956521739130434,9.0,9.0,2.0,0.021597,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_heavy,1.0,4.0,0.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,24.0,,24.0,0.38956521739130434,16.0,2.0,9.0,0.020742,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_only,0.0,1.0,0.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,2.0,,2.0,0.017391304347826087,16.0,2.0,9.0,0.010623,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,setup_only,0.0,0.0,1.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,1.0,,1.0,0.03125,13.0,13.0,1.0,0.009441,"M0:A@0-6,B@11-13,D@7-11;M1:C@0-5",ok
tiny_tradeoff,balanced,1.0,1.0,1.0,trivial,50.0,115.0,32.0,FEASIBLE,OPTIMAL,20.0,,20.0,0.3207608695652174,9.0,9.0,2.0,0.016984,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,cmax_only,1.0,0.0,0.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,9.0,,9.0,1.0,9.0,9.0,2.0,0.013345,"M0:A@0-6,B@7-9;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_light,1.0,0.25,0.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,16.5,,16.5,2.0277777777777777,16.0,2.0,9.0,0.026048,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_heavy,1.0,4.0,0.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,24.0,,24.0,5.777777777777778,16.0,2.0,9.0,0.018183,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,tardiness_only,0.0,1.0,0.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,2.0,,2.0,1.0,16.0,2.0,9.0,0.009843,"M0:A@10-16,B@0-2;M1:C@0-5,D@6-8",ok
tiny_tradeoff,setup_only,0.0,0.0,1.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,1.0,,1.0,1.0,13.0,13.0,1.0,0.008641,"M0:A@0-6,B@11-13,D@7-11;M1:C@0-5",ok
tiny_tradeoff,balanced,1.0,1.0,1.0,ideal,9.0,2.0,1.0,FEASIBLE,OPTIMAL,23.0,,23.0,6.944444444444445,13.0,9.0,1.0,0.015876,"M0:A@0-6,B@7-9,D@9-13;M1:C@0-5",ok
plant_batch,cmax_only,1.0,0.0,0.0,none,1.0,1.0,1.0,OPTIMAL,OPTIMAL,69.0,69.0,69.0,69.0,69.0,176.0,15.0,0.584994,"M0:J001_O0@8-26,J001_O1@31-48,J003_O0@0-8,J003_O1@48-56,J004_O1@61-69;M1:J000_O0@3-21,J000_O1@54-67,J002_O0@21-39,J002_O1@67-69,J004_O0@44-54",ok
