run_id,instance,stage,method,objective_name,seed,time_limit,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,cmax,total_tardiness,setup,validation,failure_reason,solver_reported_objective,objective_recomputed,objective_matches_solver,cp_model_presolve,setup_encoding,model_variables
ablation__base__fjsp_cpsat_full,ablation,base,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,9.0,9.0,0.0,687,0.003672,0.020991,0.025407,9.0,0.0,0.0,,,9.0,9.0,True,False,none,66
ablation__base__fjsp_cpsat_qualified,ablation,base,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,9.0,9.0,0.0,31,0.001883,0.005785,0.008191,9.0,0.0,0.0,,,9.0,9.0,True,True,none,28
ablation__+setup__fjsp_cpsat_full,ablation,+setup,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,9.0,9.0,0.0,465,0.00361,0.012605,0.016684,9.0,0.0,0.0,,,9.0,9.0,True,False,exact_slot_chain,66
ablation__+setup__fjsp_cpsat_qualified,ablation,+setup,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,13.0,13.0,0.0,27,0.002163,0.005245,0.007857,13.0,1.0,0.0,,,13.0,13.0,True,True,conservative_interval_inflation,28
ablation__+calendar__fjsp_cpsat_full,ablation,+calendar,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,9.0,9.0,0.0,484,0.004181,0.014132,0.018799,9.0,0.0,0.0,,,9.0,9.0,True,False,exact_slot_chain,78
ablation__+calendar__fjsp_cpsat_qualified,ablation,+calendar,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,28.0,28.0,0.0,77,0.008742,0.00868,0.017877,28.0,14.0,4.0,,,28.0,28.0,True,True,conservative_interval_inflation,40
ablation__+qualification__fjsp_cpsat_full,ablation,+qualification,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,27.0,27.0,0.0,253,0.003319,0.009174,0.012947,27.0,15.0,3.0,,,27.0,27.0,True,False,exact_slot_chain,64
ablation__+qualification__fjsp_cpsat_qualified,ablation,+qualification,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,29.0,29.0,0.0,43,0.002363,0.006125,0.008937,29.0,24.0,7.0,,,29.0,29.0,True,True,conservative_interval_inflation,36
ablation__+worker__fjsp_cpsat_full,ablation,+worker,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,27.0,27.0,0.0,284,0.003956,0.010949,0.015432,27.0,15.0,3.0,,,27.0,27.0,True,False,exact_slot_chain,74
ablation__+worker__fjsp_cpsat_qualified,ablation,+worker,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,29.0,29.0,0.0,89,0.003046,0.009184,0.012749,29.0,24.0,7.0,,,29.0,29.0,True,True,conservative_interval_inflation,46
ablation__+locked__fjsp_cpsat_full,ablation,+locked,fjsp_cpsat_full,makespan,0,15.0,OPTIMAL,31.0,31.0,0.0,215,0.00449,0.009573,0.014584,31.0,19.0,3.0,,,31.0,31.0,True,False,exact_slot_chain,74
ablation__+locked__fjsp_cpsat_qualified,ablation,+locked,fjsp_cpsat_qualified,makespan,0,15.0,OPTIMAL,35.0,35.0,0.0,16,0.003882,0.005026,0.009431,35.0,23.0,3.0,,,35.0,35.0,True,True,conservative_interval_inflation,46
ind_worker__main__fjsp_cpsat_full,ind_worker,batch,fjsp_cpsat_full,makespan,0,15.0,FEASIBLE,101.0,41.0,0.594059405940594,130894,0.017008,15.00457,15.02308,101.0,200.0,40.0,,,101.0,101.0,True,False,exact_slot_chain,322
ind_worker__main__fjsp_cpsat_qualified,ind_worker,batch,fjsp_cpsat_qualified,makespan,0,15.0,FEASIBLE,97.0,41.0,0.5773195876288659,65476,0.01012,15.001591,15.012996,97.0,203.0,36.0,,,97.0,97.0,True,True,conservative_interval_inflation,146
ind_qualified__main__fjsp_cpsat_full,ind_qualified,batch,fjsp_cpsat_full,weighted_sum,0,15.0,FEASIBLE,78.0,34.0,0.5641025641025641,263563,0.044761,15.01644,15.063283,78.0,190.0,17.0,,,78.0,78.0,True,False,exact_slot_chain,753
ind_qualified__main__fjsp_cpsat_qualified,ind_qualified,batch,fjsp_cpsat_qualified,weighted_sum,0,15.0,FEASIBLE,75.0,36.0,0.52,97302,0.024721,15.003354,15.029919,75.0,187.0,19.0,,,75.0,75.0,True,True,conservative_interval_inflation,408
