suite,n_jobs,machine_count,target_metric,algorithm,samples,success,failed,gap_samples,avg_runtime,avg_gap,max_gap,avg_makespan,avg_total_completion_time,avg_weighted_completion_time,avg_total_tardiness,avg_max_tardiness,avg_weighted_tardiness,avg_num_tardy_jobs,avg_total_waiting_time,avg_total_flow_time,avg_busy_time,avg_idle_time,avg_utilization
single_rules,20,1,weighted_tardiness,FCFS,1,1,0,0,0.00012630003038793802,,,227,2354,13550,1513,179,8732,15,2127,2354,227,0,1.0
single_rules,20,1,weighted_tardiness,SPT,1,1,0,0,0.00010310008656233549,,,227,1714,9328,880,182,4713,14,1487,1714,227,0,1.0
single_rules,20,1,weighted_tardiness,EDD,1,1,0,0,0.00010469998233020306,,,227,2209,12648,1206,127,6942,18,1982,2209,227,0,1.0
single_rules,20,1,weighted_tardiness,WSPT,1,1,0,0,0.00010279996786266565,,,227,1967,7583,1168,199,3617,13,1740,1967,227,0,1.0
single_exact,6,1,weighted_tardiness,FCFS,1,1,0,1,5.250005051493645e-05,0.7555555555555555,0.7555555555555555,58,176,1006,76,41,474,4,118,176,58,0,1.0
single_exact,6,1,weighted_tardiness,SPT,1,1,0,1,3.769993782043457e-05,0.5259259259259259,0.5259259259259259,58,142,898,53,41,412,2,84,142,58,0,1.0
single_exact,6,1,weighted_tardiness,EDD,1,1,0,1,3.590004052966833e-05,0.5962962962962963,0.5962962962962963,58,188,1064,71,26,431,4,130,188,58,0,1.0
single_exact,6,1,weighted_tardiness,WSPT,1,1,0,1,3.6100042052567005e-05,0.34074074074074073,0.34074074074074073,58,162,816,81,44,362,3,104,162,58,0,1.0
single_exact,6,1,weighted_tardiness,MILP_WT,1,1,0,1,0.2435856000520289,0.0,0.0,58.00000000000001,190.0,906.0,70.0,44.00000000000001,270.0,4,132.0,190.0,58,7.105427357601002e-15,0.9999999999999999
parallel_fixed,20,3,makespan,Greedy,1,1,0,1,0.00015219999477267265,0.05454545454545454,0.05454545454545454,58.0,548.0,548.0,0,0,0,0,384.0,548.0,164,10.0,0.9425287356321839
parallel_fixed,20,3,makespan,LPT,1,1,0,1,0.00014489993918687105,0.0,0.0,55.0,827.0,827.0,0,0,0,0,663.0,827.0,164,1.0,0.9939393939393939
parallel_fixed,20,3,makespan,MILP,1,1,0,1,0.00790160009637475,0.0,0.0,55,599,599,0,0,0,0,435,599,164,1,0.9939393939393939
single_batch,6,1,weighted_tardiness,FCFS,5,5,0,5,6.419999990612269e-05,1.8476570771226881,3.6481481481481484,59,211.8,1060.8,72.6,32,350.6,3.8,152.8,211.8,59,0,1.0
single_batch,6,1,weighted_tardiness,SPT,5,5,0,5,4.5119994319975375e-05,0.6443206195155652,1.5519125683060109,59,155,773.8,47,29.4,222.2,2.4,96,155,59,0,1.0
single_batch,6,1,weighted_tardiness,EDD,5,5,0,5,4.326000344008207e-05,1.0895225440554481,2.0397350993377485,59,187.2,944.4,53.2,23.2,260,3.8,128.2,187.2,59,0,1.0
single_batch,6,1,weighted_tardiness,WSPT,5,5,0,5,4.391998518258333e-05,0.2548862886765324,0.7407407407407407,59,173,671.8,59.2,33.2,152.2,2.8,114,173,59,0,1.0
single_batch,6,1,weighted_tardiness,MILP_WT,5,5,0,5,0.1885089399991557,0.0,0.0,59.0,183.8,801.8,52.4,32.8,129.0,2.8,124.8,183.8,59,0,1.0
parallel_batch,20,3,makespan,Greedy,5,5,0,5,0.00015576002188026904,0.07027660719992626,0.1016949152542373,78.6,800.0,800.0,0,0,0,0,580.4,800.0,219.6,16.2,0.9298671758712327
parallel_batch,20,3,makespan,LPT,5,5,0,5,0.00014678000006824733,0.008131693583670985,0.01694915254237288,74.2,1030.2,1030.2,0,0,0,0,810.6,1030.2,219.6,3.0,0.9868247114466686
parallel_batch,20,3,makespan,MILP,5,5,0,5,0.01716632000170648,0.0,0.0,73.6,818.4,818.4,0,0,0,0,598.8,818.4,219.6,1.2,0.9948156738195013
