algorithm,instance,instance_seed,algorithm_seed,n_jobs,objective_name,status,error,objective,improvement,improvement_rate,iterations,restarts,stop_reason,solution,runtime,evaluations,makespan,average_completion_time,max_lateness,suite
FCFS,n20_seed42,42,,20,total_tardiness,OK,,811,-398,-0.9636803874092009,0,0,rule,"[""J1"", ""J2"", ""J3"", ""J4"", ""J5"", ""J6"", ""J7"", ""J8"", ""J9"", ""J10"", ""J11"", ""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18"", ""J19"", ""J20""]",0.0004683999577537179,1,200,99.95,144,single
SPT,n20_seed42,42,,20,total_tardiness,OK,,413,0,0.0,0,0,rule,"[""J14"", ""J6"", ""J7"", ""J1"", ""J18"", ""J4"", ""J17"", ""J12"", ""J3"", ""J8"", ""J16"", ""J2"", ""J20"", ""J19"", ""J15"", ""J10"", ""J11"", ""J13"", ""J5"", ""J9""]",0.00028030003886669874,1,200,70.45,174,single
EDD,n20_seed42,42,,20,total_tardiness,OK,,358,55,0.13317191283292978,0,0,rule,"[""J1"", ""J9"", ""J6"", ""J4"", ""J18"", ""J19"", ""J3"", ""J16"", ""J14"", ""J10"", ""J7"", ""J2"", ""J13"", ""J17"", ""J15"", ""J20"", ""J11"", ""J5"", ""J12"", ""J8""]",0.0002983000595122576,1,200,93.55,58,single
SPT+LS,n20_seed42,42,,20,total_tardiness,OK,,296,117,0.28329297820823246,7,0,no_improvement,"[""J14"", ""J6"", ""J16"", ""J1"", ""J18"", ""J4"", ""J17"", ""J19"", ""J3"", ""J10"", ""J7"", ""J2"", ""J15"", ""J20"", ""J11"", ""J12"", ""J8"", ""J13"", ""J5"", ""J9""]",0.34122890001162887,1521,200,78.75,174,single
Multi-start,n20_seed42,42,42,20,total_tardiness,OK,,260,153,0.3704600484261501,304,20,completed; capped=0,"[""J6"", ""J1"", ""J9"", ""J18"", ""J4"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J5"", ""J13""]",13.691482700058259,61580,200,86.4,109,single
SPT+SA,n20_seed42,42,42,20,total_tardiness,OK,,284,129,0.31234866828087166,360,0,min_temperature,"[""J9"", ""J1"", ""J4"", ""J6"", ""J18"", ""J19"", ""J3"", ""J14"", ""J7"", ""J16"", ""J17"", ""J2"", ""J10"", ""J20"", ""J15"", ""J8"", ""J12"", ""J5"", ""J11"", ""J13""]",0.08235479996073991,361,200,87.4,109,single
Multi-start,n20_seed42,42,0,20,total_tardiness,OK,,260,153,0.3704600484261501,284,20,completed; capped=0,"[""J9"", ""J1"", ""J6"", ""J4"", ""J18"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J5"", ""J13""]",12.929201099905185,57780,200,88.2,109,stability
Multi-start,n20_seed42,42,1,20,total_tardiness,OK,,260,153,0.3704600484261501,297,20,completed; capped=0,"[""J1"", ""J9"", ""J6"", ""J18"", ""J4"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J5"", ""J13""]",13.414069600054063,60250,200,87.4,109,stability
Multi-start,n20_seed42,42,2,20,total_tardiness,OK,,260,153,0.3704600484261501,299,20,completed; capped=0,"[""J6"", ""J1"", ""J9"", ""J18"", ""J4"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J13"", ""J5""]",13.613894400070421,60630,200,86.4,90,stability
Multi-start,n20_seed42,42,3,20,total_tardiness,OK,,260,153,0.3704600484261501,296,20,completed; capped=0,"[""J9"", ""J6"", ""J1"", ""J4"", ""J18"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J13"", ""J5""]",13.407289499999024,60060,200,88.1,90,stability
Multi-start,n20_seed42,42,4,20,total_tardiness,OK,,260,153,0.3704600484261501,297,20,completed; capped=0,"[""J6"", ""J9"", ""J1"", ""J4"", ""J18"", ""J19"", ""J3"", ""J14"", ""J16"", ""J7"", ""J2"", ""J10"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J5"", ""J13""]",16.86067570000887,60250,200,87.2,109,stability
SPT+SA,n20_seed42,42,0,20,total_tardiness,OK,,290,123,0.29782082324455206,360,0,min_temperature,"[""J7"", ""J6"", ""J1"", ""J19"", ""J16"", ""J4"", ""J18"", ""J3"", ""J14"", ""J10"", ""J2"", ""J13"", ""J17"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J9"", ""J5""]",0.10929829999804497,361,200,81.75,155,stability
SPT+SA,n20_seed42,42,1,20,total_tardiness,OK,,310,103,0.24939467312348668,360,0,min_temperature,"[""J6"", ""J1"", ""J19"", ""J4"", ""J18"", ""J14"", ""J3"", ""J16"", ""J2"", ""J10"", ""J7"", ""J13"", ""J17"", ""J12"", ""J20"", ""J11"", ""J8"", ""J15"", ""J5"", ""J9""]",0.09804300009272993,361,200,81.95,174,stability
SPT+SA,n20_seed42,42,2,20,total_tardiness,OK,,281,132,0.3196125907990315,360,0,min_temperature,"[""J9"", ""J1"", ""J4"", ""J6"", ""J19"", ""J18"", ""J16"", ""J14"", ""J3"", ""J7"", ""J10"", ""J2"", ""J17"", ""J20"", ""J15"", ""J8"", ""J12"", ""J13"", ""J11"", ""J5""]",0.09636590001173317,361,200,89.35,72,stability
SPT+SA,n20_seed42,42,3,20,total_tardiness,OK,,271,142,0.34382566585956414,360,0,min_temperature,"[""J14"", ""J9"", ""J1"", ""J6"", ""J4"", ""J18"", ""J19"", ""J3"", ""J16"", ""J7"", ""J2"", ""J15"", ""J17"", ""J20"", ""J11"", ""J12"", ""J8"", ""J13"", ""J10"", ""J5""]",0.09675270004663616,361,200,85.25,111,stability
SPT+SA,n20_seed42,42,4,20,total_tardiness,OK,,296,117,0.28329297820823246,360,0,min_temperature,"[""J1"", ""J4"", ""J19"", ""J18"", ""J6"", ""J17"", ""J16"", ""J3"", ""J14"", ""J10"", ""J7"", ""J2"", ""J13"", ""J20"", ""J15"", ""J12"", ""J8"", ""J11"", ""J5"", ""J9""]",0.09598410001490265,361,200,82.5,174,stability
SPT,n10_seed42,42,,10,total_tardiness,OK,,69,0,0.0,0,0,rule,"[""J6"", ""J7"", ""J1"", ""J4"", ""J3"", ""J8"", ""J2"", ""J10"", ""J5"", ""J9""]",0.00020399992354214191,1,95,34.3,69,scale
SPT+LS,n10_seed42,42,,10,total_tardiness,OK,,0,69,1.0,2,0,no_improvement,"[""J6"", ""J9"", ""J1"", ""J4"", ""J3"", ""J7"", ""J2"", ""J10"", ""J5"", ""J8""]",0.02774300007149577,136,95,45.9,0,scale
SPT+SA,n10_seed42,42,42,10,total_tardiness,OK,,0,69,1.0,360,0,min_temperature,"[""J9"", ""J1"", ""J6"", ""J4"", ""J3"", ""J2"", ""J10"", ""J7"", ""J5"", ""J8""]",0.08121680002659559,361,95,50.0,-1,scale
